model,accuracy,mcc,roc_auc,aupr
CNN,0.6516,0.0901,0.5465,0.2932
MetaDR,0.8903,0.1373,0.6219,0.3674
PMCNN,0.8452,0.0324,0.4405,0.2080
RF,0.9032,0.1485,0.5457,0.2653
DeepPhylo,0.8065,0.0936,0.5583,0.1658
