model,accuracy,mcc,roc_auc,aupr
CNN,0.7548,0.0511,0.6942,0.2130
MetaDR,0.8387,0.1422,0.6868,0.3814
PMCNN,0.8387,0.0887,0.5709,0.1879
RF,0.9226,0.1921,0.4976,0.1914
DeepPhylo,0.8710,0.0576,0.6407,0.1849
