Model,FPR,TPR
RandomForest,0.0,0.0
RandomForest,0.0,0.07692307692307693
RandomForest,0.0,0.23076923076923078
RandomForest,0.015151515151515152,0.23076923076923078
RandomForest,0.015151515151515152,0.38461538461538464
RandomForest,0.022727272727272728,0.38461538461538464
RandomForest,0.022727272727272728,0.46153846153846156
RandomForest,0.05303030303030303,0.46153846153846156
RandomForest,0.05303030303030303,0.6153846153846154
RandomForest,0.06060606060606061,0.6153846153846154
RandomForest,0.06060606060606061,0.6923076923076923
RandomForest,0.12121212121212122,0.6923076923076923
RandomForest,0.12121212121212122,0.7692307692307693
RandomForest,0.20454545454545456,0.7692307692307693
RandomForest,0.20454545454545456,0.8461538461538461
RandomForest,0.22727272727272727,0.8461538461538461
RandomForest,0.22727272727272727,0.9230769230769231
RandomForest,0.3712121212121212,0.9230769230769231
RandomForest,0.3712121212121212,1.0
RandomForest,0.8409090909090909,1.0
RandomForest,0.8560606060606061,1.0
RandomForest,0.9772727272727273,1.0
RandomForest,0.9924242424242424,1.0
RandomForest,1.0,1.0
KNN,0.0,0.0
KNN,0.015151515151515152,0.3076923076923077
KNN,0.015151515151515152,0.38461538461538464
KNN,0.030303030303030304,0.38461538461538464
KNN,0.045454545454545456,0.38461538461538464
KNN,0.06060606060606061,0.38461538461538464
KNN,0.06818181818181818,0.38461538461538464
KNN,0.09848484848484848,0.38461538461538464
KNN,0.11363636363636363,0.5384615384615384
KNN,0.12121212121212122,0.5384615384615384
KNN,0.12121212121212122,0.6153846153846154
KNN,0.12878787878787878,0.6153846153846154
KNN,0.13636363636363635,0.6923076923076923
KNN,0.16666666666666666,0.6923076923076923
KNN,0.18181818181818182,0.6923076923076923
KNN,1.0,1.0
SVM,0.0,0.0
SVM,0.0,0.07692307692307693
SVM,0.0,0.3076923076923077
SVM,0.030303030303030304,0.3076923076923077
SVM,0.030303030303030304,0.6153846153846154
SVM,0.03787878787878788,0.6153846153846154
SVM,0.03787878787878788,0.6923076923076923
SVM,0.3409090909090909,0.6923076923076923
SVM,0.3409090909090909,0.7692307692307693
SVM,0.5757575757575758,0.7692307692307693
SVM,0.5757575757575758,0.8461538461538461
SVM,0.7954545454545454,0.8461538461538461
SVM,0.7954545454545454,0.9230769230769231
SVM,0.9015151515151515,0.9230769230769231
SVM,0.9015151515151515,1.0
SVM,1.0,1.0
NNET,0.0,0.0
NNET,0.007575757575757576,0.0
NNET,0.007575757575757576,0.15384615384615385
NNET,0.015151515151515152,0.15384615384615385
NNET,0.015151515151515152,0.46153846153846156
NNET,0.030303030303030304,0.46153846153846156
NNET,0.030303030303030304,0.5384615384615384
NNET,0.05303030303030303,0.5384615384615384
NNET,0.05303030303030303,0.6153846153846154
NNET,0.11363636363636363,0.6153846153846154
NNET,0.11363636363636363,0.6923076923076923
NNET,0.3181818181818182,0.6923076923076923
NNET,0.3181818181818182,0.7692307692307693
NNET,0.3333333333333333,0.7692307692307693
NNET,0.3333333333333333,0.8461538461538461
NNET,0.3560606060606061,0.8461538461538461
NNET,0.3560606060606061,0.9230769230769231
NNET,0.5151515151515151,0.9230769230769231
NNET,0.5151515151515151,1.0
NNET,1.0,1.0
XGBoost,0.0,0.0
XGBoost,0.007575757575757576,0.0
XGBoost,0.015151515151515152,0.0
