Model,Macro MCC,Macro AUPR,Macro ROC-AUC,mean_metric_rank
RandomForest,0.2404417419946992,0.25175715902279694,0.6970244659059194,2.6666666666666665
KNN,0.16064553519596744,0.18979493311536566,0.6095734677819575,5.0
SVM,0.12249002806256867,0.18973965031756407,0.45277050749200887,6.0
NNET,0.18398728558421856,0.28542203105286035,0.7121810593700315,2.0
XGBoost,0.17896488098853908,0.26170139849177393,0.7060092133904188,3.0
GLMNET,0.22324643886832315,0.2881713743292317,0.6855685021088449,2.3333333333333335
