fold,feature
4,BAC_P::Myxococcota
4,BAC_P::NKB15
4,BAC_P::Nitrospirota
4,BAC_P::Patescibacteria
4,BAC_P::Planctomycetota
4,BAC_P::Proteobacteria
4,BAC_P::Spirochaetota
4,BAC_P::Sumerlaeota
4,BAC_P::Sva0485
4,BAC_P::Synergistota
4,BAC_P::TA06
4,BAC_P::Thermotogota
4,BAC_P::Verrucomicrobiota
4,BAC_P::WPS-2
4,BAC_P::WS1
4,BAC_P::Zixibacteria
4,BAC_P::unidentified
4,ARC_P::Aenigmarchaeota
4,ARC_P::Asgardarchaeota
4,ARC_P::Crenarchaeota
4,ARC_P::Euryarchaeota
4,ARC_P::Halobacterota
4,ARC_P::Micrarchaeota
4,ARC_P::Mollusca
4,ARC_P::Nanoarchaeota
4,ARC_P::Thermoplasmatota
4,ARC_P::Vertebrata
4,ARC_P::unidentified
5,BAC_P::Acidobacteriota
5,BAC_P::Actinobacteriota
5,BAC_P::Armatimonadota
5,BAC_P::Bacteroidota
5,BAC_P::Bdellovibrionota
5,BAC_P::CK-2C2-2
5,BAC_P::Caldatribacteriota
5,BAC_P::Caldisericota
5,BAC_P::Campilobacterota
5,BAC_P::Chloroflexi
5,BAC_P::Cloacimonadota
5,BAC_P::Coprothermobacterota
5,BAC_P::Cyanobacteria
5,BAC_P::Deinococcota
5,BAC_P::Dependentiae
5,BAC_P::Desulfobacterota
5,BAC_P::Elusimicrobiota
5,BAC_P::Fermentibacterota
5,BAC_P::Fibrobacterota
5,BAC_P::Firmicutes
5,BAC_P::Fusobacteriota
5,BAC_P::Gemmatimonadota
5,BAC_P::Hydrogenedentes
5,BAC_P::Latescibacterota
5,BAC_P::Marinimicrobia_(SAR406_clade)
5,BAC_P::Myxococcota
5,BAC_P::NKB15
5,BAC_P::Nitrospirota
5,BAC_P::Patescibacteria
5,BAC_P::Planctomycetota
5,BAC_P::Proteobacteria
5,BAC_P::Spirochaetota
5,BAC_P::Sumerlaeota
5,BAC_P::Synergistota
5,BAC_P::TA06
5,BAC_P::Thermotogota
5,BAC_P::Verrucomicrobiota
5,BAC_P::WPS-2
5,BAC_P::WS1
5,BAC_P::Zixibacteria
5,BAC_P::unidentified
5,ARC_P::Asgardarchaeota
5,ARC_P::Crenarchaeota
5,ARC_P::Euryarchaeota
5,ARC_P::Halobacterota
5,ARC_P::Holozoa
5,ARC_P::Micrarchaeota
5,ARC_P::Mollusca
5,ARC_P::Nanoarchaeota
5,ARC_P::Thermoplasmatota
5,ARC_P::Vertebrata
5,ARC_P::unidentified
