Model,feature,taxon,domain,taxonomic_level,scope,repeats,Macro MCC decrease mean,Macro AUPR decrease mean,Macro ROC-AUC decrease mean,Macro MCC decrease SD,Macro AUPR decrease SD,Macro ROC-AUC decrease SD
RandomForest,BAC_P::Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Bacteria,Phylum,training_resubstitution,3,-0.0005923426560223525,0.00014622414622419053,4.728132387713894e-05,0.0019856822181315748,0.00025326765055367874,8.189365520432414e-05
RandomForest,BAC_P::Myxococcota,Myxococcota,Bacteria,Phylum,training_resubstitution,3,0.0006889692281585499,0.00029244829244838105,9.456264775427788e-05,0.0006876307189578313,0.0002532676505536788,8.189365520432414e-05
RandomForest,BAC_P::NKB15,NKB15,Bacteria,Phylum,training_resubstitution,3,0.0,0.0,0.0,0.0,0.0,0.0
RandomForest,BAC_P::Nitrospirota,Nitrospirota,Bacteria,Phylum,training_resubstitution,3,0.0,0.0,0.0,0.0,0.0,0.0
RandomForest,BAC_P::Patescibacteria,Patescibacteria,Bacteria,Phylum,training_resubstitution,3,0.001263938235662269,0.0016896135217594106,0.0004080422715786458,0.00040602187891437846,0.0002998413044329164,8.189365520406774e-05
RandomForest,BAC_P::Planctomycetota,Planctomycetota,Bacteria,Phylum,training_resubstitution,3,0.0006248729572738698,0.009629531878238414,0.002372364529189689,0.008393210978742897,0.010393216439982264,0.0017001318863651288
RandomForest,BAC_P::Proteobacteria,Proteobacteria,Bacteria,Phylum,training_resubstitution,3,0.0060652403235094314,0.02371953858919133,0.003570300791013725,0.0026921481902192,0.011465494516416805,0.0013063511668421676
RandomForest,BAC_P::Spirochaetota,Spirochaetota,Bacteria,Phylum,training_resubstitution,3,0.01548934051100063,0.04696830847717156,0.00577119560818895,0.014030971928664487,0.010152313031765416,0.001273876773131277
RandomForest,BAC_P::Sumerlaeota,Sumerlaeota,Bacteria,Phylum,training_resubstitution,3,0.0,0.0,0.0,0.0,0.0,0.0
RandomForest,BAC_P::Sva0485,Sva0485,Bacteria,Phylum,training_resubstitution,3,0.0,0.0,0.0,0.0,0.0,0.0
RandomForest,BAC_P::Synergistota,Synergistota,Bacteria,Phylum,training_resubstitution,3,0.006148175254470478,0.003775123637656863,0.0010446844390969618,0.008406887096826857,0.0018536376767729302,0.000303149431149198
RandomForest,BAC_P::TA06,TA06,Bacteria,Phylum,training_resubstitution,3,0.0,0.0,0.0,0.0,0.0,0.0
RandomForest,BAC_P::Thermotogota,Thermotogota,Bacteria,Phylum,training_resubstitution,3,0.002038205283307004,0.0033957689544155123,0.0017556322763604786,0.007542316854424033,0.002267501321208148,0.000361534301557045
RandomForest,BAC_P::Verrucomicrobiota,Verrucomicrobiota,Bacteria,Phylum,training_resubstitution,3,0.0009885503582101236,0.0006732600361101607,0.0005391639677541823,0.0017882095335899901,0.0018072730397421508,0.0003451181891906206
RandomForest,BAC_P::WPS-2,WPS-2,Bacteria,Phylum,training_resubstitution,3,0.0,0.0,0.0,0.0,0.0,0.0
RandomForest,BAC_P::WS1,WS1,Bacteria,Phylum,training_resubstitution,3,-0.0036947572610937693,-0.0001313628369871885,1.9861120374812618e-05,0.0004735866081690184,0.0009382602887184192,0.00018013087711858054
RandomForest,BAC_P::Zixibacteria,Zixibacteria,Bacteria,Phylum,training_resubstitution,3,0.0,0.0,0.0,0.0,0.0,0.0
RandomForest,BAC_P::unidentified,unidentified,Bacteria,Phylum,training_resubstitution,3,-0.01662591711376112,0.005381216681350165,0.0011694346250473349,0.01325354394611311,0.0037584463392337127,0.0004431232754791165
RandomForest,ARC_P::Aenigmarchaeota,Aenigmarchaeota,Archaea,Phylum,training_resubstitution,3,0.0,0.0,0.0,0.0,0.0,0.0
RandomForest,ARC_P::Asgardarchaeota,Asgardarchaeota,Archaea,Phylum,training_resubstitution,3,0.0,0.0,0.0,0.0,0.0,0.0
RandomForest,ARC_P::Crenarchaeota,Crenarchaeota,Archaea,Phylum,training_resubstitution,3,-0.00047731532380105673,3.103464306364323e-05,0.0002881832570639231,0.003768965316926746,0.0020518256652567422,0.00022676760203965525
RandomForest,ARC_P::Euryarchaeota,Euryarchaeota,Archaea,Phylum,training_resubstitution,3,0.0015448368062237667,0.014865300148218888,0.0021231154663523175,0.006499374517299776,0.007674159702535579,0.0009304698924365834
RandomForest,ARC_P::Halobacterota,Halobacterota,Archaea,Phylum,training_resubstitution,3,-0.0008360957586796558,0.014762622885790186,0.0028960181417995168,0.0016781715999007172,0.0070302722608058445,0.0012108445714202835
RandomForest,ARC_P::Holozoa,Holozoa,Archaea,Phylum,training_resubstitution,3,0.0,0.0,0.0,0.0,0.0,0.0
RandomForest,ARC_P::Micrarchaeota,Micrarchaeota,Archaea,Phylum,training_resubstitution,3,-0.0018499807564920645,0.0,0.0,0.0032042606632689628,0.0,0.0
RandomForest,ARC_P::Mollusca,Mollusca,Archaea,Phylum,training_resubstitution,3,0.0,0.0,0.0,0.0,0.0,0.0
RandomForest,ARC_P::Nanoarchaeota,Nanoarchaeota,Archaea,Phylum,training_resubstitution,3,-0.0055720014676004515,0.0035611869034547863,0.0005996872614628668,0.008143790932045642,0.003121934561548274,0.0009524187675164601
RandomForest,ARC_P::Thermoplasmatota,Thermoplasmatota,Archaea,Phylum,training_resubstitution,3,0.002324914504320097,0.0034336717702035577,0.000987868412666737,0.0012379982948685685,0.0030213702607845296,0.00019759417457382387
RandomForest,ARC_P::Vertebrata,Vertebrata,Archaea,Phylum,training_resubstitution,3,0.0,0.0,0.0,0.0,0.0,0.0
RandomForest,ARC_P::unidentified,unidentified,Archaea,Phylum,training_resubstitution,3,-0.0036996238738430573,0.0035827959603211093,0.001517893535501876,0.006267066045022882,0.0013975516857547558,0.00015961601166686527
KNN,BAC_P::Acetothermia,Acetothermia,Bacteria,Phylum,training_resubstitution,3,0.007878514380325052,0.0,0.0,0.009282804639550992,0.0,0.0
KNN,BAC_P::Acidobacteriota,Acidobacteriota,Bacteria,Phylum,training_resubstitution,3,0.06570719692696447,0.0,0.0,0.03693724751817349,0.0,0.0
KNN,BAC_P::Actinobacteriota,Actinobacteriota,Bacteria,Phylum,training_resubstitution,3,0.06116651096547424,0.0,0.0,0.025165225697992864,0.0,0.0
KNN,BAC_P::Armatimonadota,Armatimonadota,Bacteria,Phylum,training_resubstitution,3,0.07369138789485134,0.0,0.0,0.03907418076406677,0.0,0.0
KNN,BAC_P::Bacteroidota,Bacteroidota,Bacteria,Phylum,training_resubstitution,3,0.10962948364289186,0.0,0.0,0.027369201427268175,0.0,0.0
KNN,BAC_P::Bdellovibrionota,Bdellovibrionota,Bacteria,Phylum,training_resubstitution,3,0.03656695494019383,0.0,0.0,0.00048288070044358425,0.0,0.0
KNN,BAC_P::CK-2C2-2,CK-2C2-2,Bacteria,Phylum,training_resubstitution,3,0.03273866774197598,0.0,0.0,0.047137965998087734,0.0,0.0
KNN,BAC_P::Caldatribacteriota,Caldatribacteriota,Bacteria,Phylum,training_resubstitution,3,0.07694589199026573,0.0,0.0,0.004906057183954597,0.0,0.0
KNN,BAC_P::Caldisericota,Caldisericota,Bacteria,Phylum,training_resubstitution,3,0.0754819539573535,0.0,0.0,0.03682507110515888,0.0,0.0
KNN,BAC_P::Campilobacterota,Campilobacterota,Bacteria,Phylum,training_resubstitution,3,0.04235315590753478,0.0,0.0,0.011103868798660875,0.0,0.0
KNN,BAC_P::Chloroflexi,Chloroflexi,Bacteria,Phylum,training_resubstitution,3,0.0590976575437108,0.0,0.0,0.024333125049869966,0.0,0.0
KNN,BAC_P::Cloacimonadota,Cloacimonadota,Bacteria,Phylum,training_resubstitution,3,0.06977297449919795,0.0,0.0,0.011472715668177537,0.0,0.0
KNN,BAC_P::Coprothermobacterota,Coprothermobacterota,Bacteria,Phylum,training_resubstitution,3,0.01135908427727054,0.0,0.0,0.0052360361629968126,0.0,0.0
KNN,BAC_P::Cyanobacteria,Cyanobacteria,Bacteria,Phylum,training_resubstitution,3,0.011066002535303246,0.0,0.0,0.0031890233010436375,0.0,0.0
KNN,BAC_P::Deinococcota,Deinococcota,Bacteria,Phylum,training_resubstitution,3,0.008993421557551118,0.0,0.0,0.003004996584216426,0.0,0.0
KNN,BAC_P::Dependentiae,Dependentiae,Bacteria,Phylum,training_resubstitution,3,0.06169029221620855,0.0,0.0,0.03581601590214665,0.0,0.0
KNN,BAC_P::Desulfobacterota,Desulfobacterota,Bacteria,Phylum,training_resubstitution,3,0.07280091437863485,0.0,0.0,0.0022164885328504096,0.0,0.0
KNN,BAC_P::Elusimicrobiota,Elusimicrobiota,Bacteria,Phylum,training_resubstitution,3,0.021207797198609584,0.0,0.0,0.02280737569920876,0.0,0.0
KNN,BAC_P::Fermentibacterota,Fermentibacterota,Bacteria,Phylum,training_resubstitution,3,0.06110339479274581,0.0,0.0,0.0043180037263078576,0.0,0.0
KNN,BAC_P::Fibrobacterota,Fibrobacterota,Bacteria,Phylum,training_resubstitution,3,0.041262971694326835,0.0,0.0,0.005574573914070785,0.0,0.0
KNN,BAC_P::Firmicutes,Firmicutes,Bacteria,Phylum,training_resubstitution,3,0.14472845953776678,0.0,0.0,0.019842699198897338,0.0,0.0
KNN,BAC_P::Fusobacteriota,Fusobacteriota,Bacteria,Phylum,training_resubstitution,3,0.018583171614413512,0.0,0.0,0.011768548638422187,0.0,0.0
KNN,BAC_P::Gemmatimonadota,Gemmatimonadota,Bacteria,Phylum,training_resubstitution,3,0.05713371773053629,0.0,0.0,0.02711295974844523,0.0,0.0
KNN,BAC_P::Halanaerobiaeota,Halanaerobiaeota,Bacteria,Phylum,training_resubstitution,3,0.0652633447854103,0.036992063492063444,0.0020753392079472244,0.001582841076509449,0.0008910387126283072,0.0001418439716312503
KNN,BAC_P::Hydrogenedentes,Hydrogenedentes,Bacteria,Phylum,training_resubstitution,3,0.09194505374117379,0.0,0.0,0.027107205490685148,0.0,0.0
KNN,BAC_P::Hydrothermae,Hydrothermae,Bacteria,Phylum,training_resubstitution,3,0.021756340841129467,0.0,0.0,0.027667536482669442,0.0,0.0
KNN,BAC_P::Latescibacterota,Latescibacterota,Bacteria,Phylum,training_resubstitution,3,0.006143578793513793,0.0,0.0,0.006475892912124846,0.0,0.0
KNN,BAC_P::Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Bacteria,Phylum,training_resubstitution,3,0.03449335172739424,0.0,0.0,0.00868895412397468,0.0,0.0
KNN,BAC_P::Myxococcota,Myxococcota,Bacteria,Phylum,training_resubstitution,3,0.04829151760454842,0.0,0.0,0.020131223814115577,0.0,0.0
