Model,CV_RMSE,Train_RMSE,Test_RMSE,Train_R2,Test_R2
SVM,0.199347329711683,0.24953680162272246,0.03761035926554848,0.005725957858027431,-0.03319250489490644
KNN,0.2081738162962899,0.23539139988525304,0.0565643622281754,0.11525508344023316,-1.3369642706038234
XGBoost,0.21207822849095553,0.1537325197960192,0.0934094015144911,0.6226291205294862,-5.3730520008373235
ElasticNet,0.21571817302321145,0.25025430298922363,0.07127847095952296,0.0,-2.7109323108792913
RandomForest,0.22447298686421938,0.17335388739074264,0.09740507572624492,0.5201515872190677,-5.929939764879914
MLP,0.38420882692209524,0.0006471073365063375,0.19309666641942744,0.9999933136433231,-26.23427607707794
