mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__regressor__l1_ratio,param_model__regressor__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.1576234817504883,0.02747377528674285,0.0020525455474853516,2.496095642096962e-05,0.1,0.0001,"{'model__regressor__l1_ratio': 0.1, 'model__regressor__alpha': 0.0001}",-0.6084153541880948,-1.4780554642113553,-0.7490552622270982,-1.3280329119019685,-2.2725486346335075,-1.2872215254324046,0.5931868876760141,17
0.14335880279541016,0.02766165628851236,0.002113676071166992,0.0001544414090932442,0.5,0.0001,"{'model__regressor__l1_ratio': 0.5, 'model__regressor__alpha': 0.0001}",-0.6024964654745764,-1.6111476412271388,-0.7592280541838571,-1.361855270632937,-2.709523295545092,-1.4088501454127205,0.7492794614969728,18
0.13308868408203126,0.039328089258563015,0.002048778533935547,3.98960278117042e-05,0.9,0.0001,"{'model__regressor__l1_ratio': 0.9, 'model__regressor__alpha': 0.0001}",-0.6092279062688524,-1.8123859957496282,-0.7809578386805289,-1.402354508681086,-3.3315589835146606,-1.5872970465789513,0.9730488829885955,19
0.13457331657409669,0.03451180386753934,0.0020305156707763673,2.802188239922836e-05,1.0,0.0001,"{'model__regressor__l1_ratio': 1.0, 'model__regressor__alpha': 0.0001}",-0.6139635609463486,-1.8802348398944488,-0.7862311888298524,-1.4068128391611123,-3.6050745302128617,-1.6584633918089249,1.0727137933836637,20
0.02067141532897949,0.005888820346611847,0.002047872543334961,5.347311507032703e-05,0.1,0.001,"{'model__regressor__l1_ratio': 0.1, 'model__regressor__alpha': 0.001}",-0.508299273621633,-0.6480909169078108,-0.5302771262402787,-1.0875724076605602,-0.9350796311251514,-0.7418638711110868,0.23020054774323884,16
0.013221359252929688,0.0030104339187384524,0.0020530223846435547,1.7991995490454346e-05,0.5,0.001,"{'model__regressor__l1_ratio': 0.5, 'model__regressor__alpha': 0.001}",-0.4991707424914852,-0.6642797320254673,-0.5522647903267317,-1.0824235231138382,-0.6931666144872011,-0.6982610804889446,0.20479909539635935,15
0.011909866333007812,0.0037887942738772666,0.002054119110107422,1.910838272715063e-05,0.9,0.001,"{'model__regressor__l1_ratio': 0.9, 'model__regressor__alpha': 0.001}",-0.495538771226562,-0.6363344404435322,-0.577944288737677,-1.0256788670374857,-0.603218452471257,-0.6677429639833028,0.1849249062246078,14
0.011477136611938476,0.0037502667543305008,0.002033090591430664,1.4461300485283719e-05,1.0,0.001,"{'model__regressor__l1_ratio': 1.0, 'model__regressor__alpha': 0.001}",-0.4977814473049504,-0.6273518209934377,-0.5863190745679839,-1.0089952528515866,-0.5904361100542095,-0.6621767411544337,0.17856246609548454,13
0.006347227096557617,0.00041579389236136326,0.0020336151123046876,1.0402921443708047e-05,0.1,0.01,"{'model__regressor__l1_ratio': 0.1, 'model__regressor__alpha': 0.01}",-0.48431041474670355,-0.4753908809288331,-0.3967435688043949,-0.5982932029729549,-0.6844361121868611,-0.5278348359279494,0.10130943212133768,12
0.005737733840942383,8.331934914218392e-05,0.0019963264465332033,1.1788008653304291e-05,0.5,0.01,"{'model__regressor__l1_ratio': 0.5, 'model__regressor__alpha': 0.01}",-0.46222396431084956,-0.4007231483914011,-0.3478814581345283,-0.42550526726737864,-0.6073375054112476,-0.4487342687030811,0.08758184990368248,11
