mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__regressor__kernel,param_model__regressor__gamma,param_model__regressor__epsilon,param_model__regressor__C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.005089426040649414,0.00024311693904091462,0.0021294116973876952,3.6632019638341664e-05,rbf,0.1,0.2,100.0,"{'model__regressor__kernel': 'rbf', 'model__regressor__gamma': 0.1, 'model__regressor__epsilon': 0.2, 'model__regressor__C': 100}",-0.44256355312662016,-0.1233535447142914,-0.15044984020979466,-0.14963752030487262,-0.290653339682304,-0.2313315596075766,0.12084125865604957,14
0.005045509338378907,0.00016223431131082437,0.0020981311798095705,1.1771601962440089e-05,rbf,0.01,0.1,1.0,"{'model__regressor__kernel': 'rbf', 'model__regressor__gamma': 0.01, 'model__regressor__epsilon': 0.1, 'model__regressor__C': 1}",-0.4543526357461434,-0.06848533571840722,-0.1686759386336678,-0.07709822553729745,-0.2900490902871765,-0.21173224518453848,0.14525703011893817,9
0.010719966888427735,0.011413602252421528,0.0021459102630615235,6.781382189762297e-05,rbf,0.1,0.2,10.0,"{'model__regressor__kernel': 'rbf', 'model__regressor__gamma': 0.1, 'model__regressor__epsilon': 0.2, 'model__regressor__C': 10}",-0.44256355312662016,-0.1233535447142914,-0.15044984020979466,-0.14963752030487262,-0.290653339682304,-0.2313315596075766,0.12084125865604957,14
0.00511016845703125,4.70999749920312e-05,0.0021207332611083984,2.199506692966777e-05,rbf,scale,0.1,100.0,"{'model__regressor__kernel': 'rbf', 'model__regressor__gamma': 'scale', 'model__regressor__epsilon': 0.1, 'model__regressor__C': 100}",-0.43600199307784254,-0.16762424104069823,-0.2023756532065125,-0.3044799476258762,-0.2843229346086663,-0.27896095391191916,0.09338418471731133,18
0.004933404922485352,6.333169401755471e-05,0.0020969867706298827,1.648822636854719e-05,rbf,0.01,0.2,1.0,"{'model__regressor__kernel': 'rbf', 'model__regressor__gamma': 0.01, 'model__regressor__epsilon': 0.2, 'model__regressor__C': 1}",-0.44925970541239096,-0.08784259647541451,-0.16153617826869796,-0.10107306683613976,-0.2879770287368408,-0.21753771514589682,0.13577760339444991,12
0.005137062072753907,5.918327160514555e-05,0.002113676071166992,1.937485079193536e-05,rbf,0.01,0.1,100.0,"{'model__regressor__kernel': 'rbf', 'model__regressor__gamma': 0.01, 'model__regressor__epsilon': 0.1, 'model__regressor__C': 100}",-0.43571733675114277,-0.18783822402403275,-0.22928518044208762,-0.3284827997114397,-0.28092839614678494,-0.29245038741509755,0.08589535248433366,19
0.005055999755859375,4.53021902005978e-05,0.0021086215972900392,1.796062716884717e-05,rbf,scale,0.1,10.0,"{'model__regressor__kernel': 'rbf', 'model__regressor__gamma': 'scale', 'model__regressor__epsilon': 0.1, 'model__regressor__C': 10}",-0.43535867627406455,-0.13483872192686167,-0.1695658085370394,-0.21622490205956937,-0.2831428166406706,-0.2478261850876411,0.10611804198458355,17
0.004955387115478516,5.641138763099012e-05,0.0020928382873535156,1.8352346592031757e-05,rbf,scale,0.1,1.0,"{'model__regressor__kernel': 'rbf', 'model__regressor__gamma': 'scale', 'model__regressor__epsilon': 0.1, 'model__regressor__C': 1}",-0.4506900848259548,-0.07000848051870825,-0.16556845955601443,-0.08165577062261802,-0.2904566307258606,-0.2116758852498312,0.14313278585412237,8
0.004919719696044922,8.254909250407052e-05,0.002116966247558594,3.307077975840551e-05,rbf,0.1,0.2,0.1,"{'model__regressor__kernel': 'rbf', 'model__regressor__gamma': 0.1, 'model__regressor__epsilon': 0.2, 'model__regressor__C': 0.1}",-0.45847436759384025,-0.05631144959824676,-0.159939762692603,-0.05550567892651064,-0.2972543135848399,-0.2054971144792081,0.15443195254096687,6
0.004975795745849609,6.696820971035326e-05,0.002111673355102539,2.37941264150136e-05,rbf,0.1,0.2,1.0,"{'model__regressor__kernel': 'rbf', 'model__regressor__gamma': 0.1, 'model__regressor__epsilon': 0.2, 'model__regressor__C': 1}",-0.45186483835560176,-0.08526169426988219,-0.15463882651799452,-0.0920265664019056,-0.29319186543246933,-0.21539675819557064,0.13986857902506708,10
