mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__regressor__n_estimators,param_model__regressor__min_samples_leaf,param_model__regressor__max_features,param_model__regressor__max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.3626690864562988,0.005438866892947668,0.007280921936035157,0.00026611720029489006,400,4,1.0,8,"{'model__regressor__n_estimators': 400, 'model__regressor__min_samples_leaf': 4, 'model__regressor__max_features': 1.0, 'model__regressor__max_depth': 8}",-0.4491443945979026,-0.13120358750372776,-0.16968547297281458,-0.20314572039467743,-0.23617975472546007,-0.23787178603891648,0.11124060014284641,8
0.23831300735473632,0.0012535546776287782,0.006872749328613282,5.354874917465593e-05,400,1,0.5,4,"{'model__regressor__n_estimators': 400, 'model__regressor__min_samples_leaf': 1, 'model__regressor__max_features': 0.5, 'model__regressor__max_depth': 4}",-0.4598200421234443,-0.0952647116233062,-0.16536625890161769,-0.32220553053118567,-0.21425234750852676,-0.2513817781376161,0.12775939607077336,14
0.14819955825805664,0.0017461046748421594,0.004636716842651367,0.00010561091601838304,200,2,0.5,8,"{'model__regressor__n_estimators': 200, 'model__regressor__min_samples_leaf': 2, 'model__regressor__max_features': 0.5, 'model__regressor__max_depth': 8}",-0.4547713704418722,-0.11354686671903198,-0.15946504858778998,-0.2011396052041659,-0.24269591383727704,-0.23432376095802745,0.11828720527920106,7
0.24394989013671875,0.0015305498499181688,0.004653549194335938,5.535637873243666e-05,200,1,1.0,8,"{'model__regressor__n_estimators': 200, 'model__regressor__min_samples_leaf': 1, 'model__regressor__max_features': 1.0, 'model__regressor__max_depth': 8}",-0.45996213041246187,-0.08493245471069355,-0.17060480019980742,-0.40511565862226107,-0.2270723364134692,-0.2695374760717386,0.14164248579968905,20
0.11394448280334472,0.0005424316712678173,0.004550361633300781,2.7378758888127667e-05,200,4,0.5,4,"{'model__regressor__n_estimators': 200, 'model__regressor__min_samples_leaf': 4, 'model__regressor__max_features': 0.5, 'model__regressor__max_depth': 4}",-0.44898257065933017,-0.11234115693502042,-0.16531333130465148,-0.1611400566275855,-0.24303579355234056,-0.2261625818157856,0.11901204101606566,5
0.4847437381744385,0.007828698960435625,0.007201862335205078,0.00019401644375730855,400,1,1.0,8,"{'model__regressor__n_estimators': 400, 'model__regressor__min_samples_leaf': 1, 'model__regressor__max_features': 1.0, 'model__regressor__max_depth': 8}",-0.4603348981338225,-0.09108714064412742,-0.16948860809060573,-0.39163243777113815,-0.220311029957068,-0.26657082291935236,0.13823485231944632,18
0.3184983253479004,0.0020090934926245974,0.0068972110748291016,9.017619782302125e-05,400,2,1.0,4,"{'model__regressor__n_estimators': 400, 'model__regressor__min_samples_leaf': 2, 'model__regressor__max_features': 1.0, 'model__regressor__max_depth': 4}",-0.46013723468605205,-0.09305537208150809,-0.16586250211919362,-0.25943072000510975,-0.23813254677066623,-0.24332367513250594,0.1231870939188851,12
0.12134432792663574,0.0004990287787284916,0.004492807388305664,1.8172688880866476e-05,200,1,0.5,4,"{'model__regressor__n_estimators': 200, 'model__regressor__min_samples_leaf': 1, 'model__regressor__max_features': 0.5, 'model__regressor__max_depth': 4}",-0.459177342657821,-0.08826142839432728,-0.16601048784522066,-0.34375585416322596,-0.21369043412093944,-0.25417910943630684,0.13190146653030618,16
0.23929152488708497,0.00647710503276382,0.004698371887207032,0.0001262795522209294,200,2,1.0,,"{'model__regressor__n_estimators': 200, 'model__regressor__min_samples_leaf': 2, 'model__regressor__max_features': 1.0, 'model__regressor__max_depth': None}",-0.45932281520128737,-0.09724536390645519,-0.16411527828508438,-0.2587277410495359,-0.23618468443638446,-0.24311917657574944,0.12211184462523164,11
0.2230135440826416,0.0016804827334080579,0.006991815567016601,0.0001679162536907409,400,4,0.5,4,"{'model__regressor__n_estimators': 400, 'model__regressor__min_samples_leaf': 4, 'model__regressor__max_features': 0.5, 'model__regressor__max_depth': 4}",-0.4488018226535924,-0.11353451247211756,-0.16425278898269008,-0.15720140149762626,-0.24024505642606994,-0.2248071164064193,0.11918968920439124,3
