SampleID,substrate1_Q,substrate1_pH,substrate1_ALK,substrate1_VS,substrate1_COD,substrate1_sCOD,substrate1_TC,substrate1_Protein,substrate1_Lipid,substrate1_TVFAs,substrate1_HAc,substrate1_HPro,substrate2_Q,substrate2_pH,substrate2_ALK,substrate2_VS,substrate2_COD,substrate2_sCOD,substrate2_TC,substrate2_Protein,substrate2_Lipid,substrate2_TVFAs,substrate2_HAc,substrate2_HPro,substrate3_Q,substrate3_pH,substrate3_ALK,substrate3_VS,substrate3_COD,substrate3_sCOD,substrate3_TC,substrate3_Protein,substrate3_Lipid,substrate3_TVFAs,substrate3_HAc,substrate3_HPro,HRT_d,T_C,eff_pH,eff_VS,eff_TC,eff_Lipid,eff_COD,eff_sCOD,eff_CH4,eff_H2S,eff_protein,has_substrate2,has_substrate3,substrate1_name,substrate2_name,substrate3_name,ARC__Halobacterota,ARC__Euryarchaeota,ARC__unidentified,ARC__Thermoplasmatota,ARC__Crenarchaeota,ARC__Nanoarchaeota,ARC__Micrarchaeota,ARC__Asgardarchaeota,ARC__Mollusca,ARC__Vertebrata,BAC__Firmicutes,BAC__Bacteroidota,BAC__Cloacimonadota,BAC__Proteobacteria,BAC__Desulfobacterota,BAC__Chloroflexi,BAC__Spirochaetota,BAC__Thermotogota,BAC__Synergistota,BAC__Actinobacteriota,Site,Season,target
3-3,326166.0,5.7,1.4717,21.18,81.4,4.8,28.98,34.77,3.92,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,35.0,7.51,18.65,8.37,3.2,30.38,0.8,67.3,5.763,16.746886875,0,0,MSC,None,None,68.68599999999999,24.799,4.723,1.011,0.513,0.213,0.055,0.0,0.0,0.0,15.01,23.636,17.619,12.909,6.66,1.147,2.008,3.502,8.109,2.072,BSI,Winter,0.004112433944029774
4-3,326166.0,5.55,0.9925,31.35,54.34,3.2,15.34,16.11,4.05,0.4,0.22,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,35.0,7.32,22.35,6.31,3.4,34.36,0.9,66.4,0.204,18.6395625,0,0,MSC,None,None,73.902,24.844,0.303,0.395,0.269,0.217,0.069,0.0,0.0,0.0,16.941,24.888,10.101,21.093,4.294,1.136,2.182,2.632,6.016,3.833,BSI,Spring,0.0
1-4,559071.0,4.44,,34.07,49.9,8.8,10.84,14.123,4.43,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,37.3,7.38,11.42,3.31,1.03,21.63,0.0,61.2,0.297,6.001783125,0,0,MSC+Fww,None,None,70.014,21.259,2.222,5.255,0.55,0.671,0.03,0.0,0.0,0.0,22.615,27.865,8.251000000000001,15.263,4.683,6.306999999999999,5.427,0.996,0.77,1.035,BSO,Summer,0.0
2-4,559071.0,5.19,0.0,21.55,33.78,4.9,6.32,10.155,2.33,0.72,0.56,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,37.3,7.34,12.6,3.02,1.85,17.85,0.3,62.78,0.103,6.510184375,0,0,MSC+Fww,None,None,77.869,17.385,0.0,4.181,0.085,0.479,0.0,0.0,0.0,0.0,25.377,23.606,11.198,12.841,3.712,12.184,4.294,0.831,0.804,0.877,BSO,Fall,0.016680567139282735
3-4,559071.0,4.88,0.458,22.12,40.88,9.3,15.19,19.4,4.83,1.52,1.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,37.3,7.07,12.1,4.48,2.0,19.21,0.5,57.0,0.158,12.2948790625,0,0,MSC+Fww,None,None,77.25800000000001,19.365,0.062,2.922,0.34,0.054,0.0,0.0,0.0,0.0,25.184,21.664,16.347,13.75,5.081,3.489,4.739,1.288,1.524,1.054,BSO,Winter,0.06643356643356643
4-4,559071.0,5.05,1.1275,31.65,58.95,13.4,20.41,17.91,4.05,0.37,0.31,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,37.3,7.2,10.13,2.44,1.3,15.47,0.4,63.8,0.168,8.131874999999999,0,0,MSC+Fww,None,None,73.716,22.429,0.136,3.184,0.324,0.048,0.164,0.0,0.0,0.0,22.548,21.948,17.499,15.33,4.191000000000001,3.083,4.609,1.59,1.32,1.977,BSO,Spring,0.0
1-5,376217.0,5.82,0.495,28.97,49.56,1.1,9.2,14.532,2.57,0.95,0.57,0.23,214734.0,6.47,0.3891,26.55,51.22,0.0,16.82,17.108,0.4,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,34.1,7.19,14.58,4.04,1.38,26.99,10.9,60.7,0.006,10.24726375,1,0,1SC,2SC,None,63.397,28.474,2.896,2.979,0.845,0.8340000000000001,0.573,0.0,0.0,0.0,12.778,25.745,23.733,14.949,6.492,0.839,4.012,1.221,1.915,1.755,BSE,Summer,0.0031347962382445144
2-5,376217.0,6.13,0.145,20.97,32.82,0.8,5.56,9.343,1.83,0.0,0.0,0.0,214734.0,6.7,0.1515,33.23,48.65,0.3,9.79,17.632,2.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,34.1,7.49,14.85,3.8,2.2,22.63,0.4,65.06,0.001,8.292889375000001,1,0,1SC,2SC,None,72.907,16.19,0.8570000000000001,3.539,2.976,1.87,1.659,0.0,0.0,0.0,12.652,28.095,11.636,18.045,6.441,1.683,5.472,2.479,1.223,2.275,BSE,Fall,0.0
3-5,376217.0,5.9,0.495,31.68,41.19,0.95,21.27,34.59,2.24,0.0,0.0,0.0,214734.0,6.36,0.296,23.73,81.22,0.4,25.77,13.26,3.3,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,34.1,7.34,13.1,5.33,2.07,25.74,0.6,61.4,0.008,13.261363437500002,1,0,1SC,2SC,None,65.102,27.607,0.347,2.834,1.322,1.388,1.198,0.0,0.0,0.0,15.868,25.184,20.842,11.139,5.312,0.793,2.694,6.935,3.897,1.128,BSE,Winter,0.0023248785250970633
4-5,376217.0,5.52,0.845,23.0,36.39,1.5,6.66,14.48,3.35,0.06,0.06,0.0,214734.0,6.48,0.72,33.83,50.11,0.2,10.3,23.94,2.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,34.1,7.34,16.65,4.57,2.6,26.73,0.6,63.62,0.009,12.865624999999998,1,0,1SC,2SC,None,74.564,22.945,0.062,1.202,0.594,0.067,0.437,0.0,0.0,0.0,15.441,24.648,6.262,20.835,4.562,1.215,1.756,10.748,6.037,1.941,BSE,Spring,0.0
