mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__regressor__weights,param_model__regressor__p,param_model__regressor__n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.005992269515991211,0.001837148358926189,0.005261754989624024,0.005654185023371451,uniform,1,3,"{'model__regressor__weights': 'uniform', 'model__regressor__p': 1, 'model__regressor__n_neighbors': 3}",-0.454725706844274,-0.04604393370965946,-0.17061770974403406,-0.14674067778684013,-0.27496357378541697,-0.2186183203740449,0.13868947947492669,10
0.005126857757568359,0.00022656277172122686,0.002671480178833008,8.318710882550988e-05,distance,1,3,"{'model__regressor__weights': 'distance', 'model__regressor__p': 1, 'model__regressor__n_neighbors': 3}",-0.4551103057176945,-0.044784830502983486,-0.17058871496254466,-0.1515660081914494,-0.2746483209475444,-0.2193396360644433,0.13862622867278063,11
0.005952119827270508,0.001784901115516741,0.003798103332519531,0.0025565724873827193,uniform,2,3,"{'model__regressor__weights': 'uniform', 'model__regressor__p': 2, 'model__regressor__n_neighbors': 3}",-0.4552038985380614,-0.04516206463468134,-0.1668112170733712,-0.15565333140554521,-0.292722896965685,-0.22311068172346885,0.1400706649929875,17
0.005048418045043945,4.062378341301441e-05,0.002811574935913086,0.0001337942188550133,distance,2,3,"{'model__regressor__weights': 'distance', 'model__regressor__p': 2, 'model__regressor__n_neighbors': 3}",-0.454841038334748,-0.04483215820094906,-0.16681307068105444,-0.17888267721594509,-0.2930486330071319,-0.22768351548796567,0.13812638452006784,20
0.005013465881347656,3.307511095461393e-05,0.0024159431457519533,5.809591068465436e-06,uniform,1,5,"{'model__regressor__weights': 'uniform', 'model__regressor__p': 1, 'model__regressor__n_neighbors': 5}",-0.45883877155104963,-0.044725103849534396,-0.16801806715208656,-0.1223260403861455,-0.28736711814507926,-0.21625502021677906,0.1445515658753749,3
0.005023765563964844,6.281022419023394e-05,0.0027092933654785157,9.133399721397188e-05,distance,1,5,"{'model__regressor__weights': 'distance', 'model__regressor__p': 1, 'model__regressor__n_neighbors': 5}",-0.4587413572170417,-0.04346237775160357,-0.16819515240741315,-0.1278974978101426,-0.28690471202256695,-0.21704021944175356,0.14405694696524302,7
0.005048942565917969,5.086634542883666e-05,0.0024118900299072267,6.661058401334754e-06,uniform,2,5,"{'model__regressor__weights': 'uniform', 'model__regressor__p': 2, 'model__regressor__n_neighbors': 5}",-0.4601892434904202,-0.03680323407707564,-0.1681801323830429,-0.13614122745907126,-0.29892319810452556,-0.2200474071028271,0.14642293543493004,13
0.005055141448974609,5.020834887962944e-05,0.002535724639892578,1.3311872433787718e-05,distance,2,5,"{'model__regressor__weights': 'distance', 'model__regressor__p': 2, 'model__regressor__n_neighbors': 5}",-0.45942231451380816,-0.036332922391427686,-0.16753005422759157,-0.1530029789594288,-0.2988861672239165,-0.22303488746323455,0.14455124405677014,16
0.005053520202636719,4.2744136077643344e-05,0.002455472946166992,7.4940841891773756e-06,uniform,1,7,"{'model__regressor__weights': 'uniform', 'model__regressor__p': 1, 'model__regressor__n_neighbors': 7}",-0.45715856056928117,-0.04167479543182336,-0.16552648796922828,-0.1442776812822108,-0.29310764506785875,-0.22034903406408043,0.14289115658011808,15
0.005063104629516602,5.1468027828893537e-05,0.0026020526885986326,5.40556281568861e-05,distance,1,7,"{'model__regressor__weights': 'distance', 'model__regressor__p': 1, 'model__regressor__n_neighbors': 7}",-0.4571045480780791,-0.040977048630884305,-0.16523993978045656,-0.1417380093209104,-0.29268464707320263,-0.2195488385767066,0.14329928639286904,12
0.005069208145141601,5.028414576529997e-05,0.00243072509765625,5.134364997824787e-06,uniform,2,7,"{'model__regressor__weights': 'uniform', 'model__regressor__p': 2, 'model__regressor__n_neighbors': 7}",-0.4577031191145963,-0.03664763428071465,-0.16596868953616659,-0.1570537281665659,-0.30258553326814275,-0.22399174087323726,0.14404386750502252,18
0.005058383941650391,6.51565480111074e-05,0.002553892135620117,7.366607857091043e-05,distance,2,7,"{'model__regressor__weights': 'distance', 'model__regressor__p': 2, 'model__regressor__n_neighbors': 7}",-0.45718659527195876,-0.03575950047353596,-0.16568861134109586,-0.1622623235282694,-0.3022511814535306,-0.22462964241367808,0.14362694578037,19
0.0050567626953125,4.659448151503715e-05,0.002453041076660156,9.703841195529744e-06,uniform,1,11,"{'model__regressor__weights': 'uniform', 'model__regressor__p': 1, 'model__regressor__n_neighbors': 11}",-0.4623791464905479,-0.04081547208472224,-0.1636547525111885,-0.12478369682899665,-0.2980442503741088,-0.2179354636579128,0.1477601234885467,8
0.005041885375976563,7.690119476911646e-05,0.002534818649291992,2.8189667491007576e-05,distance,1,11,"{'model__regressor__weights': 'distance', 'model__regressor__p': 1, 'model__regressor__n_neighbors': 11}",-0.4618786077765307,-0.039920804282540544,-0.16330329957819706,-0.12205553422638275,-0.2976791466677565,-0.21696747850628154,0.14814147342222592,5
0.005030107498168945,3.6883716359545704e-05,0.002407360076904297,8.091351933213895e-06,uniform,2,11,"{'model__regressor__weights': 'uniform', 'model__regressor__p': 2, 'model__regressor__n_neighbors': 11}",-0.4614792190612709,-0.03536874667804623,-0.16593424047440083,-0.11527971738377933,-0.30380757238368594,-0.21637389919623665,0.1504980551632673,4
0.005015277862548828,3.586075397969706e-05,0.002557802200317383,5.0700909091164014e-05,distance,2,11,"{'model__regressor__weights': 'distance', 'model__regressor__p': 2, 'model__regressor__n_neighbors': 11}",-0.4606643348255535,-0.034471691965090694,-0.16571678003312026,-0.12044981563715618,-0.3036242432949131,-0.21698537315116675,0.14976285020486854,6
0.004998445510864258,5.272124330339517e-05,0.0024359703063964845,1.0431078498726978e-05,uniform,1,15,"{'model__regressor__weights': 'uniform', 'model__regressor__p': 1, 'model__regressor__n_neighbors': 15}",-0.4626318318916558,-0.06846203557988817,-0.16784561561484287,-0.11688553949859955,-0.28565339622323066,-0.22029568376164343,0.14106492375781543,14
0.005012416839599609,5.706061448405048e-05,0.002521181106567383,2.238525738878875e-05,distance,1,15,"{'model__regressor__weights': 'distance', 'model__regressor__p': 1, 'model__regressor__n_neighbors': 15}",-0.46219025097583927,-0.06354979798277034,-0.16716534543568218,-0.11401781049397276,-0.28559935224749383,-0.2185045114271517,0.1424419890196198,9
0.005017280578613281,5.968984236947534e-05,0.0024217605590820313,8.665588846228618e-06,uniform,2,15,"{'model__regressor__weights': 'uniform', 'model__regressor__p': 2, 'model__regressor__n_neighbors': 15}",-0.4633413833246411,-0.03410025055928954,-0.16462796323159143,-0.10601532989837853,-0.27278415446754894,-0.2081738162962899,0.14961229027884768,1
0.005028915405273437,3.267027092346553e-05,0.0025130271911621093,2.151090588393487e-05,distance,2,15,"{'model__regressor__weights': 'distance', 'model__regressor__p': 2, 'model__regressor__n_neighbors': 15}",-0.4624724243130258,-0.03330712188519109,-0.1641016803639843,-0.10827406880700842,-0.273378784031754,-0.2083068158801927,0.14927830045958337,2
