,missing,missing_percent
BAC_O::Holophagales,0,0.0
BAC_O::Holosporales,0,0.0
BAC_O::Hydrogenedentiales,0,0.0
BAC_O::Hydrothermae,0,0.0
BAC_O::IMCC26256,0,0.0
BAC_O::Ignavibacteriales,0,0.0
BAC_O::Incertae_Sedis,0,0.0
BAC_O::Isosphaerales,0,0.0
BAC_O::Izemoplasmatales,0,0.0
BAC_O::JG30-KF-CM66,0,0.0
BAC_O::JG36-GS-52,0,0.0
BAC_O::JGI_0000069-P22,0,0.0
BAC_O::JS1,0,0.0
BAC_O::KD4-96,0,0.0
BAC_O::KI89A_clade,0,0.0
BAC_O::KIST-JJY010,0,0.0
BAC_O::Kapabacteriales,0,0.0
BAC_O::Kiloniellales,0,0.0
BAC_O::Kosmotogales,0,0.0
BAC_O::Kryptoniales,0,0.0
BAC_O::LCP-89,0,0.0
BAC_O::LD1-PA32,0,0.0
BAC_O::LD1-PB3,0,0.0
BAC_O::Lachnospirales,0,0.0
BAC_O::Lactobacillales,0,0.0
BAC_O::Latescibacterales,0,0.0
BAC_O::Latescibacterota,0,0.0
BAC_O::Legionellales,0,0.0
BAC_O::Leptospirales,0,0.0
BAC_O::Limnochordales,0,0.0
BAC_O::Limnochordia,0,0.0
BAC_O::Lineage_IIa,0,0.0
BAC_O::Lineage_IV,0,0.0
BAC_O::Longimicrobiales,0,0.0
BAC_O::M55-D21,0,0.0
BAC_O::MAT-CR-H4-C10,0,0.0
BAC_O::MBA03,0,0.0
BAC_O::MBNT15,0,0.0
BAC_O::MD2902-B12,0,0.0
BAC_O::MSB-5E12,0,0.0
BAC_O::MSBL9,0,0.0
BAC_O::MVP-15,0,0.0
BAC_O::MVP-88,0,0.0
BAC_O::Margulisbacteria,0,0.0
BAC_O::Marinimicrobia_(SAR406_clade),0,0.0
BAC_O::Methylacidiphilales,0,0.0
BAC_O::Methylococcales,0,0.0
BAC_O::Methylomirabilales,0,0.0
BAC_O::Micavibrionales,0,0.0
BAC_O::Micrococcales,0,0.0
BAC_O::Micropepsales,0,0.0
BAC_O::Microtrichales,0,0.0
BAC_O::MidBa8,0,0.0
BAC_O::Monoglobales,0,0.0
BAC_O::Moorellales,0,0.0
BAC_O::Myxococcales,0,0.0
BAC_O::NB1-j,0,0.0
BAC_O::NKB15,0,0.0
BAC_O::Nannocystales,0,0.0
BAC_O::Nitrosococcales,0,0.0
BAC_O::Nitrospirales,0,0.0
BAC_O::OC31,0,0.0
BAC_O::OLB14,0,0.0
BAC_O::OM190,0,0.0
BAC_O::OPB41,0,0.0
BAC_O::Obscuribacterales,0,0.0
BAC_O::Oceanospirillales,0,0.0
BAC_O::Oligoflexales,0,0.0
BAC_O::Oligosphaerales,0,0.0
BAC_O::Omnitrophales,0,0.0
BAC_O::Opitutales,0,0.0
BAC_O::Oscillospirales,0,0.0
BAC_O::PAUC34f,0,0.0
BAC_O::PB19,0,0.0
BAC_O::PLTA13,0,0.0
BAC_O::Paenibacillales,0,0.0
BAC_O::Paracaedibacterales,0,0.0
BAC_O::Parcubacteria,0,0.0
BAC_O::Parvibaculales,0,0.0
BAC_O::Pasteurellales,0,0.0
BAC_O::PeM15,0,0.0
BAC_O::Pedosphaerales,0,0.0
BAC_O::Peptococcales,0,0.0
BAC_O::Peptostreptococcales-Tissierellales,0,0.0
