Model,Macro MCC,Macro AUPR,Macro ROC-AUC
RandomForest,0.4433138419671043,0.30979835936124966,0.7745954139297109
KNN,0.293932987831528,0.39124650545666845,0.6331141648405347
SVM,0.14216348289247688,0.14458727956483577,0.4918420957851497
NNET,0.3211616672708533,0.26672389951356906,0.6760522794530337
XGBoost,0.4206426779917899,0.280252834634197,0.7341619319243604
GLMNET,0.5928691264870893,0.44126567126578414,0.7818289512974524
