domain,rank,workbook_sample,SampleID,workbook_suffix,original_suffix,Site
BAC,Order,3-28-MYSN,3-28,MYSN,MYSN,MYS
BAC,Order,3-29-SCHG,3-29,SCHG,SCHG,SCH
BAC,Order,3-3-BSIGa,3-3,BSIGa,BSIGa,BSI
BAC,Order,3-30-YSDM,3-30,YSDM,YSDM,YSD
BAC,Order,3-31-YSYS,3-31,YSYS,YSYS,YSY
BAC,Order,3-32-JJNG,3-32,JJNG,JJNG,JJN
BAC,Order,3-32'-JJYS,3-32',JJYS,JJYS,JJY
BAC,Order,3-33-CWMS,3-33,CWMS,CWMS,CWM
BAC,Order,3-34-CWSS,3-34,CWSS,CWSS,CWS
BAC,Order,3-4-BSOC,3-4,BSOC,BSOC,BSO
BAC,Order,3-5-BSES,3-5,BSES,BSES,BSE
BAC,Order,3-6-DGGW,3-6,DGGW,DGGW,DGG
BAC,Order,3-7-DGDS,3-7,DGDS,DGDS,DGD
BAC,Order,3-8-DGJY,3-8,DGJY,DGJY,DGJ
BAC,Order,3-9-DGGB,3-9,DGGB,DGGB,DGB
BAC,Order,4-1-BSSG,4-1,BSSG,BSSG,BSS
BAC,Order,4-10-DGDC,4-10,DGDC,DGDC,DGC
BAC,Order,4-11-DGYSa,4-11,DGYSa,DGYSa,DGY
BAC,Order,4-12-USOS,4-12,USOS,USOS,USO
BAC,Order,4-13-USYY,4-13,USYY,USYY,USY
BAC,Order,4-14-USYJ,4-14,USYJ,USYJ,USJ
BAC,Order,4-15-GSGA,4-15,GSGA,GSGA,GSG
BAC,Order,4-16-GCGD,4-16,GCGD,GCGD,GCG
BAC,Order,4-17-MGYS,4-17,MGYS,MGYS,MGY
BAC,Order,4-18-ADAS,4-18,ADAS,ADAS,ADA
BAC,Order,4-2-BSNS,4-2,BSNS,BSNS,BSN
BAC,Order,4-21-YCDG,4-21,YCDG,YCDG,YCD
BAC,Order,4-22-UJGN,4-22,UJGN,UJGN,UJG
BAC,Order,4-23-CGSJ,4-23,CGSJ,CGSJ,CGS
BAC,Order,4-24-GHGHa,4-24,GHGHa,GHGHa,GHGa
