Model,domain,feature,importance,taxonomic_level
RandomForest,Bacteria,BAC_O::Candidatus_Peregrinibacteria,0.0008842897376951,Order
RandomForest,Bacteria,BAC_O::Geobacterales,0.0008761025029999,Order
RandomForest,Bacteria,BAC_O::Brachyspirales,0.000854376272961,Order
RandomForest,Bacteria,BAC_O::SJA-15,0.0008525313750678,Order
RandomForest,Bacteria,BAC_O::Absconditabacteriales_(SR1),0.0008450717119565,Order
RandomForest,Bacteria,BAC_O::Desulfobulbales,0.0008405049195724,Order
RandomForest,Bacteria,BAC_O::Actinomycetales,0.0008203228198642,Order
RandomForest,Bacteria,BAC_O::Peptococcales,0.0007975903994688,Order
RandomForest,Bacteria,BAC_O::Aminicenantales,0.0007865650294565,Order
RandomForest,Bacteria,BAC_O::Cytophagales,0.0007818390260342,Order
RandomForest,Bacteria,BAC_O::Planctomycetales,0.0007489173841368,Order
RandomForest,Bacteria,BAC_O::Proteinivoracales,0.0006877805237335,Order
RandomForest,Bacteria,BAC_O::Bacillales,0.0006874647780564,Order
RandomForest,Bacteria,BAC_O::Microtrichales,0.000686198153556,Order
RandomForest,Bacteria,BAC_O::Campylobacterales,0.0006589002466,Order
RandomForest,Bacteria,BAC_O::LD1-PB3,0.0006456244556557,Order
RandomForest,Bacteria,BAC_O::Syntrophobacterales,0.0005944482772893,Order
RandomForest,Bacteria,BAC_O::Bacteroidetes_VC2.1_Bac22,0.0005908253873691,Order
RandomForest,Bacteria,BAC_O::MSBL9,0.0005704635125023,Order
RandomForest,Bacteria,BAC_O::Kapabacteriales,0.0005556024781374,Order
RandomForest,Bacteria,BAC_O::Reyranellales,0.0005075564801273,Order
RandomForest,Archaea,ARC_O::Nitrososphaerales,0.000495345522683,Order
RandomForest,Bacteria,BAC_O::Thermoanaerobaculales,0.0004603184213257,Order
RandomForest,Bacteria,BAC_O::Myxococcales,0.0004463412883516,Order
RandomForest,Bacteria,BAC_O::MVP-15,0.0004369055474265,Order
RandomForest,Bacteria,BAC_O::Acetobacterales,0.000434192267313,Order
RandomForest,Bacteria,BAC_O::CK-2C2-2,0.0003763578233449,Order
