fold,feature
2,BAC_O::0319-6G20
2,BAC_O::053A03-B-DI-P58
2,BAC_O::1-20
2,BAC_O::113B434
2,BAC_O::Absconditabacteriales_(SR1)
2,BAC_O::Acetobacterales
2,BAC_O::Acetothermiia
2,BAC_O::Acholeplasmatales
2,BAC_O::Acidaminococcales
2,BAC_O::Actinomycetales
2,BAC_O::Aeromonadales
2,BAC_O::Aminicenantales
2,BAC_O::Anaerolineales
2,BAC_O::Arenicellales
2,BAC_O::B55-F-B-G02
2,BAC_O::BRH-c20a
2,BAC_O::Babeliales
2,BAC_O::Bacillales
2,BAC_O::Bacteriovoracales
2,BAC_O::Bacteroidales
2,BAC_O::Bacteroidetes_VC2.1_Bac22
2,BAC_O::Bdellovibrionales
2,BAC_O::Bifidobacteriales
2,BAC_O::Blastocatellales
2,BAC_O::Brachyspirales
2,BAC_O::Bradymonadales
2,BAC_O::Bryobacterales
2,BAC_O::Burkholderiales
2,BAC_O::C10-SB1A
2,BAC_O::CCM19a
2,BAC_O::CK-2C2-2
2,BAC_O::Caldatribacteriales
2,BAC_O::Caldicoprobacterales
2,BAC_O::Caldilineales
2,BAC_O::Caldisericales
2,BAC_O::Campylobacterales
2,BAC_O::Candidatus_Falkowbacteria
2,BAC_O::Candidatus_Peregrinibacteria
2,BAC_O::Candidatus_Shapirobacteria
2,BAC_O::Caulobacterales
2,BAC_O::Cellvibrionales
2,BAC_O::Chitinophagales
2,BAC_O::Chlamydiales
2,BAC_O::Christensenellales
2,BAC_O::Chthoniobacterales
2,BAC_O::Chthonomonadales
2,BAC_O::Cloacimonadales
2,BAC_O::Clostridia
2,BAC_O::Clostridia_UCG-014
2,BAC_O::Clostridiales
2,BAC_O::Competibacterales
2,BAC_O::Coprothermobacterales
2,BAC_O::Coriobacteriales
2,BAC_O::Corynebacteriales
2,BAC_O::Cytophagales
2,BAC_O::D8A-2
2,BAC_O::DS-100
2,BAC_O::DTU014
2,BAC_O::Defluviicoccales
2,BAC_O::Desulfitibacterales
2,BAC_O::Desulfitobacteriales
2,BAC_O::Desulfobulbales
2,BAC_O::Desulfotomaculales
2,BAC_O::Desulfovibrionales
2,BAC_O::Desulfuromonadia
2,BAC_O::Dethiobacterales
2,BAC_O::Diplorickettsiales
2,BAC_O::Dongiales
2,BAC_O::Ectothiorhodospirales
2,BAC_O::Elsterales
2,BAC_O::Endomicrobiales
2,BAC_O::Enterobacterales
2,BAC_O::Erysipelotrichales
2,BAC_O::Eubacteriales
2,BAC_O::Fermentibacterales
2,BAC_O::Fibrobacterales
2,BAC_O::Fimbriimonadales
2,BAC_O::Flavobacteriales
2,BAC_O::Frankiales
2,BAC_O::Fusobacteriales
2,BAC_O::Gaiellales
2,BAC_O::Gammaproteobacteria_Incertae_Sedis
2,BAC_O::Gemmatales
