feature,taxon,domain,taxonomic_level,samples_above_0_1_percent,training_samples_above_0_1_percent,included_in_final_matrix
BAC_O::Fimbriimonadales,Fimbriimonadales,Bacteria,Order,23,15,True
BAC_O::Flavobacteriales,Flavobacteriales,Bacteria,Order,66,47,True
BAC_O::Frankiales,Frankiales,Bacteria,Order,9,7,True
BAC_O::Fusobacteriales,Fusobacteriales,Bacteria,Order,21,14,True
BAC_O::Gaiellales,Gaiellales,Bacteria,Order,48,36,True
BAC_O::Gammaproteobacteria_Incertae_Sedis,Gammaproteobacteria_Incertae_Sedis,Bacteria,Order,7,4,True
BAC_O::Gemmatales,Gemmatales,Bacteria,Order,32,25,True
BAC_O::Gemmatimonadales,Gemmatimonadales,Bacteria,Order,16,11,True
BAC_O::Geobacterales,Geobacterales,Bacteria,Order,12,11,True
BAC_O::HOC36,HOC36,Bacteria,Order,1,1,True
BAC_O::Halanaerobiales,Halanaerobiales,Bacteria,Order,2,2,True
BAC_O::Haliangiales,Haliangiales,Bacteria,Order,6,3,True
BAC_O::Holophagales,Holophagales,Bacteria,Order,11,7,True
BAC_O::Hydrogenedentiales,Hydrogenedentiales,Bacteria,Order,65,49,True
BAC_O::Hydrothermae,Hydrothermae,Bacteria,Order,1,1,True
BAC_O::IMCC26256,IMCC26256,Bacteria,Order,5,2,True
BAC_O::Ignavibacteriales,Ignavibacteriales,Bacteria,Order,29,20,True
BAC_O::Incertae_Sedis,Incertae_Sedis,Bacteria,Order,35,32,True
BAC_O::Isosphaerales,Isosphaerales,Bacteria,Order,7,6,True
BAC_O::Izemoplasmatales,Izemoplasmatales,Bacteria,Order,59,52,True
BAC_O::JG36-GS-52,JG36-GS-52,Bacteria,Order,2,2,True
BAC_O::JS1,JS1,Bacteria,Order,64,46,True
BAC_O::Kapabacteriales,Kapabacteriales,Bacteria,Order,44,33,True
BAC_O::Kosmotogales,Kosmotogales,Bacteria,Order,47,34,True
BAC_O::LD1-PA32,LD1-PA32,Bacteria,Order,16,12,True
BAC_O::LD1-PB3,LD1-PB3,Bacteria,Order,32,25,True
BAC_O::Lachnospirales,Lachnospirales,Bacteria,Order,108,90,True
BAC_O::Lactobacillales,Lactobacillales,Bacteria,Order,99,78,True
BAC_O::Leptospirales,Leptospirales,Bacteria,Order,66,50,True
BAC_O::Limnochordales,Limnochordales,Bacteria,Order,24,24,True
BAC_O::Limnochordia,Limnochordia,Bacteria,Order,8,8,True
BAC_O::M55-D21,M55-D21,Bacteria,Order,12,12,True
BAC_O::MAT-CR-H4-C10,MAT-CR-H4-C10,Bacteria,Order,2,2,True
BAC_O::MBA03,MBA03,Bacteria,Order,60,51,True
BAC_O::MSBL9,MSBL9,Bacteria,Order,17,11,True
BAC_O::MVP-15,MVP-15,Bacteria,Order,55,41,True
BAC_O::Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Bacteria,Order,30,24,True
BAC_O::Methylococcales,Methylococcales,Bacteria,Order,29,21,True
