mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__regressor__n_estimators,param_model__regressor__min_samples_leaf,param_model__regressor__max_features,param_model__regressor__max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.47136650085449217,0.007081087034504532,0.007802104949951172,0.0002266825172489776,400,4,1.0,8,"{'model__regressor__n_estimators': 400, 'model__regressor__min_samples_leaf': 4, 'model__regressor__max_features': 1.0, 'model__regressor__max_depth': 8}",-0.44888118590776,-0.14404197382422976,-0.1661535045414629,-0.19666400163154835,-0.25149325486745333,-0.24144678415449086,0.10981096051431295,12
0.28384971618652344,0.002632402846723125,0.007474040985107422,7.9278619541399e-05,400,1,0.5,4,"{'model__regressor__n_estimators': 400, 'model__regressor__min_samples_leaf': 1, 'model__regressor__max_features': 0.5, 'model__regressor__max_depth': 4}",-0.4514281818603143,-0.08987062515945261,-0.15422202167818416,-0.28976396586138015,-0.23386240438831662,-0.2438294397895296,0.12412845457217826,16
0.18584980964660644,0.0014169109290482385,0.005198049545288086,2.939553152664419e-05,200,2,0.5,8,"{'model__regressor__n_estimators': 200, 'model__regressor__min_samples_leaf': 2, 'model__regressor__max_features': 0.5, 'model__regressor__max_depth': 8}",-0.45270742917499035,-0.1045584790862697,-0.14608635119676297,-0.2009066355399509,-0.2472967241477012,-0.23031112382913504,0.12126070358200783,2
0.32522311210632326,0.0013858294103874472,0.005208730697631836,4.139951724505418e-05,200,1,1.0,8,"{'model__regressor__n_estimators': 200, 'model__regressor__min_samples_leaf': 1, 'model__regressor__max_features': 1.0, 'model__regressor__max_depth': 8}",-0.44941337835297973,-0.07022387443557332,-0.16434483489815127,-0.3319108698715783,-0.22920832789167397,-0.24902025708999131,0.13157419416364316,18
0.13541531562805176,0.0014100166926181168,0.005103063583374023,2.7906749554679992e-05,200,4,0.5,4,"{'model__regressor__n_estimators': 200, 'model__regressor__min_samples_leaf': 4, 'model__regressor__max_features': 0.5, 'model__regressor__max_depth': 4}",-0.448960334714938,-0.12053148360343666,-0.16599502905242702,-0.16140612621104963,-0.26194804662819915,-0.2317682040420101,0.11809638863538813,3
0.6434444427490235,0.00320818666105488,0.007761430740356445,0.00011253290257013929,400,1,1.0,8,"{'model__regressor__n_estimators': 400, 'model__regressor__min_samples_leaf': 1, 'model__regressor__max_features': 1.0, 'model__regressor__max_depth': 8}",-0.4487410465782781,-0.07541077305023894,-0.16443325544992873,-0.32840852398934783,-0.2295112991648663,-0.24930097964653197,0.12951162873168462,19
0.40959343910217283,0.003818144619242224,0.00750436782836914,6.299731728978094e-05,400,2,1.0,4,"{'model__regressor__n_estimators': 400, 'model__regressor__min_samples_leaf': 2, 'model__regressor__max_features': 1.0, 'model__regressor__max_depth': 4}",-0.4553254423714746,-0.09693572866494769,-0.1586816649095077,-0.23482592587274204,-0.24870201169838205,-0.23889415470341083,0.12127776801092893,9
0.14507064819335938,0.0011431660118666922,0.005059480667114258,1.8516391797562764e-05,200,1,0.5,4,"{'model__regressor__n_estimators': 200, 'model__regressor__min_samples_leaf': 1, 'model__regressor__max_features': 0.5, 'model__regressor__max_depth': 4}",-0.4523629472614312,-0.08237085594757718,-0.1513725404753464,-0.29100328829587685,-0.23742517410432,-0.24290696121691036,0.12677973657793842,14
0.32284226417541506,0.00607599916971707,0.005394506454467774,0.00020473376407647935,200,2,1.0,,"{'model__regressor__n_estimators': 200, 'model__regressor__min_samples_leaf': 2, 'model__regressor__max_features': 1.0, 'model__regressor__max_depth': None}",-0.455337867211422,-0.09695747802759087,-0.1542665944453133,-0.23548814855932523,-0.2473439088902183,-0.23787879942677392,0.12184709214195208,8
0.26447038650512694,0.0031315220374532626,0.007616424560546875,0.000168656810784586,400,4,0.5,4,"{'model__regressor__n_estimators': 400, 'model__regressor__min_samples_leaf': 4, 'model__regressor__max_features': 0.5, 'model__regressor__max_depth': 4}",-0.44676315981465553,-0.13006077591652182,-0.1643339111498902,-0.1622096803282165,-0.2571502981243914,-0.23210356506673507,0.11540943842477361,4
