mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__regressor__subsample,param_model__regressor__reg_lambda,param_model__regressor__n_estimators,param_model__regressor__max_depth,param_model__regressor__learning_rate,param_model__regressor__colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.05426111221313477,0.002583468565625948,0.0031133174896240236,0.00012795215906524933,0.8,1,100,5,0.03,1.0,"{'model__regressor__subsample': 0.8, 'model__regressor__reg_lambda': 1, 'model__regressor__n_estimators': 100, 'model__regressor__max_depth': 5, 'model__regressor__learning_rate': 0.03, 'model__regressor__colsample_bytree': 1.0}",-0.4571612126085787,-0.2643456764242348,-0.1635139193201605,-0.21846703961906103,-0.1942171611211393,-0.2595410018186349,0.10416554873674899,17
0.04623003005981445,0.00041868326555302883,0.0030239582061767577,2.5711473438995664e-05,0.8,10,300,2,0.1,0.7,"{'model__regressor__subsample': 0.8, 'model__regressor__reg_lambda': 10, 'model__regressor__n_estimators': 300, 'model__regressor__max_depth': 2, 'model__regressor__learning_rate': 0.1, 'model__regressor__colsample_bytree': 0.7}",-0.4482960890277259,-0.14631871151895806,-0.16212153864313178,-0.16563158866875888,-0.26158537888616645,-0.2367906613489482,0.11329041369130408,8
0.04984736442565918,0.0019428396854079069,0.0030392169952392577,1.2698201277240901e-05,0.8,10,100,5,0.03,0.7,"{'model__regressor__subsample': 0.8, 'model__regressor__reg_lambda': 10, 'model__regressor__n_estimators': 100, 'model__regressor__max_depth': 5, 'model__regressor__learning_rate': 0.03, 'model__regressor__colsample_bytree': 0.7}",-0.4554969834739446,-0.09404932965256567,-0.16464030826340667,-0.08311445060953684,-0.2800726564123888,-0.21547474568236852,0.1390187642749278,1
0.04576091766357422,0.0002996055330659973,0.0030034542083740234,2.8216755737549772e-05,0.8,1,300,2,0.03,0.7,"{'model__regressor__subsample': 0.8, 'model__regressor__reg_lambda': 1, 'model__regressor__n_estimators': 300, 'model__regressor__max_depth': 2, 'model__regressor__learning_rate': 0.03, 'model__regressor__colsample_bytree': 0.7}",-0.4566160275231292,-0.2176365879376529,-0.1652054473895585,-0.27667536050364,-0.21044406968083532,-0.2653154986069632,0.1020108949237041,18
0.045605945587158206,0.0005557512510745332,0.0030211448669433595,4.936787006506805e-05,1.0,10,300,2,0.1,0.7,"{'model__regressor__subsample': 1.0, 'model__regressor__reg_lambda': 10, 'model__regressor__n_estimators': 300, 'model__regressor__max_depth': 2, 'model__regressor__learning_rate': 0.1, 'model__regressor__colsample_bytree': 0.7}",-0.45896072717746195,-0.11627812279510391,-0.17042691697873366,-0.1700988055873202,-0.24594890535018202,-0.23234269557776033,0.12059826841740369,7
0.02338709831237793,0.00017951000789989043,0.0029758930206298826,3.093251135261543e-05,0.8,10,100,2,0.1,0.7,"{'model__regressor__subsample': 0.8, 'model__regressor__reg_lambda': 10, 'model__regressor__n_estimators': 100, 'model__regressor__max_depth': 2, 'model__regressor__learning_rate': 0.1, 'model__regressor__colsample_bytree': 0.7}",-0.44958396637352677,-0.13934671368354468,-0.16373788307540077,-0.11230691155515765,-0.26836560210617727,-0.22666821535876144,0.12336440596526184,3
0.065913724899292,0.0016149644771238979,0.0030321121215820313,1.902251585676527e-05,0.8,1,300,3,0.03,0.7,"{'model__regressor__subsample': 0.8, 'model__regressor__reg_lambda': 1, 'model__regressor__n_estimators': 300, 'model__regressor__max_depth': 3, 'model__regressor__learning_rate': 0.03, 'model__regressor__colsample_bytree': 0.7}",-0.45684089654486426,-0.22386119474906432,-0.16859476015446095,-0.27970992180339704,-0.2223527458333234,-0.270271903817022,0.09968501029987122,19
0.14040021896362304,0.010000231165069866,0.003361034393310547,0.00026992632481018307,0.8,10,300,5,0.03,0.7,"{'model__regressor__subsample': 0.8, 'model__regressor__reg_lambda': 10, 'model__regressor__n_estimators': 300, 'model__regressor__max_depth': 5, 'model__regressor__learning_rate': 0.03, 'model__regressor__colsample_bytree': 0.7}",-0.4535730215162064,-0.12006833986792083,-0.1646277428692418,-0.12200241730550307,-0.2786987236339397,-0.22779404903856237,0.1267707460772076,4
0.05453338623046875,0.0006379597122350252,0.0030046939849853516,1.7333932535671572e-05,1.0,1,300,2,0.03,1.0,"{'model__regressor__subsample': 1.0, 'model__regressor__reg_lambda': 1, 'model__regressor__n_estimators': 300, 'model__regressor__max_depth': 2, 'model__regressor__learning_rate': 0.03, 'model__regressor__colsample_bytree': 1.0}",-0.4640736092637498,-0.19789393820473375,-0.17474933536270143,-0.21513478462285932,-0.16552618590808232,-0.24347557067242534,0.11166358583500137,11
0.08102178573608398,0.0028974416484702377,0.0030072689056396484,3.053158200347871e-05,1.0,1,300,3,0.1,1.0,"{'model__regressor__subsample': 1.0, 'model__regressor__reg_lambda': 1, 'model__regressor__n_estimators': 300, 'model__regressor__max_depth': 3, 'model__regressor__learning_rate': 0.1, 'model__regressor__colsample_bytree': 1.0}",-0.4564329020003121,-0.15713493076001755,-0.16542405038148963,-0.2777630753574977,-0.18643657729545035,-0.24863830715895346,0.11242186743631914,12
