mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__regressor__kernel,param_model__regressor__gamma,param_model__regressor__epsilon,param_model__regressor__C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.006794118881225586,0.00021078859351621453,0.0026535987854003906,1.135633517959915e-05,rbf,0.1,0.2,100.0,"{'model__regressor__kernel': 'rbf', 'model__regressor__gamma': 0.1, 'model__regressor__epsilon': 0.2, 'model__regressor__C': 100}",-0.4452342713247289,-0.12753853068678234,-0.1628900096473907,-0.13358857788301523,-0.2922191980968463,-0.2322941175277527,0.12203931424087576,16
0.006618499755859375,6.1017085917061906e-05,0.0026410579681396484,1.855723777611586e-05,rbf,0.01,0.1,1.0,"{'model__regressor__kernel': 'rbf', 'model__regressor__gamma': 0.01, 'model__regressor__epsilon': 0.1, 'model__regressor__C': 1}",-0.4518893458772872,-0.061063893301519324,-0.15648011116366103,-0.07306417977058402,-0.29104241921179674,-0.20670798986496966,0.14752755942430215,9
0.0067043304443359375,9.972841407477767e-05,0.0026458740234375,1.8417646197240845e-05,rbf,0.1,0.2,10.0,"{'model__regressor__kernel': 'rbf', 'model__regressor__gamma': 0.1, 'model__regressor__epsilon': 0.2, 'model__regressor__C': 10}",-0.4452342713247289,-0.12753853068678234,-0.1628900096473907,-0.13358857788301523,-0.2922191980968463,-0.2322941175277527,0.12203931424087576,16
0.0067064762115478516,4.582204129578889e-05,0.002648162841796875,2.0068783875950598e-05,rbf,scale,0.1,100.0,"{'model__regressor__kernel': 'rbf', 'model__regressor__gamma': 'scale', 'model__regressor__epsilon': 0.1, 'model__regressor__C': 100}",-0.43255218747180657,-0.11278097787368838,-0.1551234059935255,-0.1804474065359292,-0.2871287069875752,-0.23360653697250494,0.11491588686016437,18
0.006653642654418946,8.645119485355369e-05,0.0026504993438720703,1.2658207972886432e-05,rbf,0.01,0.2,1.0,"{'model__regressor__kernel': 'rbf', 'model__regressor__gamma': 0.01, 'model__regressor__epsilon': 0.2, 'model__regressor__C': 1}",-0.4475349837929741,-0.07862958073033051,-0.15106179619984536,-0.09312708057657602,-0.2880610874245248,-0.21168290574485016,0.13920734122705525,11
0.006700944900512695,4.756899384673296e-05,0.0026393890380859374,1.2035392543571872e-05,rbf,0.01,0.1,100.0,"{'model__regressor__kernel': 'rbf', 'model__regressor__gamma': 0.01, 'model__regressor__epsilon': 0.1, 'model__regressor__C': 100}",-0.4310730537921116,-0.12788158928804388,-0.16901572452199404,-0.19672343893170105,-0.28779588651541665,-0.2424979386098535,0.10792990900612795,19
0.00672445297241211,5.6678389872619765e-05,0.0026818275451660155,5.562231359303113e-05,rbf,scale,0.1,10.0,"{'model__regressor__kernel': 'rbf', 'model__regressor__gamma': 'scale', 'model__regressor__epsilon': 0.1, 'model__regressor__C': 10}",-0.43255218747180657,-0.1077433849228177,-0.14851786336123624,-0.17278026805929694,-0.28672458787773664,-0.2296636583385788,0.11756242438437658,15
0.006737995147705078,7.849142289058906e-05,0.0026523590087890623,4.648303906352745e-05,rbf,scale,0.1,1.0,"{'model__regressor__kernel': 'rbf', 'model__regressor__gamma': 'scale', 'model__regressor__epsilon': 0.1, 'model__regressor__C': 1}",-0.45296754070028655,-0.05894219308509018,-0.15486068067371198,-0.07483881654970422,-0.2912569351876937,-0.20657323323929733,0.14812464533309386,8
0.006646394729614258,0.0001279952978633918,0.0026861190795898437,5.964499061759403e-05,rbf,0.1,0.2,0.1,"{'model__regressor__kernel': 'rbf', 'model__regressor__gamma': 0.1, 'model__regressor__epsilon': 0.2, 'model__regressor__C': 0.1}",-0.4588181832688211,-0.056567702843802234,-0.1603746063393917,-0.054773494882663254,-0.29737381515229394,-0.20558156049739446,0.1546263084076016,7
0.00673060417175293,8.94031396682356e-05,0.002681589126586914,2.1363475460939915e-05,rbf,0.1,0.2,1.0,"{'model__regressor__kernel': 'rbf', 'model__regressor__gamma': 0.1, 'model__regressor__epsilon': 0.2, 'model__regressor__C': 1}",-0.45376040977314147,-0.08572241914334765,-0.15839735560886412,-0.08751356056602004,-0.29392114206976977,-0.21586297743222863,0.1409969508848784,12
