mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__regressor__l1_ratio,param_model__regressor__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.09409523010253906,0.021565220762720126,0.0026153564453125,5.673773117904703e-05,0.1,0.0001,"{'model__regressor__l1_ratio': 0.1, 'model__regressor__alpha': 0.0001}",-4.630508305611662,-1.8684525563723944,-0.8136675783332347,-1.158437864808591,-1.672478397498059,-2.028708940524788,1.353191745590972,20
0.12116050720214844,0.03798294838286235,0.002690744400024414,0.00020457877919636446,0.5,0.0001,"{'model__regressor__l1_ratio': 0.5, 'model__regressor__alpha': 0.0001}",-3.304368159939977,-1.80102445782339,-0.8303133275125516,-1.1437056965973,-1.7863573221449467,-1.7731537928036327,0.8521410204993708,19
0.15301761627197266,0.06834915654605729,0.002871799468994141,0.00028187454941076557,0.9,0.0001,"{'model__regressor__l1_ratio': 0.9, 'model__regressor__alpha': 0.0001}",-2.7027175550816662,-1.6517594974410366,-0.8842928242541522,-1.0521653046274022,-1.9680123431834775,-1.6517895049175468,0.656208349134037,17
0.1440722942352295,0.042652751736070645,0.0026099681854248047,6.987983071428103e-05,1.0,0.0001,"{'model__regressor__l1_ratio': 1.0, 'model__regressor__alpha': 0.0001}",-2.949536478343477,-1.6680021315162255,-0.8922211994516273,-1.0863630497153163,-2.0734976650869985,-1.7339241048227287,0.7382639708199095,18
0.0178220272064209,0.002555512692856019,0.002601432800292969,7.789195915499908e-05,0.1,0.001,"{'model__regressor__l1_ratio': 0.1, 'model__regressor__alpha': 0.001}",-1.987481051086933,-0.7545547494835465,-0.5741259274675016,-0.8010604386547694,-0.7880094041936678,-0.9810463141772836,0.509794404374838,16
0.020189237594604493,0.005160270432175358,0.0025630950927734374,2.0902443871105047e-05,0.5,0.001,"{'model__regressor__l1_ratio': 0.5, 'model__regressor__alpha': 0.001}",-1.3455526186760842,-0.7291925159022621,-0.5843831333754402,-0.7995607909531637,-0.8107433633853752,-0.8538864844584652,0.25873880244235986,15
0.03777799606323242,0.020779861233068506,0.0025745391845703124,2.4794431808702395e-05,0.9,0.001,"{'model__regressor__l1_ratio': 0.9, 'model__regressor__alpha': 0.001}",-1.0387753221654015,-0.6586404716829323,-0.5996376713770887,-0.747926211255084,-0.8441590411894501,-0.7778277435339912,0.15449588283281857,13
0.04743552207946777,0.036228088653950455,0.0025595664978027345,1.9835279504961635e-05,1.0,0.001,"{'model__regressor__l1_ratio': 1.0, 'model__regressor__alpha': 0.001}",-0.9697222690352958,-0.6228691979447785,-0.6013835980636102,-0.7314072337722968,-0.8719141128907689,-0.75945928234135,0.14232940878934028,11
0.008371353149414062,0.0004929073800007166,0.0025831222534179687,1.0643834249289343e-05,0.1,0.01,"{'model__regressor__l1_ratio': 0.1, 'model__regressor__alpha': 0.01}",-1.4273352812452296,-1.0060485861616915,-0.4142181644606164,-0.506000486672966,-0.44950757708811995,-0.7606220191257247,0.39657552245515565,12
0.007688474655151367,0.0004080541998253274,0.0025876045227050783,1.818832194979449e-05,0.5,0.01,"{'model__regressor__l1_ratio': 0.5, 'model__regressor__alpha': 0.01}",-2.030649991953395,-0.68612095163368,-0.38950822597387263,-0.42748878497344567,-0.40866111714178166,-0.788485814335235,0.630431468296831,14
