Taxon,mean_relative_abundance_percent,domain,rank,selected
Deferrisomatota,0.00032857142857142856,BAC,Phylum,False
Margulisbacteria,0.00029285714285714283,BAC,Phylum,False
Abditibacteriota,0.00020714285714285713,BAC,Phylum,False
Dictyoglomota,0.00018571428571428572,BAC,Phylum,False
unidentified,25.327814285714275,BAC,Genus,True
Fastidiosipila,7.942364285714285,BAC,Genus,True
Candidatus_Cloacimonas,6.979571428571432,BAC,Genus,True
ST-12K33,3.5058857142857147,BAC,Genus,True
Sedimentibacter,2.7173285714285713,BAC,Genus,True
Bacteroidetes_vadinHA17,2.6769642857142846,BAC,Genus,True
DTU014,2.5707,BAC,Genus,True
SBR1031,2.2577357142857144,BAC,Genus,True
Smithella,1.8356999999999999,BAC,Genus,True
W5,1.8282999999999998,BAC,Genus,True
Mesotoga,1.5653071428571426,BAC,Genus,True
Proteiniphilum,1.555907142857142,BAC,Genus,True
W27,1.5343142857142855,BAC,Genus,True
Syntrophomonas,1.4795642857142857,BAC,Genus,True
Thermovirga,0.9477571428571429,BAC,Genus,True
Lentimicrobium,0.8536428571428573,BAC,Genus,True
Acholeplasma,0.8500642857142855,BAC,Genus,False
Fermentimonas,0.7221857142857143,BAC,Genus,False
Caldicoprobacter,0.6918714285714285,BAC,Genus,False
SC103,0.6559785714285714,BAC,Genus,False
Prevotella,0.6149214285714286,BAC,Genus,False
Syntrophorhabdus,0.601892857142857,BAC,Genus,False
MBA03,0.5798285714285714,BAC,Genus,False
Lactobacillus,0.5668071428571427,BAC,Genus,False
DMER64,0.5308928571428572,BAC,Genus,False
009E01-B-SD-P15,0.5231785714285715,BAC,Genus,False
Dechloromonas,0.5203285714285714,BAC,Genus,False
Keratinibaculum,0.4793071428571428,BAC,Genus,False
Sphaerochaeta,0.47620714285714283,BAC,Genus,False
Alkaliphilus,0.45003571428571437,BAC,Genus,False
D8A-2,0.4345642857142857,BAC,Genus,False
Thauera,0.3955857142857144,BAC,Genus,False
Paludibacter,0.3922428571428572,BAC,Genus,False
Lentimicrobiaceae,0.3817714285714286,BAC,Genus,False
Atopobium,0.3406928571428572,BAC,Genus,False
Caproiciproducens,0.3308785714285714,BAC,Genus,False
Bacteroidales_UCG-001,0.32753571428571426,BAC,Genus,False
WCHB1-02,0.3251071428571429,BAC,Genus,False
Acetothermiia,0.30959999999999993,BAC,Genus,False
Aminicenantales,0.3077785714285715,BAC,Genus,False
Exilispira,0.30674285714285715,BAC,Genus,False
W5053,0.3056428571428571,BAC,Genus,False
Candidatus_Caldatribacterium,0.30419999999999986,BAC,Genus,False
SC-I-84,0.3014785714285715,BAC,Genus,False
Tetrasphaera,0.2915857142857143,BAC,Genus,False
Methylotenera,0.29095,BAC,Genus,False
Syntrophaceticus,0.2889071428571428,BAC,Genus,False
JS1,0.280607142857143,BAC,Genus,False
SJA-28,0.2791285714285714,BAC,Genus,False
SJA-15,0.27795,BAC,Genus,False
Tissierella,0.2769285714285716,BAC,Genus,False
Pelotomaculum,0.2721142857142858,BAC,Genus,False
Coprothermobacter,0.27157857142857145,BAC,Genus,False
WCHB1-41,0.26947142857142864,BAC,Genus,False
Candidatus_Competibacter,0.2618071428571428,BAC,Genus,False
UCG-010,0.25912857142857143,BAC,Genus,False
Fermentibacteraceae,0.23800714285714283,BAC,Genus,False
Ruminococcus,0.2354142857142858,BAC,Genus,False
Petrimonas,0.23364285714285715,BAC,Genus,False
Streptococcus,0.2295571428571429,BAC,Genus,False
Tepidimicrobium,0.22760000000000005,BAC,Genus,False
AAP99,0.2271428571428571,BAC,Genus,False
Thermomonas,0.21974285714285716,BAC,Genus,False
Syner-01,0.21915714285714286,BAC,Genus,False
Aquabacterium,0.21799285714285713,BAC,Genus,False
LD1-PB3,0.21727142857142856,BAC,Genus,False
