mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__regressor__weights,param_model__regressor__p,param_model__regressor__n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.010431671142578125,0.003524595260667081,0.006594133377075195,0.005487456971401061,uniform,1,3,"{'model__regressor__weights': 'uniform', 'model__regressor__p': 1, 'model__regressor__n_neighbors': 3}",-0.46475937242358883,-0.04088349460916267,-0.1717971573541201,-0.13320241406877764,-0.3159223829013335,-0.22531296427139655,0.14893433012571056,18
0.006879377365112305,4.828394765726089e-05,0.0036294937133789064,0.00023855536351807246,distance,1,3,"{'model__regressor__weights': 'distance', 'model__regressor__p': 1, 'model__regressor__n_neighbors': 3}",-0.4648309878380307,-0.04043236976118755,-0.17184428872341442,-0.12536986142118806,-0.3153737119612739,-0.2235702439410189,0.1499953291376821,17
0.006886053085327149,1.8679848427709515e-05,0.0035049915313720703,0.0008135003891033381,uniform,2,3,"{'model__regressor__weights': 'uniform', 'model__regressor__p': 2, 'model__regressor__n_neighbors': 3}",-0.46811535878880356,-0.03772730221160386,-0.1759708557389972,-0.14889324670926313,-0.29615762022923214,-0.22537287673557999,0.14658441092473912,19
0.007976770401000977,0.0017768735317544725,0.0034782886505126953,0.0002447403586045315,distance,2,3,"{'model__regressor__weights': 'distance', 'model__regressor__p': 2, 'model__regressor__n_neighbors': 3}",-0.4681657041779951,-0.036664688410014586,-0.17592947290108363,-0.15623502103466322,-0.29589911651109846,-0.22657880060697097,0.14611674093492316,20
0.006829738616943359,3.9388885163036716e-05,0.0030508995056152343,4.010384767451478e-05,uniform,1,5,"{'model__regressor__weights': 'uniform', 'model__regressor__p': 1, 'model__regressor__n_neighbors': 5}",-0.45783098683062073,-0.03939458820427999,-0.17216502553925928,-0.10876180570739022,-0.3017320098702141,-0.21597688323035288,0.1486224800039229,12
0.006815099716186523,7.100977885654135e-05,0.0031784534454345702,7.069769807696145e-05,distance,1,5,"{'model__regressor__weights': 'distance', 'model__regressor__p': 1, 'model__regressor__n_neighbors': 5}",-0.45790588317730024,-0.03906815697650482,-0.1721728972383221,-0.10316714702000007,-0.301895522095209,-0.21484192130146723,0.14956385661263077,10
0.006941652297973633,7.506355944272638e-05,0.003047800064086914,1.6717614270816368e-05,uniform,2,5,"{'model__regressor__weights': 'uniform', 'model__regressor__p': 2, 'model__regressor__n_neighbors': 5}",-0.45771633200672274,-0.035227991462775415,-0.1734077409626957,-0.12893964536277358,-0.2998777140160333,-0.21903388476220015,0.14662084349343443,15
0.006858110427856445,4.333633979766247e-05,0.0031955718994140627,7.78059444484831e-05,distance,2,5,"{'model__regressor__weights': 'distance', 'model__regressor__p': 2, 'model__regressor__n_neighbors': 5}",-0.458642240942429,-0.03489772773104781,-0.1734553593088853,-0.13013375997113796,-0.29972828538251084,-0.2193714746672022,0.14684000769865746,16
0.006890249252319336,7.420211314561776e-05,0.0030566692352294923,2.1952435175964253e-05,uniform,1,7,"{'model__regressor__weights': 'uniform', 'model__regressor__p': 1, 'model__regressor__n_neighbors': 7}",-0.4570466685169623,-0.03833810863315186,-0.1678203441828133,-0.10435588198633994,-0.30294698022881245,-0.21410159670961595,0.14966274757903347,7
0.006867218017578125,7.068673018972285e-05,0.0031452178955078125,1.3885707644043957e-05,distance,1,7,"{'model__regressor__weights': 'distance', 'model__regressor__p': 1, 'model__regressor__n_neighbors': 7}",-0.45712039323046627,-0.038025441636258595,-0.16763440128779208,-0.09981602418199355,-0.30300333512818395,-0.21311991909293887,0.15045267749383787,5
0.006876420974731445,6.300882977614058e-05,0.0030248165130615234,1.8687515300682972e-05,uniform,2,7,"{'model__regressor__weights': 'uniform', 'model__regressor__p': 2, 'model__regressor__n_neighbors': 7}",-0.45675187622811847,-0.037435243634761944,-0.17377586825154892,-0.12356953298784198,-0.29122457979225436,-0.2165514201789051,0.1454856169805009,14
0.006852626800537109,6.392944238759997e-05,0.0031503677368164063,4.401974079072751e-05,distance,2,7,"{'model__regressor__weights': 'distance', 'model__regressor__p': 2, 'model__regressor__n_neighbors': 7}",-0.45748107662345633,-0.03695833950481705,-0.1737926526299424,-0.12314177178745304,-0.29123393180344975,-0.2165215544698237,0.14589854123888096,13
0.006888818740844726,5.9372909200377367e-05,0.0030594348907470705,1.4046395734461928e-05,uniform,1,11,"{'model__regressor__weights': 'uniform', 'model__regressor__p': 1, 'model__regressor__n_neighbors': 11}",-0.46061024925655386,-0.03876819052251882,-0.1654331595971116,-0.10981436004301579,-0.2986529722334875,-0.21465578633053753,0.14959957425106857,9
0.006865930557250976,6.13432795732134e-05,0.0031504154205322264,1.8983509505805196e-05,distance,1,11,"{'model__regressor__weights': 'distance', 'model__regressor__p': 1, 'model__regressor__n_neighbors': 11}",-0.460379003967779,-0.03851051037957405,-0.16539356248526044,-0.10529475185843575,-0.2987968917873385,-0.2136749440956775,0.15024551630905644,6
0.006851291656494141,5.7239251229835585e-05,0.003027009963989258,1.581015421688741e-05,uniform,2,11,"{'model__regressor__weights': 'uniform', 'model__regressor__p': 2, 'model__regressor__n_neighbors': 11}",-0.4606765478134136,-0.03328489737303906,-0.16635302190668735,-0.11689510181768992,-0.2980686874451752,-0.21505565127120102,0.14984581111379816,11
0.0068939208984375,0.00012147723981382516,0.0032691478729248045,5.3847858741428466e-05,distance,2,11,"{'model__regressor__weights': 'distance', 'model__regressor__p': 2, 'model__regressor__n_neighbors': 11}",-0.4608976445990712,-0.03330116461066006,-0.16666995975416043,-0.1135517943383715,-0.2978614070509962,-0.21445639407065187,0.15031446029226922,8
0.006898832321166992,4.41597036039181e-05,0.003068208694458008,1.8783389794849684e-05,uniform,1,15,"{'model__regressor__weights': 'uniform', 'model__regressor__p': 1, 'model__regressor__n_neighbors': 15}",-0.4615560759379691,-0.03845168930513493,-0.16563202953485162,-0.09863350686458867,-0.2997070633816991,-0.21279607300484873,0.1517158936561184,4
0.006863784790039062,5.748536461020992e-05,0.0031380653381347656,1.3077862159710935e-05,distance,1,15,"{'model__regressor__weights': 'distance', 'model__regressor__p': 1, 'model__regressor__n_neighbors': 15}",-0.46129221566103673,-0.038260342968163726,-0.16562638126759635,-0.09572598346642062,-0.29970580299232685,-0.21212214527110884,0.15211473954295882,3
0.006858539581298828,5.277693465169461e-05,0.003023099899291992,1.4833698145554715e-05,uniform,2,15,"{'model__regressor__weights': 'uniform', 'model__regressor__p': 2, 'model__regressor__n_neighbors': 15}",-0.4630800783837204,-0.0377880571825743,-0.1670376765910346,-0.09339921208674337,-0.2979874985580314,-0.21185850456042082,0.15288722249085776,2
0.006952428817749023,0.00014074320262613785,0.003169822692871094,9.780840271065914e-05,distance,2,15,"{'model__regressor__weights': 'distance', 'model__regressor__p': 2, 'model__regressor__n_neighbors': 15}",-0.4631035434144143,-0.03751891021572743,-0.16725481320614538,-0.09225543217907997,-0.29791290851998653,-0.2116091215070707,0.15311289781844004,1
