Model,CV_RMSE,Train_RMSE,Test_RMSE,Train_R2,Test_R2
SVM,0.1989635917205912,0.24852667655784136,0.03748117135079951,0.013759308755975308,-0.026106864164528343
KNN,0.2116091215070707,6.2642095243737e-08,0.036189786980927646,0.9999999999999374,0.04338246643368471
XGBoost,0.21547474568236852,0.1506067891356079,0.0865537622525554,0.6378187260612956,-4.471900397196733
ElasticNet,0.21571817302321145,0.25025430298922363,0.07127847095952296,0.0,-2.7109323108792913
RandomForest,0.22928828346144536,0.13613417548733725,0.0963356636349833,0.7040821088565952,-5.778607223290862
MLP,0.23859552377131185,0.0006067989196704416,0.6384099890278208,0.9999941206882332,-296.6909489380512
