Model,Multilabel MCC,Micro-AUPR,Micro-ROC-AUC
RandomForest,0.5246596869847385,0.4497847628675586,0.8148489032060132
KNN,0.3260755781225684,0.30678648656416707,0.7310362018714527
SVM,0.4185174608090405,0.3443464597993575,0.7551388249731554
NNET,0.32867809601102527,0.30872291320952666,0.7432888479828195
XGBoost,0.44512515341109565,0.41416306773565537,0.8175141892928364
GLMNET,0.36354834686757986,0.2637278530647475,0.7669121030832949
