fold,block,feature,training_samples_above_0_1_percent
2,ARC_P,ARC_P::Crenarchaeota,48
2,ARC_P,ARC_P::Cryptomycota,0
2,ARC_P,ARC_P::Euryarchaeota,82
2,ARC_P,ARC_P::Halobacterota,90
2,ARC_P,ARC_P::Holozoa,1
2,ARC_P,ARC_P::Micrarchaeota,13
2,ARC_P,ARC_P::Mollusca,0
2,ARC_P,ARC_P::Nanoarchaeota,33
2,ARC_P,ARC_P::Thermoplasmatota,85
2,ARC_P,ARC_P::Vertebrata,0
2,ARC_P,ARC_P::unidentified,74
3,BAC_P,BAC_P::Acetothermia,4
3,BAC_P,BAC_P::Acidobacteriota,46
3,BAC_P,BAC_P::Actinobacteriota,74
3,BAC_P,BAC_P::Armatimonadota,43
3,BAC_P,BAC_P::Bacteroidota,86
3,BAC_P,BAC_P::Bdellovibrionota,10
3,BAC_P,BAC_P::CK-2C2-2,7
3,BAC_P,BAC_P::Caldatribacteriota,62
3,BAC_P,BAC_P::Caldisericota,49
3,BAC_P,BAC_P::Calditrichota,0
3,BAC_P,BAC_P::Campilobacterota,14
3,BAC_P,BAC_P::Chloroflexi,58
3,BAC_P,BAC_P::Cloacimonadota,81
3,BAC_P,BAC_P::Coprothermobacterota,8
3,BAC_P,BAC_P::Cyanobacteria,2
3,BAC_P,BAC_P::Dadabacteria,0
3,BAC_P,BAC_P::Deinococcota,3
3,BAC_P,BAC_P::Dependentiae,15
3,BAC_P,BAC_P::Desulfobacterota,59
3,BAC_P,BAC_P::Elusimicrobiota,5
3,BAC_P,BAC_P::Fermentibacterota,7
3,BAC_P,BAC_P::Fibrobacterota,9
3,BAC_P,BAC_P::Firmicutes,86
3,BAC_P,BAC_P::Fusobacteriota,12
3,BAC_P,BAC_P::Gemmatimonadota,12
3,BAC_P,BAC_P::Halanaerobiaeota,2
3,BAC_P,BAC_P::Hydrogenedentes,37
3,BAC_P,BAC_P::Hydrothermae,1
3,BAC_P,BAC_P::LCP-89,0
3,BAC_P,BAC_P::Latescibacterota,1
3,BAC_P,BAC_P::MBNT15,0
3,BAC_P,BAC_P::Marinimicrobia_(SAR406_clade),14
3,BAC_P,BAC_P::Myxococcota,9
3,BAC_P,BAC_P::NB1-j,0
3,BAC_P,BAC_P::NKB15,5
3,BAC_P,BAC_P::Nitrospirota,6
3,BAC_P,BAC_P::Patescibacteria,46
3,BAC_P,BAC_P::Planctomycetota,53
3,BAC_P,BAC_P::Proteobacteria,71
3,BAC_P,BAC_P::Spirochaetota,78
3,BAC_P,BAC_P::Sumerlaeota,15
3,BAC_P,BAC_P::Sva0485,2
3,BAC_P,BAC_P::Synergistota,84
3,BAC_P,BAC_P::TA06,4
3,BAC_P,BAC_P::Thermotogota,70
3,BAC_P,BAC_P::Verrucomicrobiota,78
3,BAC_P,BAC_P::WPS-2,2
3,BAC_P,BAC_P::WS1,28
3,BAC_P,BAC_P::Zixibacteria,3
3,BAC_P,BAC_P::unidentified,51
3,ARC_P,ARC_P::Aenigmarchaeota,2
3,ARC_P,ARC_P::Asgardarchaeota,2
3,ARC_P,ARC_P::Crenarchaeota,46
3,ARC_P,ARC_P::Cryptomycota,0
3,ARC_P,ARC_P::Euryarchaeota,75
3,ARC_P,ARC_P::Halobacterota,86
3,ARC_P,ARC_P::Holozoa,1
3,ARC_P,ARC_P::Micrarchaeota,9
3,ARC_P,ARC_P::Mollusca,2
3,ARC_P,ARC_P::Nanoarchaeota,33
3,ARC_P,ARC_P::Thermoplasmatota,83
3,ARC_P,ARC_P::Vertebrata,1
3,ARC_P,ARC_P::unidentified,72
4,BAC_P,BAC_P::Acetothermia,4
4,BAC_P,BAC_P::Acidobacteriota,46
4,BAC_P,BAC_P::Actinobacteriota,80
4,BAC_P,BAC_P::Armatimonadota,40
4,BAC_P,BAC_P::Bacteroidota,89
4,BAC_P,BAC_P::Bdellovibrionota,15
4,BAC_P,BAC_P::CK-2C2-2,7
4,BAC_P,BAC_P::Caldatribacteriota,70
4,BAC_P,BAC_P::Caldisericota,51
4,BAC_P,BAC_P::Calditrichota,0
4,BAC_P,BAC_P::Campilobacterota,10
4,BAC_P,BAC_P::Chloroflexi,64
4,BAC_P,BAC_P::Cloacimonadota,84
4,BAC_P,BAC_P::Coprothermobacterota,8
4,BAC_P,BAC_P::Cyanobacteria,0
4,BAC_P,BAC_P::Dadabacteria,0
4,BAC_P,BAC_P::Deinococcota,3
4,BAC_P,BAC_P::Dependentiae,19
4,BAC_P,BAC_P::Desulfobacterota,66
4,BAC_P,BAC_P::Elusimicrobiota,7
4,BAC_P,BAC_P::Fermentibacterota,10
4,BAC_P,BAC_P::Fibrobacterota,10
4,BAC_P,BAC_P::Firmicutes,89
4,BAC_P,BAC_P::Fusobacteriota,9
4,BAC_P,BAC_P::Gemmatimonadota,10
4,BAC_P,BAC_P::Halanaerobiaeota,2
4,BAC_P,BAC_P::Hydrogenedentes,41
4,BAC_P,BAC_P::Hydrothermae,1
4,BAC_P,BAC_P::LCP-89,0
4,BAC_P,BAC_P::Latescibacterota,1
4,BAC_P,BAC_P::MBNT15,0
4,BAC_P,BAC_P::Marinimicrobia_(SAR406_clade),22
4,BAC_P,BAC_P::Myxococcota,11
4,BAC_P,BAC_P::NB1-j,0
4,BAC_P,BAC_P::NKB15,4
4,BAC_P,BAC_P::Nitrospirota,5
4,BAC_P,BAC_P::Patescibacteria,47
4,BAC_P,BAC_P::Planctomycetota,57
4,BAC_P,BAC_P::Proteobacteria,77
4,BAC_P,BAC_P::Spirochaetota,81
4,BAC_P,BAC_P::Sumerlaeota,11
4,BAC_P,BAC_P::Sva0485,2
4,BAC_P,BAC_P::Synergistota,87
4,BAC_P,BAC_P::TA06,4
4,BAC_P,BAC_P::Thermotogota,72
4,BAC_P,BAC_P::Verrucomicrobiota,81
4,BAC_P,BAC_P::WPS-2,3
4,BAC_P,BAC_P::WS1,31
4,BAC_P,BAC_P::Zixibacteria,3
4,BAC_P,BAC_P::unidentified,52
4,ARC_P,ARC_P::Aenigmarchaeota,2
4,ARC_P,ARC_P::Asgardarchaeota,2
4,ARC_P,ARC_P::Crenarchaeota,49
4,ARC_P,ARC_P::Cryptomycota,0
4,ARC_P,ARC_P::Euryarchaeota,80
4,ARC_P,ARC_P::Halobacterota,89
4,ARC_P,ARC_P::Holozoa,0
4,ARC_P,ARC_P::Micrarchaeota,12
4,ARC_P,ARC_P::Mollusca,2
4,ARC_P,ARC_P::Nanoarchaeota,31
4,ARC_P,ARC_P::Thermoplasmatota,84
4,ARC_P,ARC_P::Vertebrata,1
4,ARC_P,ARC_P::unidentified,74
5,BAC_P,BAC_P::Acetothermia,0
5,BAC_P,BAC_P::Acidobacteriota,44
5,BAC_P,BAC_P::Actinobacteriota,77
5,BAC_P,BAC_P::Armatimonadota,39
5,BAC_P,BAC_P::Bacteroidota,86
5,BAC_P,BAC_P::Bdellovibrionota,15
5,BAC_P,BAC_P::CK-2C2-2,4
5,BAC_P,BAC_P::Caldatribacteriota,68
5,BAC_P,BAC_P::Caldisericota,52
5,BAC_P,BAC_P::Calditrichota,0
5,BAC_P,BAC_P::Campilobacterota,13
5,BAC_P,BAC_P::Chloroflexi,64
5,BAC_P,BAC_P::Cloacimonadota,82
5,BAC_P,BAC_P::Coprothermobacterota,7
5,BAC_P,BAC_P::Cyanobacteria,2
5,BAC_P,BAC_P::Dadabacteria,0
5,BAC_P,BAC_P::Deinococcota,3
5,BAC_P,BAC_P::Dependentiae,22
5,BAC_P,BAC_P::Desulfobacterota,70
