SampleID,BAC_P::Acetothermia,BAC_P::Acidobacteriota,BAC_P::Actinobacteriota,BAC_P::Armatimonadota,BAC_P::Bacteroidota,BAC_P::Bdellovibrionota,BAC_P::CK-2C2-2,BAC_P::Caldatribacteriota,BAC_P::Caldisericota,BAC_P::Calditrichota,BAC_P::Campilobacterota,BAC_P::Chloroflexi,BAC_P::Cloacimonadota,BAC_P::Coprothermobacterota,BAC_P::Cyanobacteria,BAC_P::Dadabacteria,BAC_P::Deinococcota,BAC_P::Dependentiae,BAC_P::Desulfobacterota,BAC_P::Elusimicrobiota,BAC_P::Fermentibacterota,BAC_P::Fibrobacterota,BAC_P::Firmicutes,BAC_P::Fusobacteriota,BAC_P::Gemmatimonadota,BAC_P::Halanaerobiaeota,BAC_P::Hydrogenedentes,BAC_P::Hydrothermae,BAC_P::LCP-89,BAC_P::Latescibacterota,BAC_P::MBNT15,BAC_P::Marinimicrobia_(SAR406_clade),BAC_P::Myxococcota,BAC_P::NB1-j,BAC_P::NKB15,BAC_P::Nitrospirota,BAC_P::Patescibacteria,BAC_P::Planctomycetota,BAC_P::Proteobacteria,BAC_P::Spirochaetota,BAC_P::Sumerlaeota,BAC_P::Sva0485,BAC_P::Synergistota,BAC_P::TA06,BAC_P::Thermotogota,BAC_P::Verrucomicrobiota,BAC_P::WPS-2,BAC_P::WS1,BAC_P::Zixibacteria,BAC_P::unidentified,ARC_P::Aenigmarchaeota,ARC_P::Asgardarchaeota,ARC_P::Crenarchaeota,ARC_P::Cryptomycota,ARC_P::Euryarchaeota,ARC_P::Halobacterota,ARC_P::Holozoa,ARC_P::Micrarchaeota,ARC_P::Mollusca,ARC_P::Nanoarchaeota,ARC_P::Thermoplasmatota,ARC_P::Vertebrata,ARC_P::unidentified
1-1,-0.11072255892128344,-0.4795901688954971,0.28256735041979025,-0.6594303211978941,-0.32678980811830666,-0.2384714972745355,-0.2514313342302585,0.34190398953790363,-0.6866000517477883,0.0,-0.34800916391278436,-0.4488098227301705,-0.3551030227775327,-0.21157763222088652,-0.1342622540128084,0.0,-0.13814310036932095,-0.3796221136411703,-0.7410716825361907,-0.22000734840294592,-0.24988718708375368,2.481402567276027,1.2582328399918654,-0.2644644077124355,-0.3391807082194173,-0.13651498420458819,-0.7354255192843109,-0.09622504486493767,0.0,-0.09622504486493762,0.0,-0.31805374841748824,-0.28414999594436746,0.0,-0.23517724187582092,-0.2476824920070451,-0.12160009371565918,-0.7685068802659363,-0.883947427408808,-0.2592715398619499,-0.35598084039789485,-0.1360145237956077,-0.578223179106408,-0.19197291732187582,-0.6477708131001276,-0.13876381752789485,-0.14810207928107974,-0.5768042414376395,-0.1677050983124842,-0.777533814082211,-0.13345099217921402,-0.11245492274362255,-0.29861224012290777,0.0,-1.2057964646702224,1.307803493948988,-0.09622504486493767,-0.29599936395118165,-0.1245330990169104,-0.4824905740057288,-0.5611040572595717,-0.09622504486493762,-0.22717858934084673
2-1,-0.11072255892128344,-0.4795901688954971,0.10279827259834212,-0.6594303211978941,-0.6033837177338981,-0.2384714972745355,-0.2514313342302585,0.8753642652268746,-0.6866000517477883,0.0,-0.34800916391278436,-0.4488098227301705,-0.7135704205794058,-0.21157763222088652,-0.1342622540128084,0.0,-0.13814310036932095,-0.3796221136411703,-0.7733405301014838,-0.22000734840294592,-0.24988718708375368,-0.3067102564336961,1.4129563142614743,-0.2644644077124355,-0.3391807082194173,-0.13651498420458819,-0.7354255192843109,-0.09622504486493767,0.0,-0.09622504486493762,0.0,-0.31805374841748824,-0.28414999594436746,0.0,-0.23517724187582092,-0.2476824920070451,-0.2131360758634967,-0.7685068802659363,-0.3607819294152465,-0.4033343577001263,-0.35598084039789485,-0.1360145237956077,-0.6919684860620154,-0.19197291732187582,-0.7285589071395101,-0.3419198401961423,-0.14810207928107974,-0.5768042414376395,-0.1677050983124842,-0.777533814082211,-0.13345099217921402,-0.11245492274362255,-0.48896117144684703,0.0,-1.1525992552194246,1.0133452796575084,-0.09622504486493767,-0.29599936395118165,-0.1245330990169104,-0.4824905740057288,-0.49982043309211055,-0.09622504486493762,0.06548796295294314
3-1,-0.11072255892128344,-0.4795901688954971,0.21407176694391278,-0.6594303211978941,-0.5390837688632618,-0.2384714972745355,-0.2514313342302585,-0.4274642747335232,-0.6866000517477883,0.0,-0.34800916391278436,-0.4488098227301705,-0.3431137787270865,-0.21157763222088652,-0.1342622540128084,0.0,-0.13814310036932095,-0.3796221136411703,-0.7733405301014838,-0.22000734840294592,-0.24988718708375368,-0.3067102564336961,1.4771087500158688,-0.2644644077124355,-0.3391807082194173,-0.13651498420458819,-0.7354255192843109,-0.09622504486493767,0.0,-0.09622504486493762,0.0,-0.31805374841748824,-0.28414999594436746,0.0,-0.23517724187582092,-0.2476824920070451,-0.7394679732135625,-0.7685068802659363,-0.8866917385570815,-0.34320994109008546,-0.35598084039789485,-0.1360145237956077,-0.8867378472873709,-0.19197291732187582,-0.7445389696967506,-0.39067728563652165,-0.14810207928107974,-0.5768042414376395,-0.1677050983124842,-0.777533814082211,-0.13345099217921402,-0.11245492274362255,-0.48896117144684703,0.0,-1.222220457490954,-4.866794015901914,-0.09622504486493767,-0.29599936395118165,-0.1245330990169104,-0.4824905740057288,-0.7710406706612241,-0.09622504486493762,7.194794425404411
4-1,-0.11072255892128344,-0.4795901688954971,0.6996519813992974,-0.6594303211978941,-0.7062115711909885,-0.2384714972745355,-0.2514313342302585,2.348900093407743,-0.6866000517477883,0.0,-0.34800916391278436,-0.4316570420736037,-0.9964725829440629,-0.21157763222088652,-0.1342622540128084,0.0,-0.13814310036932095,-0.3796221136411703,-0.7226664879989493,-0.22000734840294592,-0.24988718708375368,-0.3067102564336961,1.2313714673523715,-0.2644644077124355,-0.3391807082194173,-0.13651498420458819,-0.7354255192843109,-0.09622504486493767,0.0,-0.09622504486493762,0.0,-0.31805374841748824,-0.28414999594436746,0.0,-0.23517724187582092,-0.2476824920070451,-0.7394679732135625,-0.7685068802659363,0.11036639817695253,-0.6082289382261089,-0.35598084039789485,-0.1360145237956077,-0.5745874843635346,-0.19197291732187582,-0.5820750003648056,-0.5311451641671385,-0.14810207928107974,-0.5768042414376395,-0.1677050983124842,-0.777533814082211,-0.13345099217921402,-0.11245492274362255,-0.48896117144684703,0.0,-1.222220457490954,1.5600734600727035,-0.09622504486493767,-0.29599936395118165,-0.1245330990169104,-0.4824905740057288,-0.7419175489723139,-0.09622504486493762,-0.4141130056903483
1-2,-0.11072255892128344,-0.4795901688954971,-0.22363792820491066,-0.6594303211978941,1.2597528574367267,-0.2384714972745355,-0.2514313342302585,-0.18918535159244956,-0.35081370558223063,0.0,-0.34800916391278436,-0.18341443698092824,-0.0355731698734391,-0.21157763222088652,-0.1342622540128084,0.0,-0.13814310036932095,-0.3796221136411703,-0.05004028763794941,-0.22000734840294592,-0.24988718708375368,-0.3067102564336961,-0.07770227727084808,-0.2644644077124355,-0.3391807082194173,-0.13651498420458819,-0.7354255192843109,-0.09622504486493767,0.0,-0.09622504486493762,0.0,-0.31805374841748824,-0.28414999594436746,0.0,-0.23517724187582092,-0.2476824920070451,-0.7394679732135625,-0.38654763500162953,-0.4644420459704801,-0.6480761006068811,-0.35598084039789485,-0.1360145237956077,0.34939836528955154,-0.19197291732187582,1.7585602736443362,-0.4295671528330148,-0.14810207928107974,0.5336799949812565,-0.1677050983124842,1.0649597064388678,-0.13345099217921402,-0.11245492274362255,-0.30887615308645344,0.0,-0.2419456658636297,0.6648803775587367,-0.09622504486493767,-0.29599936395118165,-0.1245330990169104,1.4188382432051139,-0.6334651878363114,-0.09622504486493762,-0.3204766260980867
2-2,-0.11072255892128344,-0.2714921848231236,-0.17704056100756643,-0.6594303211978941,0.6220900041629465,0.9430463755856628,-0.2514313342302585,0.05976277706240352,-0.21977513146884223,0.0,-0.34800916391278436,-0.28565581459526734,0.3437929102182025,-0.21157763222088652,-0.1342622540128084,0.0,-0.13814310036932095,0.04585969558048592,0.0035020964703889436,-0.22000734840294592,-0.24988718708375368,-0.3067102564336961,-0.1605002445826929,-0.2644644077124355,3.502284512579569,-0.13651498420458819,-0.04872352835880175,-0.09622504486493767,0.0,-0.09622504486493762,0.0,-0.31805374841748824,1.625721471851573,0.0,-0.23517724187582092,-0.2476824920070451,0.9447940983066478,0.6158315998080154,-0.12314953225794202,-0.6334576149997339,-0.35598084039789485,-0.1360145237956077,-0.018326188703919607,-0.19197291732187582,1.22899875612245,-0.31173665968543124,-0.14810207928107974,0.8455283079482069,-0.1677050983124842,0.6834510290027285,-0.13345099217921402,-0.11245492274362255,-0.48896117144684703,0.0,0.08736055496965911,0.48237501876168193,-0.09622504486493767,-0.29599936395118165,-0.1245330990169104,2.4347283402225712,-0.6477587444934452,-0.09622504486493762,-0.404216477765963
3-2,-0.11072255892128344,-0.39474069324694006,-0.2521565354513727,-0.6594303211978941,-0.45994537025324783,-0.2384714972745355,-0.2514313342302585,-0.29113553761300837,0.0341121058758477,0.0,-0.34800916391278436,-0.1898973777015204,1.1643411727533275,-0.21157763222088652,-0.1342622540128084,0.0,-0.13814310036932095,-0.3796221136411703,0.04222471354874074,5.301800496411577,-0.24988718708375368,-0.3067102564336961,-0.14032961677648012,-0.2644644077124355,-0.3391807082194173,-0.13651498420458819,-0.13733023686531906,-0.09622504486493767,0.0,-0.09622504486493762,0.0,0.27323886100217837,-0.28414999594436746,0.0,-0.23517724187582092,-0.2476824920070451,-0.7394679732135625,-0.43930443683371606,-0.44211333253680163,-0.5870085558931534,-0.35598084039789485,-0.1360145237956077,0.35251467506915735,-0.19197291732187582,2.1518473688030886,-0.08478236007604618,-0.14810207928107974,0.739043518154614,-0.1677050983124842,0.6799348199941004,-0.13345099217921402,-0.11245492274362255,0.07742020754154107,0.0,0.02021844595408891,0.5507787148571242,-0.09622504486493767,-0.29599936395118165,-0.1245330990169104,0.5986252114237642,-0.5494905424756504,-0.09622504486493762,-0.43957330402573297
4-2,-0.11072255892128344,-0.18788138765118784,0.07351577408634992,-0.6594303211978941,0.20648324962055398,-0.2384714972745355,-0.2514313342302585,-0.04574381079608192,0.027287180140775382,0.0,-0.34800916391278436,-0.31334337392279643,0.35886196007977256,-0.21157763222088652,-0.1342622540128084,0.0,-0.13814310036932095,-0.3796221136411703,0.18707598484183452,-0.22000734840294592,-0.24988718708375368,-0.3067102564336961,-0.34356099108737187,-0.2644644077124355,-0.3391807082194173,-0.13651498420458819,0.1783311621891489,-0.09622504486493767,0.0,-0.09622504486493762,0.0,0.13740136964901176,-0.28414999594436746,0.0,-0.23517724187582092,-0.2476824920070451,-0.7394679732135625,0.06927113282759852,-0.13562367384100257,-0.556828456575172,-0.35598084039789485,-0.1360145237956077,0.2943435591831845,-0.19197291732187582,3.5141477018078398,-0.23685915418770578,-0.14810207928107974,1.4996491595374197,-0.1677050983124842,0.6693861929682162,-0.13345099217921402,-0.11245492274362255,-0.33686864298703273,0.0,-0.3726145395631625,1.0068988580359481,-0.09622504486493767,-0.29599936395118165,-0.1245330990169104,-0.4824905740057288,-0.8110626293011987,-0.09622504486493762,-0.43957330402573297
1-3,-0.11072255892128344,-0.22318372423489405,0.03659436291905534,-0.15644942218703906,0.1469992888232243,-0.2384714972745355,-0.2514313342302585,-0.2970628740095525,0.3262189273369425,0.0,-0.34800916391278436,-0.18908701011144638,0.6442939629321386,-0.21157763222088652,-0.1342622540128084,0.0,-0.13814310036932095,5.53767457089842,0.545857764067798,-0.22000734840294592,-0.24988718708375368,-0.3067102564336961,-0.9825763193188352,-0.2644644077124355,-0.3391807082194173,-0.13651498420458819,1.5905005790117681,-0.09622504486493767,0.0,-0.09622504486493762,0.0,-0.31805374841748824,-0.28414999594436746,0.0,-0.23517724187582092,-0.2476824920070451,0.05689507147262389,1.7110628058421329,0.5035513408750226,-0.03150610282155965,-0.35598084039789485,-0.1360145237956077,2.149586647975103,-0.19197291732187582,0.40691331567774464,0.416722793024999,-0.14810207928107974,-0.5768042414376395,-0.1677050983124842,1.103638005533776,-0.13345099217921402,-0.11245492274362255,0.12967285535595582,0.0,0.9902669779005804,-1.6988075503466031,-0.09622504486493767,-0.29599936395118165,-0.1245330990169104,0.08497291517898237,-0.7136877745744747,-0.09622504486493762,1.5294128243831804
2-3,-0.11072255892128344,-0.33838082256067226,-0.15132288840138194,0.8624093219631545,0.10326491064400627,0.25900971235081116,-0.2514313342302585,-0.31365941591987606,0.49274711527270687,0.0,-0.34800916391278436,-0.36034469414708975,1.5355677660584277,-0.21157763222088652,-0.1342622540128084,0.0,-0.13814310036932095,1.7027027672515713,0.5209988000174981,-0.22000734840294592,-0.24988718708375368,-0.3067102564336961,-1.0076174157904507,-0.2644644077124355,-0.3391807082194173,-0.13651498420458819,0.14510364649920487,-0.09622504486493767,0.0,-0.09622504486493762,0.0,-0.31805374841748824,-0.28414999594436746,0.0,-0.23517724187582092,-0.2476824920070451,-0.15363768746740233,0.37526058345370067,0.30246817855608565,-0.21918859545525593,-0.35598084039789485,-0.1360145237956077,1.5294410018335716,-0.19197291732187582,0.8126293483810172,0.3940854076419656,-0.14810207928107974,-0.5768042414376395,-0.1677050983124842,0.9840868992404235,-0.13345099217921402,-0.11245492274362255,-0.48896117144684703,0.0,1.6331784956127477,-0.4497775477158972,-0.09622504486493767,-0.29599936395118165,-0.1245330990169104,-0.4824905740057288,-0.6286411124645288,-0.09622504486493762,-0.4269700334211738
