SampleID,bc22acbc6a8407cc340e8bb6c6842074,7f90457e0b5af1edd82418cb3c9089b4,1a8e3305231911ff8307602f1d620be0,4194fdb699f4d5c9620e1e7cfb8b009b,fc0651422f017372960928f220b834d7,7029dd7b1fe970d81fbff18315097ae2,d2eae9eee73c95835ab2e47bc463c38e,381cc4167053f528de8e10567d4a509e,8995879a30350364c8d6147a828733ee,de0cc0fb4800458938f4508ae73d22a4,a4b21ca3dc01eada0962e57c2fded727,9b62d6c84b96aa64eaeff3b764d77da1,a2ff073fb23039e822fba8a653a34527,b980bbc29499a5ae07b6c0afaccc728a,d43d3c9dc33aa66b585a098fc7709276,88fa6e2c26361b8b7ca8a72ae1ed781f,19d2984a92774f1291ebc1812f80368c,29605d99f5fbd1bb2e4a490a00b4d349,87078040a976e7ceb82734c0713fd4e2,52856184ae551af1f787a0e2cabeb489,02bc9f1c8263ce565cfa8174b56af2de,5cb290154506065751d3f3dcb3bd6e49,7fb850c5cd377da752f7b081daed5032,39003a99b6f7d9f46b1d35054fb105a4,ff2ddcb0273425f900af1f8d1b4d90a8,5b100fa0f8a80a2787b1ce75da347c96,783749c187ad3cb6e60ccecdd73fd8ef,9d23b3373cdd04079b0a346a91fddab8,58de505db56b2250b12c7cd7ec5bfa50,1050f5391c721945e2d13b52590863c8,d939e81b4199d074f14d7056eaa88d14,c83d66ff9b2828b3f564019f4b9c54a4,9a4d00f3f8a14dc8f2ff7fabf04f6ebb,98eadfe35eb7a1fc42331d68785b272e,925f2beecb4475f754479219e21c2da2,6d34ed1cd41fa02613b0316716db2dfd,25f31a7f3499828c16d4648976563910,02fa96f8e560df1558be520ea8974c36,52e86b2d78a48335b0ca8ebd5a0a8e33,12041ed58f0b14a5efb2687b72fc5883,f564537bd84fc6fc7664934190ec6824,ca8d0a8123dfcdaed30eb0c534b00db9,023699ea1718b4d160d27803ec78b3b8,e5f52b2c18e6f178fcc24bed0ff62f5b,a6cdde7256831dcfab80f676aa3f4af1,c4a2579e95fee657cb355e865aa027af,457c4253db2b49c51b3eee5a91a8c3e2,a875c453fc275b8f21ef13228c53d599,42a47c900cdc49f94a53eed8c41f0e26,3b768ad6b26d688837b3511e5d2316d2,eb0898e38a817c5648a19a5e3db2c1be,327914bbcbfe425fb2d5caaf9d8688a1,d7c555c6a185de9a0a44e98fb0be730d,ebb611e11f12869b1c6a129b7874f35c,5a72697a45f01e085759fa49e855d45e,55b24a137213d3162da4cfe59b919eb1,db32f914db89e6f6b0fe7d66afc46ba1,314b1f98dcfc0e5d25ba5e55d8b6ee76,aa2edf44a5b107222a97023841eea577,286ed5db3cf03aacbcee204d7d08e47a,abb98aa85e9528ef54e3078ff40ac726,ed701a469132c0a7dd6f90e9c705bdd0,c17275cccc27dc9a4ab351a310c063c8,7d08e012440864f4bdcbe45b245d6018,50a53e82bd7a1073e097d99b1c09ea4d,3aeb85bc05fe3a36283129a1ffeabb08,fe290f48286b86b1ae833009c9bf64a2,f96d60fc409a6ea2fa0d7f4982a9074a,7f9baea74fd8c885613b0289b667b7ef,cc5fece67be5e3c11717192e70c80cda,808302d4e71aa7321e30e37e3c206b34,6a00550a934a2665f470eeec33616366,4640abb4e57a2e5406a094ea8c767b29,acid_accumulation,acid_base_balance,ammonia_toxicity,biogas_quality,buffer_capacity
1-1,0.0,0.0117715327862057,0.0,0.0014921661278288,0.0,0.0,0.0,0.0,0.0093674873580369,0.0,0.0,0.0,0.0,0.0,0.0,0.0025698416645942,0.0,0.0,0.0014921661278288,0.0,0.0013263698914034,0.0,0.0,0.0,0.0107767553676531,0.0,0.0053883776838265,0.0,0.0,0.0,0.0,0.0,0.0226311862720716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024040454281687,0.0046422946199121,0.0,0.0,0.0,0.0,0.0049738870927629,0.0,0.0,0.0048080908563375,0.0102793666583768,0.0,0.0,0.0,0.0,0.0,0.001740860482467,0.0,0.002321147309956,0.0,0.9018486280361436,0.0,0.0,0.0,0.0,0.0,0.0001657962364254,0.0,0.0,0,0,1,0,0
1-10,0.013815933464653,0.0,0.0049518494200043,0.007332020135697,0.0,0.0424600569052309,8.207485226526592e-05,0.0016688553293937,0.0028179032611074,0.0005745239658568,0.0,0.0,0.0070584372948128,0.0119008535784635,0.0048424162836506,0.0085357846355876,0.0042131757496169,0.0,0.0023528124316042,0.0028179032611074,0.0010669730794484,0.0086725760560297,0.0096027577150361,0.0,0.0,0.0,0.0148281899759247,0.0024075289997811,0.0069216458743707,0.0037480849201138,0.0,0.0118461370102867,0.0,0.0006565988181221,0.0001367914204421,0.0035565769314948,0.0,0.0001367914204421,0.0,0.0109980302035456,0.0,0.0,0.0012311227839789,0.0030641278179032,0.0071678704311665,0.0118461370102867,0.0,0.242804771284745,0.0144178157145983,0.0307233530312978,0.0102593565331582,0.0668636463121033,0.0056905230903917,0.0016688553293937,0.0014226307725979,0.0016414970453053,0.0005745239658568,0.0001094331363536,0.0069490041584591,0.0053895819654191,0.2955515430072226,0.0009575399430947,0.0111895381921645,0.0,0.0,0.0018056467498358,0.0367421755307507,0.0056905230903917,0.0002735828408842,0.0,0.0,0.0453600350186036,0.0006018822499452,0,0,0,0,0
1-11,0.0180071603275318,0.0,0.0065222785438304,0.0048562617418737,0.0,0.0695118925241927,0.0124419552656765,0.0020204884619474,0.0015242281379603,0.0,0.0,0.0,0.0528517245046258,0.0126546382616709,0.0020559356279465,0.0046435787458792,0.0035801637659069,0.0,0.0007443904859806,0.0070894331998156,0.0030484562759207,0.009074474495764,0.0067349615398248,0.001382439473964,0.0,0.0,0.0106341497997235,0.001382439473964,0.0045017900818829,0.0017723582999539,0.0,0.0701499415121761,0.0,0.0003544716599907,0.0,0.011803906277693,0.0009925206479741,0.0,0.0,0.0227570805714083,3.5447165999078376e-05,0.0,0.137535004076424,0.0001063414979972,0.0012052036439686,0.0070539860338165,0.0,0.2909503385204353,0.0,0.0109177271277161,0.0065577257098294,0.1000319024493991,0.0282513913012654,0.0014178866399631,0.0013115451419658,0.004111871255893,0.0007798376519797,3.5447165999078376e-05,0.0060969125518414,0.0031547977739179,0.0061678068838396,0.0019141469639502,0.0071248803658147,0.0,0.0,0.0,0.0149941512176101,0.0070894331998156,0.0006380489879834,0.0,0.0,0.0193187054694977,0.0001063414979972,0,0,0,0,0
1-12,0.0,0.0,0.0,0.0004886988393402,0.0,0.0017715332926084,0.0,0.0,0.0018937080024434,0.0,0.0037874160048869,0.0009773976786805,0.0,0.0,6.108735491753207e-05,0.0018937080024434,0.0,0.0055589492974954,0.0843616371411117,0.0,0.0,0.0001832620647525,0.0007330482590103,0.0,0.0,0.0,0.0020158827122785,0.0,0.0014050091631032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0150274893097128,0.0,0.0,0.0,0.0,0.0,0.0,0.7836896762370189,0.0011606597434331,0.0,0.0044593769089798,0.0,0.0,0.0013439218081857,0.0012828344532681,0.0,0.0,0.0321319486866218,0.0,0.0,0.0159437996334758,0.0,0.0,0.0024434941967012,0.0,0.0020158827122785,0.0,0.0,0.0,0.0005497861942577,6.108735491753207e-05,0.0,0.0273060476481368,0.002871105681124,0.0,0.0045815516188149,0,0,1,0,0
1-14,0.0,0.0347790507364975,0.0,0.0032733224222585,0.0,0.0,0.0,0.0,0.5920621931260229,0.0,0.1143909282207154,0.0,0.0,0.0,0.0,0.0023380874444704,0.0,0.0,0.001928922141688,0.0,0.0007014262333411,0.0,0.0,0.0,0.0313303717559036,0.0,0.0056698620528407,0.0,0.0036824877250409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013444002805704,0.0037409399111526,0.0,0.0036240355389291,0.0,0.0,0.0039747486555997,0.0,0.0,0.001928922141688,0.0033317746083703,0.0,0.0,0.0,0.0,0.0,0.0011690437222352,0.0,0.0040916530278232,0.0,0.1855856909048398,0.0001169043722235,0.0009352349777881,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
1-20,0.0,0.0142492875356232,0.0,0.0029498525073746,0.0,0.0,0.0,0.0,0.0036998150092495,0.0,0.0048497575121243,0.0,0.0,0.0,0.0,0.0036498175091245,0.0020498975051247,0.0,0.0095495225238738,0.0,0.0010499475026248,0.0001999900004999,0.0,0.0,0.0,0.0,0.007549622518874,0.0,0.0029998500074996,0.0,0.0010999450027498,0.0,0.0,0.0,0.0,0.0,0.0,0.0071996400179991,0.0,0.0,0.0,0.0,0.0,0.0,0.3812309384530774,0.0044997750112494,0.0,0.0033498325083745,0.0,0.0,0.0052997350132493,0.0,0.0,0.0020998950052497,0.5143742812859357,0.0,0.0,0.0092995350232488,0.0,0.0,0.0052497375131243,0.0,0.0043997800109994,0.0,0.0,0.0,0.0005999700014999,0.0001499925003749,0.0,0.0083495825208739,0.0,0.0,0.0,0,1,1,0,0
1-21,0.0,0.0,0.0058424518492845,0.0016339060256473,0.0,0.2065158191810664,0.0004456107342674,4.9512303807496165e-05,0.0009407337723424,0.0002475615190374,0.0,0.0,0.0338664158043273,0.0,0.0,0.0022280536713373,0.0015348814180323,0.0,0.0013368322028023,0.0008417091647274,0.0,0.0074268455711244,0.0018319552408773,0.0010397583799574,0.0,0.0046541565579046,0.0040104966084071,0.0007921968609199,0.0020300044561073,0.0460959548447789,0.0,0.0097044115462692,0.0,0.0004456107342674,0.0,0.0073773332673169,0.0,0.0,0.0,0.0076744070901619,0.0,0.0,0.0090607515967717,0.0005941476456899,0.0044065950388671,0.0024261028865673,0.0,0.3405456255879586,0.0,0.0099024607614992,0.0026736644056047,0.0626825766202901,0.0032678120512947,0.0014358568104173,0.0008912214685349,0.0,0.0016339060256473,4.9512303807496165e-05,0.0,0.0,0.1834925979105807,0.0,0.0026736644056047,0.0,0.0,0.0,0.0186166262316185,0.0064365994949745,0.0,0.0,0.0,0.0,0.0006436599494974,0,0,0,0,0
1-22,0.0,0.0,0.0,0.0019155822709558,0.0,0.0,0.0,0.0,0.0,0.0012550366602813,0.0,0.0166457493889953,0.0068036197899464,0.0,0.0,0.0020476913930906,0.0011229275381465,0.0,0.648127353193738,0.0,0.0,0.0001321091221348,0.0031706189312372,0.0,0.0,0.0,0.0044256555915185,0.0,0.0023119096373604,0.0,0.0,0.0,0.0653279608956998,0.0,0.0002642182442697,0.0,0.0,0.0045907919941871,0.0,0.0,0.0,0.0009577911354779,0.0,0.0,0.1732611136798996,0.0022788823568267,0.019155822709558,0.0049871193605918,0.0007926547328093,0.0,0.0030385098091023,0.0006275183301406,0.0,0.0011889820992139,0.0032036462117709,0.0,0.0,0.0050201466411255,0.0,0.0,0.0016843913072197,0.0,0.003071537089636,0.0,0.0,0.0,0.0007596274522755,0.0001321091221348,0.0,0.0029724552480348,0.0112953299425325,0.0,0.0074311381200871,0,0,1,0,0
1-24,0.0,0.0,0.0149848056166823,0.0049250759719165,0.0,0.0124698732054909,0.0019909881588598,0.0005239442523315,0.0,0.0,0.0,0.0,0.0119459289531593,0.0,0.0,0.0040867651681861,0.0,0.0,0.0220056585979251,0.0,0.0,0.0,0.0011526773551294,0.0014670439065283,0.0,0.0008383108037304,0.0061825421775123,0.0036676097663208,0.0041915540186524,0.0985015194383317,0.0,0.3585874462957141,0.0,0.0,0.0006287331027978,0.0071256418317091,0.006077753327046,0.0,0.0,0.0213769254951273,0.0,0.0,0.0,0.0,0.0039819763177197,0.0047154982709839,0.0,0.2727653777638059,0.0181284711306716,0.0051346536728492,0.0055538090747144,0.0346851095043487,0.0,0.0010478885046631,0.0,0.0,0.0,0.0,0.0,0.0,0.0166614272241433,0.0018861993083935,0.0046107094205176,0.0054490202242481,0.0,0.0003143665513989,0.0400293408781305,0.0,0.0,0.0,0.0,0.0,0.0023053547102588,0,0,0,0,0
1-25,0.0,0.0,0.0,0.0028382885120272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0365429645923508,0.0,0.0,0.0024125452352231,0.0,0.0,0.0205775917121975,0.0,0.000425743276804,0.0,0.0,0.0,0.0012062726176115,0.0012772298304122,0.0036897750656354,0.0,0.0026254168736252,0.0,0.0,0.0025544596608245,0.0,0.0,0.0103597530688994,0.0,0.0,0.0,0.0,0.0,0.0,0.001773930320017,0.0,0.0,0.0366848790179521,0.0036188178528347,0.0,0.0110693251969062,0.6021429078265805,0.0334918044419215,0.0021287163840204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2103881359540197,0.0,0.0021996735968211,0.0087986943872844,0.0,0.0,0.0031930745760306,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
1-27,0.0,0.0,0.0,0.0204081632653061,0.0,0.0,0.0,0.0,0.8090005232862376,0.0,0.0308738880167451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020931449502878,0.0,0.0,0.0,0.0,0.0,0.0125588697017268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0193615907901622,0.0193615907901622,0.0,0.0125588697017268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0146520146520146,0.0,0.0193615907901622,0.0,0.020931449502878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0
1-28,0.0,0.0,0.0,0.0035234349393641,0.0,0.0,0.0,0.0,0.0053261225827597,0.0,0.0110619469026548,0.0015568666011143,0.0,0.0,0.0,0.0024582104228121,0.002294329727958,0.0,0.2240249098656178,0.0,0.0005735824319895,0.0013929859062602,0.0,0.0,0.0,0.0,0.0066371681415929,0.0,0.0032776138970829,0.0,0.0,0.0,0.0035234349393641,0.0,0.0,0.0,0.0,0.0066371681415929,0.0,0.0,8.194034742707309e-05,0.0082759750901343,0.0,0.0,0.3188298918387414,0.0047525401507702,0.0,0.053916748607014,0.0019665683382497,0.0,0.0033595542445099,0.0,0.0,0.0059816453621763,0.2050147492625368,0.0,0.0,0.0102425434283841,0.0,0.0,0.0372009177318911,0.0,0.0050803015404785,0.0,0.0,0.0,0.0032776138970829,0.0013110455588331,0.0,0.0670272041953457,0.0013929859062602,0.0,0.0,0,1,1,0,0
