Model,domain,feature,importance
RandomForest,Bacteria,BAC_F::WS1,0.003093964955301621
RandomForest,Bacteria,BAC_F::Burkholderiaceae,0.003064712418138338
RandomForest,Archaea,ARC_F::Bathyarchaeia,0.0029542674687996692
RandomForest,Bacteria,BAC_F::Alcaligenaceae,0.0028182960379045836
RandomForest,Bacteria,BAC_F::Clostridia_UCG-014,0.0027384860306565784
RandomForest,Bacteria,BAC_F::Desulfobulbaceae,0.0027183838140829074
RandomForest,Bacteria,BAC_F::SC-I-84,0.002548832176822282
RandomForest,Bacteria,BAC_F::Aminicenantales,0.0025479466204747217
RandomForest,Bacteria,BAC_F::Desulfomicrobiaceae,0.002530454356021539
RandomForest,Bacteria,BAC_F::SBR1031,0.0025057937329995422
RandomForest,Archaea,ARC_F::Methanomicrobiales,0.0024238950466579424
RandomForest,Bacteria,BAC_F::LD1-PB3,0.0022359070162943306
RandomForest,Bacteria,BAC_F::Erysipelatoclostridiaceae,0.002109699171843455
RandomForest,Bacteria,BAC_F::SB-5,0.002084687863508932
RandomForest,Bacteria,BAC_F::MVP-15,0.0020258691167808042
RandomForest,Bacteria,BAC_F::Sphingomonadaceae,0.00197313477970555
RandomForest,Bacteria,BAC_F::Thermovenabulales,0.0018813164547912737
RandomForest,Bacteria,BAC_F::Pirellulaceae,0.0018459339513987622
RandomForest,Bacteria,BAC_F::AKYH767,0.0017821380765758754
RandomForest,Bacteria,BAC_F::S15A-MN91,0.0017612577878526054
RandomForest,Bacteria,BAC_F::Streptococcaceae,0.0017082101183129035
RandomForest,Bacteria,BAC_F::Brachyspirales_Incertae_Sedis,0.0016547750363908084
RandomForest,Bacteria,BAC_F::Fimbriimonadaceae,0.0015991024117840095
RandomForest,Bacteria,BAC_F::Anaerofustaceae,0.0015961403766434784
RandomForest,Bacteria,BAC_F::Leuconostocaceae,0.0015769570467035789
RandomForest,Bacteria,BAC_F::Acidaminococcaceae,0.0015595948858168284
RandomForest,Bacteria,BAC_F::Absconditabacteriales_(SR1),0.0015406696669985163
RandomForest,Bacteria,BAC_F::Holophagaceae,0.001532105735716528
RandomForest,Bacteria,BAC_F::SJA-15,0.0015234232189131661
RandomForest,Bacteria,BAC_F::Sutterellaceae,0.0014611587518859022
RandomForest,Bacteria,BAC_F::Eubacteriaceae,0.0014221142027415127
RandomForest,Bacteria,BAC_F::Kosmotogaceae,0.0013579017464676285
RandomForest,Bacteria,BAC_F::Endomicrobiaceae,0.0013333333333333359
RandomForest,Bacteria,BAC_F::Gemmataceae,0.0012756793736228022
RandomForest,Bacteria,BAC_F::Competibacteraceae,0.0012675697541648062
RandomForest,Bacteria,BAC_F::Corynebacteriaceae,0.0012529241852277466
RandomForest,Bacteria,BAC_F::WCHB1-81,0.0011797433855137505
RandomForest,Bacteria,BAC_F::Yersiniaceae,0.0011276528302755794
RandomForest,Bacteria,BAC_F::Oligosphaeraceae,0.0010913926656597969
RandomForest,Bacteria,BAC_F::CK-2C2-2,0.0010717978502029284
RandomForest,Bacteria,BAC_F::Hyphomicrobiaceae,0.0010682829973944776
RandomForest,Bacteria,BAC_F::Bogoriellaceae,0.0010641651981289511
RandomForest,Bacteria,BAC_F::Microtrichaceae,0.0010459068428521243
RandomForest,Bacteria,BAC_F::PeH15,0.0009774928489848609
RandomForest,Bacteria,BAC_F::Fibrobacteraceae,0.0009624618951472154
RandomForest,Bacteria,BAC_F::Kapabacteriales,0.0009239708729230926
RandomForest,Bacteria,BAC_F::Rhizobiaceae,0.0009124794359069887
RandomForest,Bacteria,BAC_F::Peptococcaceae,0.0009032595646070235
RandomForest,Bacteria,BAC_F::Carnobacteriaceae,0.0008388728671709405
RandomForest,Bacteria,BAC_F::Spongiibacteraceae,0.000782881874978186
RandomForest,Bacteria,BAC_F::Syntrophaceae,0.0007639118771540096
RandomForest,Bacteria,BAC_F::Aquaspirillaceae,0.0007624127402421713
RandomForest,Bacteria,BAC_F::0319-6G20,0.0007584231867915209
RandomForest,Bacteria,BAC_F::Chthonomonadales,0.0007388502263500719
RandomForest,Bacteria,BAC_F::Xanthobacteraceae,0.0007299024556785135
RandomForest,Bacteria,BAC_F::Syntrophobacteraceae,0.0006856916654848368
RandomForest,Bacteria,BAC_F::Blastocatellaceae,0.0006654369092368591
RandomForest,Bacteria,BAC_F::DS-100,0.0006517814023071322
RandomForest,Archaea,ARC_F::Nitrososphaeraceae,0.0006220754372267837
RandomForest,Bacteria,BAC_F::Defluviitaleaceae,0.0006083939559040029
RandomForest,Bacteria,BAC_F::Caloramatoraceae,0.0005795550701244292
RandomForest,Bacteria,BAC_F::Fermentibacteraceae,0.0005600704329557426
RandomForest,Bacteria,BAC_F::Beijerinckiaceae,0.0005368830502008071
RandomForest,Bacteria,BAC_F::Thermoanaerobaculaceae,0.0005122756427580544
RandomForest,Bacteria,BAC_F::Erwiniaceae,0.0005104791427993794
RandomForest,Bacteria,BAC_F::Coprothermobacteraceae,0.0005066901932718055
RandomForest,Bacteria,BAC_F::Nitrosomonadaceae,0.0005050963688242793
RandomForest,Bacteria,BAC_F::Arcobacteraceae,0.0004906285672350518
RandomForest,Bacteria,BAC_F::A0839,0.00047405961021366745
RandomForest,Bacteria,BAC_F::Bacteroidetes_VC2.1_Bac22,0.0004632196241111487
RandomForest,Bacteria,BAC_F::Hyphomonadaceae,0.00045638562827296015
RandomForest,Archaea,ARC_F::Methanomethyliaceae,0.0003886603905443058
RandomForest,Bacteria,BAC_F::LD1-PA32,0.0003824278871901507
RandomForest,Bacteria,BAC_F::Caldilineaceae,0.00038154664781166246
RandomForest,Bacteria,BAC_F::PHOS-HE36,0.00035621055753193255
RandomForest,Bacteria,BAC_F::Fusibacteraceae,0.0003539503296707551
RandomForest,Bacteria,BAC_F::p-251-o5,0.0003504575957339481
RandomForest,Bacteria,BAC_F::Caldisericaceae,0.00030227151708700224
RandomForest,Bacteria,BAC_F::LF045,0.00029694793850946344
RandomForest,Bacteria,BAC_F::Candidatus_Peregrinibacteria,0.0002828851158123753
RandomForest,Bacteria,BAC_F::Actinomycetaceae,0.0002753185036399133
RandomForest,Bacteria,BAC_F::Acetobacteraceae,0.00026807697889890146
RandomForest,Bacteria,BAC_F::Rhizobiales_Incertae_Sedis,0.0002647808848323739
RandomForest,Bacteria,BAC_F::Hydrogenophilaceae,0.0002295475373002107
RandomForest,Bacteria,BAC_F::Leptotrichiaceae,0.0002291964838133338
RandomForest,Bacteria,BAC_F::KCLunmb-38-53,0.00022728449160866514
RandomForest,Bacteria,BAC_F::TTA-B1,0.00022377027195554078
RandomForest,Bacteria,BAC_F::Weeksellaceae,0.0002059558291266547
RandomForest,Bacteria,BAC_F::Methylomonadaceae,0.00019805928417358153
RandomForest,Bacteria,BAC_F::Aerococcaceae,0.00018144605426034403
RandomForest,Bacteria,BAC_F::Saccharimonadales,0.00017021889013319366
RandomForest,Bacteria,BAC_F::Syntrophotaleaceae,0.0001634693256453822
RandomForest,Bacteria,BAC_F::Monoglobaceae,0.00015352306711803907
RandomForest,Bacteria,BAC_F::Babeliales,0.00014558489610109362
RandomForest,Bacteria,BAC_F::Nitrosococcaceae,0.00014145365403950622
RandomForest,Bacteria,BAC_F::Limnochordia,0.00013772309635981403
RandomForest,Bacteria,BAC_F::Defluviicoccaceae,0.000130966508739427
RandomForest,Bacteria,BAC_F::Desulfovibrionaceae,0.00011865062001853262
RandomForest,Bacteria,BAC_F::Fervidobacteriaceae,0.00011724028501577774
RandomForest,Bacteria,BAC_F::BRH-c20a,0.00011668311618188458
RandomForest,Bacteria,BAC_F::Rubinisphaeraceae,0.00011623221541688258
RandomForest,Bacteria,BAC_F::B1-7BS,0.00011621257765587659
RandomForest,Bacteria,BAC_F::Nitrospiraceae,0.0001147241199771555
RandomForest,Bacteria,BAC_F::Enterococcaceae,0.00010772531333815775
RandomForest,Bacteria,BAC_F::Bacillaceae,9.526588742689963e-05
