fold,feature
1,BAC_F::PHOS-HE36
1,BAC_F::PLTA13
1,BAC_F::Paludibacteraceae
1,BAC_F::PeH15
1,BAC_F::PeM15
1,BAC_F::Pedosphaeraceae
1,BAC_F::Peptococcaceae
1,BAC_F::Peptostreptococcaceae
1,BAC_F::Peptostreptococcales-Tissierellales
1,BAC_F::Petrotogaceae
1,BAC_F::Phycisphaeraceae
1,BAC_F::Pirellulaceae
1,BAC_F::Pla3_lineage
1,BAC_F::Porticoccaceae
1,BAC_F::Prevotellaceae
1,BAC_F::Prolixibacteraceae
1,BAC_F::Propionibacteriaceae
1,BAC_F::Proteiniboraceae
1,BAC_F::Pseudomonadaceae
1,BAC_F::RBG-13-54-9
1,BAC_F::RBG-16-55-12
1,BAC_F::Reyranellaceae
1,BAC_F::Rhizobiaceae
1,BAC_F::Rhizobiales_Incertae_Sedis
1,BAC_F::Rhodanobacteraceae
1,BAC_F::Rhodobacteraceae
1,BAC_F::Rhodocyclaceae
1,BAC_F::Rikenellaceae
1,BAC_F::Rubinisphaeraceae
1,BAC_F::Ruminococcaceae
1,BAC_F::Run-SP154
1,BAC_F::S15A-MN91
1,BAC_F::SB-5
1,BAC_F::SBR1031
1,BAC_F::SC-I-84
1,BAC_F::SHA-41
1,BAC_F::SJA-15
1,BAC_F::SJA-28
1,BAC_F::SRB2
1,BAC_F::ST-12K33
1,BAC_F::Saccharimonadaceae
1,BAC_F::Saccharimonadales
1,BAC_F::Saprospiraceae
1,BAC_F::Sedimentibacteraceae
1,BAC_F::Selenomonadaceae
1,BAC_F::Smithellaceae
1,BAC_F::Solibacteraceae
1,BAC_F::Sphingobacteriaceae
1,BAC_F::Sphingomonadaceae
1,BAC_F::Spirochaetaceae
1,BAC_F::Spongiibacteraceae
1,BAC_F::Sporichthyaceae
1,BAC_F::Sporomusaceae
1,BAC_F::Steroidobacteraceae
1,BAC_F::Streptococcaceae
1,BAC_F::Sumerlaeaceae
1,BAC_F::Sutterellaceae
1,BAC_F::Sva0485
1,BAC_F::Symbiobacteraceae
1,BAC_F::Synergistaceae
1,BAC_F::Syntrophaceae
1,BAC_F::Syntrophobacteraceae
1,BAC_F::Syntrophobotulaceae
1,BAC_F::Syntrophomonadaceae
1,BAC_F::Syntrophorhabdaceae
1,BAC_F::Syntrophotaleaceae
1,BAC_F::TA06
1,BAC_F::TTA-B1
1,BAC_F::Tannerellaceae
1,BAC_F::Thermaceae
1,BAC_F::Thermacetogeniaceae
1,BAC_F::Thermoanaerobaculaceae
1,BAC_F::Thermotaleaceae
1,BAC_F::Thermovenabulales
1,BAC_F::Trueperaceae
1,BAC_F::UCG-010
1,BAC_F::Veillonellaceae
1,BAC_F::Vermiphilaceae
1,BAC_F::Vibrionaceae
1,BAC_F::W27
1,BAC_F::WCHB1-02
1,BAC_F::WCHB1-41
1,BAC_F::WCHB1-81
1,BAC_F::WPS-2
1,BAC_F::WS1
1,BAC_F::WWE3
1,BAC_F::Weeksellaceae
1,BAC_F::Williamwhitmaniaceae
1,BAC_F::Wohlfahrtiimonadaceae
1,BAC_F::Xanthobacteraceae
1,BAC_F::Xanthomonadaceae
1,BAC_F::Yersiniaceae
1,BAC_F::Z4MB62
1,BAC_F::Zixibacteria
1,BAC_F::c5LKS83
1,BAC_F::cvE6
1,BAC_F::p-251-o5
1,BAC_F::unidentified
1,ARC_F::Aenigmarchaeales
1,ARC_F::Bathyarchaeia
1,ARC_F::Lokiarchaeia
1,ARC_F::Methanocorpusculaceae
1,ARC_F::Methanofastidiosaceae
1,ARC_F::Methanomassiliicoccaceae
1,ARC_F::Methanomethyliaceae
1,ARC_F::Methanomethylophilaceae
1,ARC_F::Methanomicrobiaceae
1,ARC_F::Methanomicrobiales
1,ARC_F::Methanoregulaceae
1,ARC_F::Methanosaetaceae
1,ARC_F::Methanosarcinaceae
1,ARC_F::Methanospirillaceae
1,ARC_F::Micrarchaeales
1,ARC_F::Nitrososphaeraceae
1,ARC_F::Rhinosporideacae
1,ARC_F::SCGC_AAA011-D5
1,ARC_F::Teleostei
1,ARC_F::Veneroida
1,ARC_F::Woesearchaeales
1,ARC_F::unidentified
2,BAC_F::009E01-B-SD-P15
2,BAC_F::0319-6G20
2,BAC_F::053A03-B-DI-P58
2,BAC_F::1-20
2,BAC_F::113B434
2,BAC_F::37-13
2,BAC_F::4572-13
2,BAC_F::67-14
2,BAC_F::A0839
2,BAC_F::A21b
2,BAC_F::AKYH767
2,BAC_F::Absconditabacteriales_(SR1)
2,BAC_F::Acetobacteraceae
2,BAC_F::Acetothermiia
2,BAC_F::Acholeplasmataceae
2,BAC_F::Acidaminococcaceae
2,BAC_F::Actinomycetaceae
2,BAC_F::Aeromonadaceae
2,BAC_F::Alcaligenaceae
2,BAC_F::Aminicenantales
2,BAC_F::Anaerofustaceae
2,BAC_F::Anaerolineaceae
2,BAC_F::Anaeromyxobacteraceae
2,BAC_F::Anaerovoracaceae
2,BAC_F::Aquaspirillaceae
2,BAC_F::Arcobacteraceae
2,BAC_F::Arenicellaceae
2,BAC_F::Atopobiaceae
2,BAC_F::B1-7BS
2,BAC_F::B55-F-B-G02
2,BAC_F::BRH-c20a
2,BAC_F::Babeliales
2,BAC_F::Bacillaceae
2,BAC_F::Bacteriovoracaceae
2,BAC_F::Bacteroidaceae
2,BAC_F::Bacteroidales_UCG-001
2,BAC_F::Bacteroidetes_BD2-2
2,BAC_F::Bacteroidetes_VC2.1_Bac22
2,BAC_F::Bacteroidetes_vadinHA17
2,BAC_F::Bdellovibrionaceae
2,BAC_F::Beijerinckiaceae
2,BAC_F::Bifidobacteriaceae
2,BAC_F::Blastocatellaceae
2,BAC_F::Bogoriellaceae
2,BAC_F::Brachyspirales_Incertae_Sedis
2,BAC_F::Bradymonadales
2,BAC_F::Bryobacteraceae
2,BAC_F::Burkholderiaceae
2,BAC_F::Butyricicoccaceae
2,BAC_F::C10-SB1A
2,BAC_F::CCM19a
2,BAC_F::CK-2C2-2
2,BAC_F::Caldatribacteriaceae
2,BAC_F::Caldicoprobacteraceae
2,BAC_F::Caldilineaceae
2,BAC_F::Caldisericaceae
2,BAC_F::Caloramatoraceae
2,BAC_F::Candidatus_Falkowbacteria
2,BAC_F::Candidatus_Peregrinibacteria
2,BAC_F::Candidatus_Shapirobacteria
2,BAC_F::Carnobacteriaceae
2,BAC_F::Caulobacteraceae
2,BAC_F::Chitinimonadaceae
2,BAC_F::Chitinophagaceae
2,BAC_F::Christensenellaceae
2,BAC_F::Chthoniobacteraceae
2,BAC_F::Chthonomonadales
2,BAC_F::Cloacimonadaceae
2,BAC_F::Clostridia_UCG-014
2,BAC_F::Clostridiaceae
2,BAC_F::Comamonadaceae
2,BAC_F::Competibacteraceae
2,BAC_F::Coprothermobacteraceae
2,BAC_F::Corynebacteriaceae
2,BAC_F::Crocinitomicaceae
2,BAC_F::D8A-2
2,BAC_F::DEV007
2,BAC_F::DS-100
2,BAC_F::DTU014
2,BAC_F::Defluviicoccaceae
2,BAC_F::Defluviitaleaceae
2,BAC_F::Dermatophilaceae
2,BAC_F::Desulfitibacteraceae
2,BAC_F::Desulfobulbaceae
2,BAC_F::Desulfomicrobiaceae
2,BAC_F::Desulfotomaculales
2,BAC_F::Desulfovibrionaceae
2,BAC_F::Dethiobacteraceae
2,BAC_F::Devosiaceae
2,BAC_F::Dietziaceae
2,BAC_F::Diplorickettsiaceae
2,BAC_F::Dongiaceae
2,BAC_F::Dysgonomonadaceae
2,BAC_F::Elsteraceae
2,BAC_F::Endomicrobiaceae
2,BAC_F::Enterobacteriaceae
2,BAC_F::Enterococcaceae
2,BAC_F::Erysipelatoclostridiaceae
2,BAC_F::Erysipelotrichaceae
2,BAC_F::Eubacteriaceae
2,BAC_F::F082
2,BAC_F::FTLpost3
2,BAC_F::Fermentibacteraceae
2,BAC_F::Fervidobacteriaceae
2,BAC_F::Fibrobacteraceae
2,BAC_F::Fibrobacterales
2,BAC_F::Fimbriimonadaceae
2,BAC_F::Flavobacteriaceae
2,BAC_F::Fusibacteraceae
2,BAC_F::GZKB124
2,BAC_F::GZKB75
2,BAC_F::Gallionellaceae
2,BAC_F::Garciellaceae
2,BAC_F::Gemmataceae
2,BAC_F::Gemmatimonadaceae
2,BAC_F::Geobacteraceae
2,BAC_F::Gracilibacteraceae
2,BAC_F::HOC36
2,BAC_F::Hahellaceae
2,BAC_F::Halanaerobiaceae
2,BAC_F::Haliangiaceae
2,BAC_F::Halomonadaceae
2,BAC_F::Holophagaceae
2,BAC_F::Hungateiclostridiaceae
2,BAC_F::Hydrogenedensaceae
2,BAC_F::Hydrogenophilaceae
2,BAC_F::Hydrothermae
2,BAC_F::Hyphomicrobiaceae
2,BAC_F::Hyphomonadaceae
2,BAC_F::IMCC26256
2,BAC_F::Iamiaceae
2,BAC_F::Ignavibacteriaceae
2,BAC_F::Ilumatobacteraceae
2,BAC_F::Incertae_Sedis
2,BAC_F::Intrasporangiaceae
2,BAC_F::Isosphaeraceae
2,BAC_F::Izemoplasmataceae
2,BAC_F::Izemoplasmatales
2,BAC_F::JG36-GS-52
2,BAC_F::JS1
2,BAC_F::KCLunmb-38-53
2,BAC_F::Kapabacteriales
2,BAC_F::Kosmotogaceae
2,BAC_F::LD1-PA32
2,BAC_F::LD1-PB3
2,BAC_F::LF045
2,BAC_F::LWQ8
2,BAC_F::Lachnospiraceae
2,BAC_F::Lactobacillaceae
2,BAC_F::Leeiaceae
2,BAC_F::Lentimicrobiaceae
2,BAC_F::Leptospiraceae
2,BAC_F::Leptotrichiaceae
2,BAC_F::Leuconostocaceae
2,BAC_F::LiUU-11-161
2,BAC_F::Limnochordaceae
2,BAC_F::Limnochordia
2,BAC_F::M55-D21
2,BAC_F::MAT-CR-H4-C10
2,BAC_F::MBA03
2,BAC_F::MVP-15
2,BAC_F::Marinifilaceae
2,BAC_F::Marinilabiliaceae
2,BAC_F::Marinimicrobia_(SAR406_clade)
2,BAC_F::Methylococcaceae
2,BAC_F::Methylomonadaceae
2,BAC_F::Methylophilaceae
2,BAC_F::MgMjR-022
2,BAC_F::Microbacteriaceae
2,BAC_F::Microscillaceae
2,BAC_F::Microtrichaceae
2,BAC_F::Monoglobaceae
2,BAC_F::Moorellaceae
2,BAC_F::Moraxellaceae
2,BAC_F::Mycobacteriaceae
2,BAC_F::NK-L14
2,BAC_F::NKB15
2,BAC_F::Nannocystaceae
2,BAC_F::Neisseriaceae
2,BAC_F::Nitrosococcaceae
2,BAC_F::Nitrosomonadaceae
2,BAC_F::Nitrospiraceae
2,BAC_F::OLB14
2,BAC_F::OPB41
2,BAC_F::Obscuribacteraceae
2,BAC_F::Oligosphaeraceae
2,BAC_F::Omnitrophaceae
2,BAC_F::Oscillospiraceae
2,BAC_F::PB19
2,BAC_F::PBS-18
2,BAC_F::PHOS-HE36
2,BAC_F::PLTA13
2,BAC_F::Paludibacteraceae
2,BAC_F::PeH15
2,BAC_F::PeM15
2,BAC_F::Pedosphaeraceae
2,BAC_F::Peptococcaceae
2,BAC_F::Peptostreptococcaceae
2,BAC_F::Peptostreptococcales-Tissierellales
2,BAC_F::Petrotogaceae
2,BAC_F::Phycisphaeraceae
2,BAC_F::Pirellulaceae
2,BAC_F::Pla3_lineage
2,BAC_F::Planococcaceae
2,BAC_F::Porticoccaceae
2,BAC_F::Prevotellaceae
2,BAC_F::Prolixibacteraceae
2,BAC_F::Propionibacteriaceae
2,BAC_F::Proteiniboraceae
2,BAC_F::Pseudomonadaceae
2,BAC_F::RBG-13-54-9
2,BAC_F::RBG-16-55-12
2,BAC_F::Reyranellaceae
2,BAC_F::Rhizobiaceae
2,BAC_F::Rhizobiales_Incertae_Sedis
2,BAC_F::Rhodanobacteraceae
2,BAC_F::Rhodobacteraceae
2,BAC_F::Rhodocyclaceae
2,BAC_F::Rickettsiaceae
2,BAC_F::Rikenellaceae
2,BAC_F::Rubinisphaeraceae
2,BAC_F::Ruminococcaceae
2,BAC_F::Run-SP154
2,BAC_F::S15A-MN91
2,BAC_F::SB-5
2,BAC_F::SBR1031
2,BAC_F::SC-I-84
2,BAC_F::SJA-15
2,BAC_F::SJA-28
2,BAC_F::SM1A07
2,BAC_F::SRB2
2,BAC_F::ST-12K33
2,BAC_F::Saccharimonadaceae
2,BAC_F::Saccharimonadales
2,BAC_F::Saprospiraceae
2,BAC_F::Schlesneriaceae
2,BAC_F::Sedimentibacteraceae
2,BAC_F::Selenomonadaceae
2,BAC_F::Smithellaceae
2,BAC_F::Sphingomonadaceae
2,BAC_F::Spirochaetaceae
2,BAC_F::Spongiibacteraceae
2,BAC_F::Sporichthyaceae
2,BAC_F::Sporomusaceae
2,BAC_F::Steroidobacteraceae
2,BAC_F::Streptococcaceae
2,BAC_F::Sumerlaeaceae
2,BAC_F::Sutterellaceae
2,BAC_F::Sva0485
2,BAC_F::Symbiobacteraceae
2,BAC_F::Synergistaceae
2,BAC_F::Syntrophaceae
2,BAC_F::Syntrophobacteraceae
2,BAC_F::Syntrophobotulaceae
2,BAC_F::Syntrophomonadaceae
2,BAC_F::Syntrophorhabdaceae
2,BAC_F::Syntrophotaleaceae
2,BAC_F::TA06
2,BAC_F::TTA-B1
2,BAC_F::Tannerellaceae
2,BAC_F::Thermacetogeniaceae
2,BAC_F::Thermoanaerobaculaceae
2,BAC_F::Thermotaleaceae
2,BAC_F::Thermovenabulales
2,BAC_F::Thioalkalispiraceae
2,BAC_F::UCG-010
2,BAC_F::Veillonellaceae
2,BAC_F::Vermiphilaceae
2,BAC_F::Verrucomicrobiaceae
2,BAC_F::W27
2,BAC_F::WCHB1-02
2,BAC_F::WCHB1-41
2,BAC_F::WCHB1-81
2,BAC_F::WPS-2
2,BAC_F::WS1
2,BAC_F::WWE3
2,BAC_F::Weeksellaceae
2,BAC_F::Williamwhitmaniaceae
2,BAC_F::Xanthobacteraceae
2,BAC_F::Xanthomonadaceae
2,BAC_F::Zixibacteria
2,BAC_F::c5LKS83
2,BAC_F::env.OPS_17
2,BAC_F::p-251-o5
2,BAC_F::unidentified
2,ARC_F::Aenigmarchaeales
2,ARC_F::Bathyarchaeia
2,ARC_F::Lokiarchaeia
2,ARC_F::Methanocorpusculaceae
2,ARC_F::Methanofastidiosaceae
2,ARC_F::Methanomassiliicoccaceae
2,ARC_F::Methanomethyliaceae
2,ARC_F::Methanomethylophilaceae
2,ARC_F::Methanomicrobiaceae
2,ARC_F::Methanomicrobiales
2,ARC_F::Methanoregulaceae
2,ARC_F::Methanosaetaceae
2,ARC_F::Methanosarcinaceae
2,ARC_F::Methanospirillaceae
2,ARC_F::Micrarchaeales
2,ARC_F::Nitrososphaeraceae
2,ARC_F::Rhinosporideacae
2,ARC_F::SCGC_AAA011-D5
2,ARC_F::Woesearchaeales
2,ARC_F::unidentified
3,BAC_F::009E01-B-SD-P15
3,BAC_F::0319-6G20
3,BAC_F::053A03-B-DI-P58
3,BAC_F::1-20
3,BAC_F::113B434
3,BAC_F::37-13
3,BAC_F::4572-13
3,BAC_F::67-14
3,BAC_F::A0839
3,BAC_F::A21b
3,BAC_F::AKYH767
3,BAC_F::Absconditabacteriales_(SR1)
3,BAC_F::Acetobacteraceae
3,BAC_F::Acetothermiia
3,BAC_F::Acholeplasmataceae
3,BAC_F::Acidaminococcaceae
3,BAC_F::Acidobacteriae
3,BAC_F::Actinomycetaceae
3,BAC_F::Aerococcaceae
3,BAC_F::Aeromonadaceae
3,BAC_F::Alcaligenaceae
3,BAC_F::Aminicenantales
3,BAC_F::Anaerofustaceae
3,BAC_F::Anaerolineaceae
3,BAC_F::Anaeromyxobacteraceae
3,BAC_F::Anaerovoracaceae
3,BAC_F::Aquaspirillaceae
3,BAC_F::Arcobacteraceae
3,BAC_F::Ardenticatenaceae
3,BAC_F::Arenicellaceae
3,BAC_F::Atopobiaceae
3,BAC_F::B1-7BS
3,BAC_F::B55-F-B-G02
3,BAC_F::BRH-c20a
3,BAC_F::Babeliales
3,BAC_F::Bacillaceae
3,BAC_F::Bacteriovoracaceae
3,BAC_F::Bacteroidaceae
3,BAC_F::Bacteroidales_UCG-001
3,BAC_F::Bacteroidetes_BD2-2
3,BAC_F::Bacteroidetes_VC2.1_Bac22
3,BAC_F::Bacteroidetes_vadinHA17
3,BAC_F::Bdellovibrionaceae
3,BAC_F::Beijerinckiaceae
3,BAC_F::Bifidobacteriaceae
3,BAC_F::Blastocatellaceae
3,BAC_F::Bogoriellaceae
3,BAC_F::Brachyspirales_Incertae_Sedis
3,BAC_F::Bradymonadales
3,BAC_F::Bryobacteraceae
3,BAC_F::Burkholderiaceae
3,BAC_F::C10-SB1A
3,BAC_F::CCM19a
3,BAC_F::CK-2C2-2
3,BAC_F::Caldatribacteriaceae
3,BAC_F::Caldicoprobacteraceae
3,BAC_F::Caldilineaceae
3,BAC_F::Caldisericaceae
3,BAC_F::Caloramatoraceae
3,BAC_F::Candidatus_Falkowbacteria
3,BAC_F::Candidatus_Peregrinibacteria
3,BAC_F::Candidatus_Shapirobacteria
3,BAC_F::Carnobacteriaceae
3,BAC_F::Caulobacteraceae
3,BAC_F::Chitinimonadaceae
3,BAC_F::Chitinophagaceae
3,BAC_F::Christensenellaceae
3,BAC_F::Chromobacteriaceae
3,BAC_F::Chthoniobacteraceae
3,BAC_F::Chthonomonadales
3,BAC_F::Cloacimonadaceae
3,BAC_F::Cloacimonadales
3,BAC_F::Clostridia_UCG-014
3,BAC_F::Clostridiaceae
3,BAC_F::Comamonadaceae
3,BAC_F::Competibacteraceae
3,BAC_F::Coprothermobacteraceae
3,BAC_F::Coriobacteriales_Incertae_Sedis
3,BAC_F::Corynebacteriaceae
3,BAC_F::Crocinitomicaceae
3,BAC_F::D8A-2
3,BAC_F::DEV007
3,BAC_F::DS-100
3,BAC_F::DTU014
3,BAC_F::Defluviicoccaceae
3,BAC_F::Defluviitaleaceae
3,BAC_F::Desulfitibacteraceae
3,BAC_F::Desulfobulbaceae
3,BAC_F::Desulfomicrobiaceae
3,BAC_F::Desulfotomaculales
3,BAC_F::Desulfovibrionaceae
3,BAC_F::Dethiobacteraceae
3,BAC_F::Devosiaceae
3,BAC_F::Dietziaceae
3,BAC_F::Diplorickettsiaceae
3,BAC_F::Dongiaceae
3,BAC_F::Dysgonomonadaceae
3,BAC_F::Eggerthellaceae
3,BAC_F::Elsteraceae
3,BAC_F::Endomicrobiaceae
3,BAC_F::Enterobacteriaceae
3,BAC_F::Enterococcaceae
3,BAC_F::Erwiniaceae
3,BAC_F::Erysipelatoclostridiaceae
3,BAC_F::Erysipelotrichaceae
3,BAC_F::Eubacteriaceae
3,BAC_F::F082
3,BAC_F::FTLpost3
3,BAC_F::Fermentibacteraceae
3,BAC_F::Fervidobacteriaceae
3,BAC_F::Fibrobacteraceae
3,BAC_F::Fibrobacterales
3,BAC_F::Fimbriimonadaceae
3,BAC_F::Flavobacteriaceae
3,BAC_F::Fusibacteraceae
3,BAC_F::Fusobacteriaceae
3,BAC_F::GZKB124
3,BAC_F::GZKB75
3,BAC_F::Gallionellaceae
3,BAC_F::Garciellaceae
3,BAC_F::Gemmataceae
3,BAC_F::Gemmatimonadaceae
3,BAC_F::Geobacteraceae
3,BAC_F::Gracilibacteraceae
3,BAC_F::Hahellaceae
3,BAC_F::Halanaerobiaceae
3,BAC_F::Haliangiaceae
3,BAC_F::Halomonadaceae
3,BAC_F::Holophagaceae
3,BAC_F::Hungateiclostridiaceae
3,BAC_F::Hydrogenedensaceae
3,BAC_F::Hydrogenophilaceae
3,BAC_F::Hydrothermae
3,BAC_F::Hyphomicrobiaceae
3,BAC_F::Hyphomonadaceae
3,BAC_F::IMCC26256
3,BAC_F::Iamiaceae
3,BAC_F::Ignavibacteriaceae
3,BAC_F::Ilumatobacteraceae
3,BAC_F::Incertae_Sedis
3,BAC_F::Intrasporangiaceae
3,BAC_F::Isosphaeraceae
3,BAC_F::Izemoplasmataceae
3,BAC_F::Izemoplasmatales
3,BAC_F::JG36-GS-52
3,BAC_F::JS1
3,BAC_F::KCLunmb-38-53
3,BAC_F::Kapabacteriales
3,BAC_F::Kosmotogaceae
3,BAC_F::LD1-PA32
3,BAC_F::LD1-PB3
3,BAC_F::LF045
3,BAC_F::LWQ8
3,BAC_F::Lachnospiraceae
3,BAC_F::Lactobacillaceae
3,BAC_F::Leeiaceae
3,BAC_F::Lentimicrobiaceae
3,BAC_F::Leptospiraceae
3,BAC_F::Leptotrichiaceae
3,BAC_F::Leuconostocaceae
3,BAC_F::LiUU-11-161
3,BAC_F::Limnochordaceae
3,BAC_F::Limnochordia
3,BAC_F::M55-D21
3,BAC_F::MAT-CR-H4-C10
3,BAC_F::MBA03
3,BAC_F::MVP-15
3,BAC_F::Marinifilaceae
3,BAC_F::Marinilabiliaceae
3,BAC_F::Marinimicrobia_(SAR406_clade)
3,BAC_F::Methylococcaceae
3,BAC_F::Methylomonadaceae
3,BAC_F::Methylophilaceae
3,BAC_F::MgMjR-022
3,BAC_F::Microbacteriaceae
3,BAC_F::Micrococcaceae
3,BAC_F::Microscillaceae
3,BAC_F::Microtrichaceae
3,BAC_F::Monoglobaceae
3,BAC_F::Moorellaceae
3,BAC_F::Moraxellaceae
3,BAC_F::Morganellaceae
3,BAC_F::Mycobacteriaceae
3,BAC_F::NK-L14
3,BAC_F::NKB15
3,BAC_F::Nannocystaceae
3,BAC_F::Neisseriaceae
3,BAC_F::Nitrosococcaceae
3,BAC_F::Nitrosomonadaceae
