domain,rank,workbook_sample,SampleID,workbook_suffix,original_suffix,Site
BAC,Family,2-32-JJNG,2-32,JJNG,JJNG,JJN
BAC,Family,2-32'-JJYS,2-32',JJYS,JJYS,JJY
BAC,Family,2-33-CWMS,2-33,CWMS,CWMS,CWM
BAC,Family,2-34-CWSS,2-34,CWSS,CWSS,CWS
BAC,Family,2-4-BSOC,2-4,BSOC,BSOC,BSO
BAC,Family,2-5-BSES,2-5,BSES,BSES,BSE
BAC,Family,2-6-DGGW,2-6,DGGW,DGGW,DGG
BAC,Family,2-7-DGDS,2-7,DGDS,DGDS,DGD
BAC,Family,2-8-DGJY,2-8,DGJY,DGJY,DGJ
BAC,Family,2-9-DGGB,2-9,DGGB,DGGB,DGB
BAC,Family,3-1-BSSG,3-1,BSSG,BSSG,BSS
BAC,Family,3-10-DGDC,3-10,DGDC,DGDC,DGC
BAC,Family,3-11-DGYSa,3-11,DGYSa,DGYSa,DGY
BAC,Family,3-12-USOS,3-12,USOS,USOS,USO
BAC,Family,3-13-USYY,3-13,USYY,USYY,USY
BAC,Family,3-14-USYJ,3-14,USYJ,USYJ,USJ
BAC,Family,3-15-GSGA,3-15,GSGA,GSGA,GSG
BAC,Family,3-16-GCGD,3-16,GCGD,GCGD,GCG
BAC,Family,3-17-MGYS,3-17,MGYS,MGYS,MGY
BAC,Family,3-18-ADAS,3-18,ADAS,ADAS,ADA
BAC,Family,3-19-ADPC,3-19,ADPC,ADPC,ADP
BAC,Family,3-2-BSNS,3-2,BSNS,BSNS,BSN
BAC,Family,3-20-YCGH,3-20,YCGH,YCGH,YCG
BAC,Family,3-21-YCDG,3-21,YCDG,YCDG,YCD
BAC,Family,3-22-UJGN,3-22,UJGN,UJGN,UJG
BAC,Family,3-23-CGSJ,3-23,CGSJ,CGSJ,CGS
BAC,Family,3-24-GHGHa,3-24,GHGHa,GHGHa,GHGa
BAC,Family,3-25-GHGHb,3-25,GHGHb,GHGHb,GHGb
BAC,Family,3-26-GHHM,3-26,GHHM,GHHM,GHH
BAC,Family,3-27-GHJY,3-27,GHJY,GHJY,GHJ
BAC,Family,3-28-MYSN,3-28,MYSN,MYSN,MYS
BAC,Family,3-29-SCHG,3-29,SCHG,SCHG,SCH
BAC,Family,3-3-BSIGa,3-3,BSIGa,BSIGa,BSI
BAC,Family,3-30-YSDM,3-30,YSDM,YSDM,YSD
BAC,Family,3-31-YSYS,3-31,YSYS,YSYS,YSY
BAC,Family,3-32-JJNG,3-32,JJNG,JJNG,JJN
BAC,Family,3-32'-JJYS,3-32',JJYS,JJYS,JJY
BAC,Family,3-33-CWMS,3-33,CWMS,CWMS,CWM
BAC,Family,3-34-CWSS,3-34,CWSS,CWSS,CWS
