feature,taxon,domain,taxonomic_level,samples_above_0_1_percent,training_samples_above_0_1_percent,included_in_final_matrix
BAC_F::009E01-B-SD-P15,009E01-B-SD-P15,Bacteria,Family,63,50,True
BAC_F::0319-6G20,0319-6G20,Bacteria,Family,14,10,True
BAC_F::053A03-B-DI-P58,053A03-B-DI-P58,Bacteria,Family,1,1,True
BAC_F::1-20,1-20,Bacteria,Family,10,5,True
BAC_F::113B434,113B434,Bacteria,Family,4,3,True
BAC_F::37-13,37-13,Bacteria,Family,3,2,True
BAC_F::4572-13,4572-13,Bacteria,Family,1,1,True
BAC_F::67-14,67-14,Bacteria,Family,5,2,True
BAC_F::A0839,A0839,Bacteria,Family,15,9,True
BAC_F::A21b,A21b,Bacteria,Family,1,1,True
BAC_F::AKYH767,AKYH767,Bacteria,Family,47,34,True
BAC_F::Absconditabacteriales_(SR1),Absconditabacteriales_(SR1),Bacteria,Family,13,10,True
BAC_F::Acetobacteraceae,Acetobacteraceae,Bacteria,Family,16,11,True
BAC_F::Acetothermiia,Acetothermiia,Bacteria,Family,12,4,True
BAC_F::Acholeplasmataceae,Acholeplasmataceae,Bacteria,Family,72,61,True
BAC_F::Acidaminococcaceae,Acidaminococcaceae,Bacteria,Family,27,20,True
BAC_F::Acidobacteriae,Acidobacteriae,Bacteria,Family,1,1,True
BAC_F::Actinomycetaceae,Actinomycetaceae,Bacteria,Family,18,16,True
BAC_F::Aerococcaceae,Aerococcaceae,Bacteria,Family,4,4,True
BAC_F::Aeromonadaceae,Aeromonadaceae,Bacteria,Family,21,13,True
BAC_F::Alcaligenaceae,Alcaligenaceae,Bacteria,Family,10,6,True
BAC_F::Aminicenantales,Aminicenantales,Bacteria,Family,61,41,True
BAC_F::Anaerofustaceae,Anaerofustaceae,Bacteria,Family,10,9,True
BAC_F::Anaerolineaceae,Anaerolineaceae,Bacteria,Family,85,67,True
BAC_F::Anaeromyxobacteraceae,Anaeromyxobacteraceae,Bacteria,Family,1,1,True
BAC_F::Anaerovoracaceae,Anaerovoracaceae,Bacteria,Family,119,100,True
BAC_F::Aquaspirillaceae,Aquaspirillaceae,Bacteria,Family,7,5,True
BAC_F::Arcobacteraceae,Arcobacteraceae,Bacteria,Family,21,13,True
BAC_F::Ardenticatenaceae,Ardenticatenaceae,Bacteria,Family,1,1,True
BAC_F::Arenicellaceae,Arenicellaceae,Bacteria,Family,1,1,True
BAC_F::Atopobiaceae,Atopobiaceae,Bacteria,Family,18,17,True
BAC_F::B1-7BS,B1-7BS,Bacteria,Family,14,8,True
BAC_F::B55-F-B-G02,B55-F-B-G02,Bacteria,Family,5,5,True
BAC_F::BRH-c20a,BRH-c20a,Bacteria,Family,8,6,True
BAC_F::Babeliales,Babeliales,Bacteria,Family,26,20,True
BAC_F::Bacillaceae,Bacillaceae,Bacteria,Family,15,11,True
BAC_F::Bacteriovoracaceae,Bacteriovoracaceae,Bacteria,Family,1,1,True
BAC_F::Bacteroidaceae,Bacteroidaceae,Bacteria,Family,50,36,True
BAC_F::Bacteroidales_UCG-001,Bacteroidales_UCG-001,Bacteria,Family,49,42,True
BAC_F::Bacteroidetes_BD2-2,Bacteroidetes_BD2-2,Bacteria,Family,5,4,True
BAC_F::Bacteroidetes_VC2.1_Bac22,Bacteroidetes_VC2.1_Bac22,Bacteria,Family,12,11,True
BAC_F::Bacteroidetes_vadinHA17,Bacteroidetes_vadinHA17,Bacteria,Family,109,81,True
BAC_F::Bdellovibrionaceae,Bdellovibrionaceae,Bacteria,Family,2,2,True
BAC_F::Beijerinckiaceae,Beijerinckiaceae,Bacteria,Family,34,27,True
BAC_F::Bifidobacteriaceae,Bifidobacteriaceae,Bacteria,Family,9,7,True
BAC_F::Blastocatellaceae,Blastocatellaceae,Bacteria,Family,15,8,True
BAC_F::Bogoriellaceae,Bogoriellaceae,Bacteria,Family,4,4,True
BAC_F::Brachyspirales_Incertae_Sedis,Brachyspirales_Incertae_Sedis,Bacteria,Family,36,24,True
BAC_F::Bradymonadales,Bradymonadales,Bacteria,Family,1,1,True
BAC_F::Bryobacteraceae,Bryobacteraceae,Bacteria,Family,2,2,True
BAC_F::Burkholderiaceae,Burkholderiaceae,Bacteria,Family,62,44,True
BAC_F::Butyricicoccaceae,Butyricicoccaceae,Bacteria,Family,1,1,True
BAC_F::C10-SB1A,C10-SB1A,Bacteria,Family,2,2,True
BAC_F::CCM19a,CCM19a,Bacteria,Family,4,2,True
BAC_F::CK-2C2-2,CK-2C2-2,Bacteria,Family,9,7,True
BAC_F::Caldatribacteriaceae,Caldatribacteriaceae,Bacteria,Family,83,68,True
BAC_F::Caldicoprobacteraceae,Caldicoprobacteraceae,Bacteria,Family,71,59,True
BAC_F::Caldilineaceae,Caldilineaceae,Bacteria,Family,25,22,True
BAC_F::Caldisericaceae,Caldisericaceae,Bacteria,Family,30,17,True
BAC_F::Caloramatoraceae,Caloramatoraceae,Bacteria,Family,6,6,True
BAC_F::Candidatus_Falkowbacteria,Candidatus_Falkowbacteria,Bacteria,Family,2,1,True
BAC_F::Candidatus_Peregrinibacteria,Candidatus_Peregrinibacteria,Bacteria,Family,5,4,True
BAC_F::Candidatus_Shapirobacteria,Candidatus_Shapirobacteria,Bacteria,Family,1,1,True
BAC_F::Carnobacteriaceae,Carnobacteriaceae,Bacteria,Family,24,17,True
BAC_F::Caulobacteraceae,Caulobacteraceae,Bacteria,Family,5,2,True
BAC_F::Chitinimonadaceae,Chitinimonadaceae,Bacteria,Family,2,2,True
BAC_F::Chitinophagaceae,Chitinophagaceae,Bacteria,Family,64,46,True
BAC_F::Christensenellaceae,Christensenellaceae,Bacteria,Family,133,105,True
BAC_F::Chromobacteriaceae,Chromobacteriaceae,Bacteria,Family,1,1,True
BAC_F::Chthoniobacteraceae,Chthoniobacteraceae,Bacteria,Family,1,1,True
BAC_F::Chthonomonadales,Chthonomonadales,Bacteria,Family,16,14,True
