domain,rank,taxon,feature,samples_above_0_1_percent,included
BAC,Order,Gaiellales,BAC_O::Gaiellales,48,True
BAC,Order,Gammaproteobacteria_Incertae_Sedis,BAC_O::Gammaproteobacteria_Incertae_Sedis,7,True
BAC,Order,Gemmatales,BAC_O::Gemmatales,32,True
BAC,Order,Gemmatimonadales,BAC_O::Gemmatimonadales,16,True
BAC,Order,Geobacterales,BAC_O::Geobacterales,12,True
BAC,Order,HOC36,BAC_O::HOC36,1,True
BAC,Order,Halanaerobiales,BAC_O::Halanaerobiales,2,True
BAC,Order,Haliangiales,BAC_O::Haliangiales,6,True
BAC,Order,Holophagales,BAC_O::Holophagales,11,True
BAC,Order,Hydrogenedentiales,BAC_O::Hydrogenedentiales,65,True
BAC,Order,Hydrothermae,BAC_O::Hydrothermae,1,True
BAC,Order,IMCC26256,BAC_O::IMCC26256,5,True
BAC,Order,Ignavibacteriales,BAC_O::Ignavibacteriales,29,True
BAC,Order,Incertae_Sedis,BAC_O::Incertae_Sedis,35,True
BAC,Order,Isosphaerales,BAC_O::Isosphaerales,7,True
BAC,Order,Izemoplasmatales,BAC_O::Izemoplasmatales,59,True
BAC,Order,JG36-GS-52,BAC_O::JG36-GS-52,2,True
BAC,Order,JS1,BAC_O::JS1,64,True
BAC,Order,KD4-96,BAC_O::KD4-96,4,True
BAC,Order,Kapabacteriales,BAC_O::Kapabacteriales,44,True
BAC,Order,Kosmotogales,BAC_O::Kosmotogales,47,True
BAC,Order,LCP-89,BAC_O::LCP-89,1,True
BAC,Order,LD1-PA32,BAC_O::LD1-PA32,16,True
BAC,Order,LD1-PB3,BAC_O::LD1-PB3,32,True
BAC,Order,Lachnospirales,BAC_O::Lachnospirales,108,True
BAC,Order,Lactobacillales,BAC_O::Lactobacillales,99,True
BAC,Order,Latescibacterales,BAC_O::Latescibacterales,1,True
BAC,Order,Latescibacterota,BAC_O::Latescibacterota,2,True
BAC,Order,Legionellales,BAC_O::Legionellales,1,True
BAC,Order,Leptospirales,BAC_O::Leptospirales,66,True
BAC,Order,Limnochordales,BAC_O::Limnochordales,24,True
BAC,Order,Limnochordia,BAC_O::Limnochordia,8,True
BAC,Order,Lineage_IV,BAC_O::Lineage_IV,1,True
BAC,Order,M55-D21,BAC_O::M55-D21,12,True
BAC,Order,MAT-CR-H4-C10,BAC_O::MAT-CR-H4-C10,2,True
BAC,Order,MBA03,BAC_O::MBA03,60,True
BAC,Order,MBNT15,BAC_O::MBNT15,1,True
BAC,Order,MD2902-B12,BAC_O::MD2902-B12,2,True
