domain,workbook_sample,SampleID
BAC,3-23-CGSJ,3-23
BAC,3-24-GHGHa,3-24
BAC,3-25-GHGHb,3-25
BAC,3-26-GHHM,3-26
BAC,3-27-GHJY,3-27
BAC,3-28-MYSN,3-28
BAC,3-29-SCHG,3-29
BAC,3-3-BSIGa,3-3
BAC,3-30-YSDM,3-30
BAC,3-31-YSYS,3-31
BAC,3-32-JJNG,3-32
BAC,3-32'-JJYS,3-32'
BAC,3-33-CWMS,3-33
BAC,3-34-CWSS,3-34
BAC,3-4-BSOC,3-4
BAC,3-5-BSES,3-5
BAC,3-6-DGGW,3-6
BAC,3-7-DGDS,3-7
BAC,3-8-DGJY,3-8
BAC,3-9-DGGB,3-9
BAC,4-1-BSSG,4-1
BAC,4-10-DGDC,4-10
BAC,4-11-DGYSa,4-11
BAC,4-12-USOS,4-12
BAC,4-13-USYY,4-13
BAC,4-14-USYJ,4-14
BAC,4-15-GSGA,4-15
BAC,4-16-GCGD,4-16
BAC,4-17-MGYS,4-17
BAC,4-18-ADAS,4-18
BAC,4-2-BSNS,4-2
BAC,4-21-YCDG,4-21
BAC,4-22-UJGN,4-22
BAC,4-23-CGSJ,4-23
BAC,4-24-GHGHa,4-24
BAC,4-25-GHGHb,4-25
BAC,4-26-GHHM,4-26
BAC,4-27-GHJY,4-27
BAC,4-28-MYSN,4-28
BAC,4-29-SCHG,4-29
BAC,4-3-BSIGa,4-3
BAC,4-30-YSDM,4-30
BAC,4-31-YSYS,4-31
BAC,4-32-JJNG,4-32
BAC,4-32'-JJYS,4-32'
BAC,4-33-CWMS,4-33
BAC,4-34-CWSS,4-34
BAC,4-4-BSOC,4-4
BAC,4-5-BSES,4-5
BAC,4-6-DGGW,4-6
BAC,4-7-DGDS,4-7
BAC,4-8-DGJY,4-8
BAC,4-9-DGGB,4-9
ARC,1-1-BSSG,1-1
ARC,1-10-DGDC,1-10
ARC,1-11-DGYSa,1-11
ARC,1-11b-DGYSb,1-11b
ARC,1-12-USOS,1-12
ARC,1-13-USYY,1-13
ARC,1-14-USYJ,1-14
ARC,1-15-GSGA,1-15
ARC,1-16-GCGD,1-16
ARC,1-17-MGYS,1-17
ARC,1-18-ADAS,1-18
ARC,1-19-ADPC,1-19
ARC,1-2-BSNS,1-2
ARC,1-20-YCGH,1-20
ARC,1-21-YCDG,1-21
ARC,1-22-UJGN,1-22
ARC,1-23-CGSJ,1-23
ARC,1-24-GHGHa,1-24
ARC,1-25-GHGHb,1-25
ARC,1-26-GHHM,1-26
ARC,1-27-GHJY,1-27
ARC,1-28-MYSN,1-28
ARC,1-29-SCHG,1-29
ARC,1-3-BSIGa,1-3
ARC,1-30-YSDM,1-30
ARC,1-31-YSYS,1-31
ARC,1-32-JJNG,1-32
ARC,1-33-CWMS,1-33
ARC,1-34-CWSS,1-34
ARC,1-3b-BSIGb,1-3b
ARC,1-4-BSOC,1-4
ARC,1-5-BSES,1-5
ARC,1-6-DGGW,1-6
ARC,1-7-DGDS,1-7
ARC,1-8-DGJY,1-8
ARC,1-9-DGGB,1-9
ARC,2-1-BSSG,2-1
ARC,2-10-DGDC,2-10
ARC,2-11-DGYSa,2-11
ARC,2-12-USOS,2-12
ARC,2-13-USYY,2-13
ARC,2-14-USYJ,2-14
ARC,2-15-GSGA,2-15
ARC,2-16-GCGD,2-16
ARC,2-17-MGYS,2-17
ARC,2-18-ADAS,2-18
ARC,2-19-ADPC,2-19
ARC,2-2-BSNS,2-2
ARC,2-20-YCGH,2-20
ARC,2-21-YCDG,2-21
ARC,2-22-UJGN,2-22
ARC,2-23-CGSJ,2-23
ARC,2-24-GHGHa,2-24
ARC,2-25-GHGHb,2-25
ARC,2-26-GHHM,2-26
ARC,2-27-GHJY,2-27
ARC,2-28-MYSN,2-28
ARC,2-29-SCHG-ARC,2-29
ARC,2-3-BSIGa,2-3
ARC,2-30-YSDM,2-30
ARC,2-31-YSYS,2-31
ARC,2-32-JJNG,2-32
ARC,2-32'-JJYS,2-32'
ARC,2-33-CWMS,2-33
ARC,2-34-CWSS,2-34
ARC,2-4-BSOC,2-4
ARC,2-5-BSES,2-5
ARC,2-6-DGGW,2-6
ARC,2-7-DGDS,2-7
ARC,2-8-DGJY,2-8
ARC,2-9-DGGB,2-9
ARC,3-1-BSSG,3-1
ARC,3-10-DGDC,3-10
ARC,3-11-DGYSa,3-11
ARC,3-12-USOS,3-12
ARC,3-13-USYY,3-13
ARC,3-14-USYJ,3-14
ARC,3-15-GSGA,3-15
ARC,3-16-GCGD,3-16
ARC,3-17-MGYS,3-17
ARC,3-18-ADAS,3-18
ARC,3-19-ADPC,3-19
ARC,3-2-BSNS,3-2
ARC,3-20-YCGH,3-20
ARC,3-21-YCDG,3-21
ARC,3-22-UJGN,3-22
ARC,3-23-CGSJ,3-23
ARC,3-24-GHGHa,3-24
ARC,3-25-GHGHb,3-25
ARC,3-26-GHHM,3-26
ARC,3-27-GHJY,3-27
ARC,3-28-MYSN,3-28
ARC,3-29-SCHG,3-29
ARC,3-3-BSIGa,3-3
ARC,3-30-YSDM,3-30
ARC,3-31-YSYS,3-31
ARC,3-32-JJNG,3-32
ARC,3-32'-JJYS,3-32'
ARC,3-33-CWMS,3-33
ARC,3-34-CWSS,3-34
ARC,3-4-BSOC,3-4
ARC,3-5-BSES,3-5
ARC,3-6-DGGW,3-6
ARC,3-7-DGDS,3-7
ARC,3-8-DGJY,3-8
ARC,3-9-DGGB,3-9
ARC,4-1-BSSG,4-1
ARC,4-10-DGDC,4-10
ARC,4-11-DGYSa,4-11
ARC,4-12-USOS,4-12
ARC,4-13-USYY,4-13
ARC,4-14-USYJ,4-14
ARC,4-15-GSGA,4-15
ARC,4-16-GCGD,4-16
ARC,4-17-MGYS,4-17
ARC,4-18-ADAS,4-18
ARC,4-2-BSNS,4-2
ARC,4-21-YCDG,4-21
ARC,4-22-UJGN,4-22
ARC,4-23-CGSJ,4-23
ARC,4-25-GHGHb,4-25
ARC,4-26-GHHM,4-26
ARC,4-27-GHJY,4-27
ARC,4-28-MYSN,4-28
ARC,4-29-SCHG,4-29
ARC,4-3-BSIGa,4-3
ARC,4-30-YSDM,4-30
ARC,4-31-YSYS,4-31
ARC,4-32-JJNG,4-32
ARC,4-32'-JJYS,4-32'
ARC,4-33-CWMS,4-33
ARC,4-34-CWSS,4-34
ARC,4-4-BSOC,4-4
ARC,4-5-BSES,4-5
ARC,4-6-DGGW,4-6
ARC,4-7-DGDS,4-7
ARC,4-8-DGJY,4-8
ARC,4-9-DGGB,4-9
