Model,warning_acid_base_balance,warning_buffer_capacity,warning_acid_accumulation,warning_ammonia_toxicity,warning_biogas_quality
RandomForest,0.25,0.25,0.25,0.25,0.25
KNN,0.63,0.63,0.63,0.63,0.63
SVM,0.19,0.19,0.19,0.19,0.19
NNET,0.11,0.11,0.11,0.11,0.11
XGBoost,0.41000000000000003,0.41000000000000003,0.41000000000000003,0.41000000000000003,0.41000000000000003
GLMNET,0.41000000000000003,0.41000000000000003,0.41000000000000003,0.41000000000000003,0.41000000000000003
