fold,block,feature,training_samples_above_0_1_percent
1,BAC_P,BAC_P::Acetothermia,4
1,BAC_P,BAC_P::Acidobacteriota,40
1,BAC_P,BAC_P::Actinobacteriota,73
1,BAC_P,BAC_P::Armatimonadota,36
1,BAC_P,BAC_P::Bacteroidota,85
1,BAC_P,BAC_P::Bdellovibrionota,11
1,BAC_P,BAC_P::CK-2C2-2,5
1,BAC_P,BAC_P::Caldatribacteriota,67
1,BAC_P,BAC_P::Caldisericota,48
1,BAC_P,BAC_P::Campilobacterota,12
1,BAC_P,BAC_P::Chloroflexi,57
1,BAC_P,BAC_P::Cloacimonadota,80
1,BAC_P,BAC_P::Coprothermobacterota,5
1,BAC_P,BAC_P::Cyanobacteria,2
1,BAC_P,BAC_P::Deinococcota,3
1,BAC_P,BAC_P::Dependentiae,20
1,BAC_P,BAC_P::Desulfobacterota,62
1,BAC_P,BAC_P::Elusimicrobiota,5
1,BAC_P,BAC_P::Fermentibacterota,5
1,BAC_P,BAC_P::Fibrobacterota,8
1,BAC_P,BAC_P::Firmicutes,85
1,BAC_P,BAC_P::Fusobacteriota,11
1,BAC_P,BAC_P::Gemmatimonadota,10
1,BAC_P,BAC_P::Halanaerobiaeota,2
1,BAC_P,BAC_P::Hydrogenedentes,35
1,BAC_P,BAC_P::Hydrothermae,1
1,BAC_P,BAC_P::Latescibacterota,1
1,BAC_P,BAC_P::Marinimicrobia_(SAR406_clade),20
1,BAC_P,BAC_P::Myxococcota,9
1,BAC_P,BAC_P::NKB15,4
1,BAC_P,BAC_P::Nitrospirota,5
1,BAC_P,BAC_P::Patescibacteria,44
1,BAC_P,BAC_P::Planctomycetota,53
1,BAC_P,BAC_P::Proteobacteria,71
1,BAC_P,BAC_P::Spirochaetota,79
1,BAC_P,BAC_P::Sumerlaeota,9
1,BAC_P,BAC_P::Sva0485,2
1,BAC_P,BAC_P::Synergistota,83
1,BAC_P,BAC_P::TA06,4
1,BAC_P,BAC_P::Thermotogota,65
1,BAC_P,BAC_P::Verrucomicrobiota,78
1,BAC_P,BAC_P::WPS-2,1
1,BAC_P,BAC_P::WS1,30
1,BAC_P,BAC_P::Zixibacteria,2
1,BAC_P,BAC_P::unidentified,48
1,BAC_O,BAC_O::0319-6G20,8
1,BAC_O,BAC_O::1-20,3
1,BAC_O,BAC_O::113B434,3
1,BAC_O,BAC_O::Absconditabacteriales_(SR1),8
1,BAC_O,BAC_O::Acetobacterales,10
1,BAC_O,BAC_O::Acetothermiia,4
1,BAC_O,BAC_O::Acholeplasmatales,53
1,BAC_O,BAC_O::Acidaminococcales,15
1,BAC_O,BAC_O::Acidobacteriae,1
1,BAC_O,BAC_O::Actinomycetales,11
1,BAC_O,BAC_O::Aeromonadales,8
1,BAC_O,BAC_O::Alteromonadales,1
1,BAC_O,BAC_O::Aminicenantales,28
1,BAC_O,BAC_O::Anaerolineales,47
1,BAC_O,BAC_O::Ardenticatenales,1
1,BAC_O,BAC_O::Arenicellales,1
1,BAC_O,BAC_O::B55-F-B-G02,1
1,BAC_O,BAC_O::BRH-c20a,6
1,BAC_O,BAC_O::Babeliales,20
1,BAC_O,BAC_O::Bacillales,11
1,BAC_O,BAC_O::Bacteroidales,85
1,BAC_O,BAC_O::Bacteroidetes_VC2.1_Bac22,8
1,BAC_O,BAC_O::Bdellovibrionales,1
1,BAC_O,BAC_O::Bifidobacteriales,6
1,BAC_O,BAC_O::Blastocatellales,4
1,BAC_O,BAC_O::Brachyspirales,14
1,BAC_O,BAC_O::Burkholderiales,64
1,BAC_O,BAC_O::CK-2C2-2,5
1,BAC_O,BAC_O::Caldatribacteriales,51
1,BAC_O,BAC_O::Caldicoprobacterales,51
1,BAC_O,BAC_O::Caldilineales,16
1,BAC_O,BAC_O::Caldisericales,48
1,BAC_O,BAC_O::Campylobacterales,12
1,BAC_O,BAC_O::Candidatus_Peregrinibacteria,3
1,BAC_O,BAC_O::Cardiobacteriales,1
1,BAC_O,BAC_O::Caulobacterales,26
1,BAC_O,BAC_O::Cellvibrionales,17
1,BAC_O,BAC_O::Chitinophagales,45
1,BAC_O,BAC_O::Chlamydiales,3
1,BAC_O,BAC_O::Christensenellales,81
1,BAC_O,BAC_O::Chthonomonadales,7
1,BAC_O,BAC_O::Cloacimonadales,80
1,BAC_O,BAC_O::Clostridia,83
1,BAC_O,BAC_O::Clostridia_UCG-014,9
1,BAC_O,BAC_O::Clostridiales,24
1,BAC_O,BAC_O::Competibacterales,29
1,BAC_O,BAC_O::Coprothermobacterales,5
1,BAC_O,BAC_O::Coriobacteriales,18
1,BAC_O,BAC_O::Corynebacteriales,26
1,BAC_O,BAC_O::Cytophagales,11
1,BAC_O,BAC_O::D8A-2,70
1,BAC_O,BAC_O::DS-100,13
1,BAC_O,BAC_O::DTU014,82
1,BAC_O,BAC_O::Defluviicoccales,5
1,BAC_O,BAC_O::Deinococcales,1
1,BAC_O,BAC_O::Desulfitibacterales,6
1,BAC_O,BAC_O::Desulfitobacteriales,3
1,BAC_O,BAC_O::Desulfobulbales,22
1,BAC_O,BAC_O::Desulfotomaculales,53
1,BAC_O,BAC_O::Desulfovibrionales,30
1,BAC_O,BAC_O::Desulfuromonadia,8
1,BAC_O,BAC_O::Dethiobacterales,34
1,BAC_O,BAC_O::Diplorickettsiales,1
1,BAC_O,BAC_O::Dongiales,1
1,BAC_O,BAC_O::Endomicrobiales,5
1,BAC_O,BAC_O::Enterobacterales,13
1,BAC_O,BAC_O::Erysipelotrichales,21
1,BAC_O,BAC_O::Eubacteriales,23
1,BAC_O,BAC_O::Fermentibacterales,5
1,BAC_O,BAC_O::Fibrobacterales,8
1,BAC_O,BAC_O::Fimbriimonadales,10
1,BAC_O,BAC_O::Flavobacteriales,37
1,BAC_O,BAC_O::Frankiales,7
1,BAC_O,BAC_O::Fusobacteriales,11
1,BAC_O,BAC_O::Gaiellales,29
1,BAC_O,BAC_O::Gammaproteobacteria_Incertae_Sedis,4
1,BAC_O,BAC_O::Gemmatales,19
1,BAC_O,BAC_O::Gemmatimonadales,9
1,BAC_O,BAC_O::Geobacterales,1
1,BAC_O,BAC_O::HOC36,1
1,BAC_O,BAC_O::Halanaerobiales,2
1,BAC_O,BAC_O::Haliangiales,2
1,BAC_O,BAC_O::Holophagales,4
1,BAC_O,BAC_O::Hydrogenedentiales,35
1,BAC_O,BAC_O::Hydrothermae,1
1,BAC_O,BAC_O::IMCC26256,2
1,BAC_O,BAC_O::Ignavibacteriales,11
1,BAC_O,BAC_O::Incertae_Sedis,24
1,BAC_O,BAC_O::Isosphaerales,6
1,BAC_O,BAC_O::Izemoplasmatales,38
1,BAC_O,BAC_O::JG36-GS-52,2
1,BAC_O,BAC_O::JS1,38
1,BAC_O,BAC_O::Kapabacteriales,20
1,BAC_O,BAC_O::Kosmotogales,26
1,BAC_O,BAC_O::LD1-PA32,11
1,BAC_O,BAC_O::LD1-PB3,19
1,BAC_O,BAC_O::Lachnospirales,68
1,BAC_O,BAC_O::Lactobacillales,62
1,BAC_O,BAC_O::Leptospirales,34
1,BAC_O,BAC_O::Limnochordales,18
1,BAC_O,BAC_O::Limnochordia,6
1,BAC_O,BAC_O::M55-D21,7
1,BAC_O,BAC_O::MAT-CR-H4-C10,2
1,BAC_O,BAC_O::MBA03,43
1,BAC_O,BAC_O::MSBL9,9
1,BAC_O,BAC_O::MVP-15,27
1,BAC_O,BAC_O::Marinimicrobia_(SAR406_clade),20
1,BAC_O,BAC_O::Methylococcales,15
1,BAC_O,BAC_O::Micavibrionales,7
1,BAC_O,BAC_O::Micrococcales,46
1,BAC_O,BAC_O::Microtrichales,32
1,BAC_O,BAC_O::Monoglobales,7
1,BAC_O,BAC_O::Moorellales,1
1,BAC_O,BAC_O::Myxococcales,1
1,BAC_O,BAC_O::NKB15,4
1,BAC_O,BAC_O::Nitrosococcales,4
1,BAC_O,BAC_O::Nitrospirales,5
1,BAC_O,BAC_O::OLB14,6
1,BAC_O,BAC_O::OPB41,7
1,BAC_O,BAC_O::Obscuribacterales,2
1,BAC_O,BAC_O::Oligosphaerales,7
1,BAC_O,BAC_O::Omnitrophales,4
1,BAC_O,BAC_O::Oscillospirales,83
1,BAC_O,BAC_O::PLTA13,8
1,BAC_O,BAC_O::PeM15,17
1,BAC_O,BAC_O::Pedosphaerales,46
1,BAC_O,BAC_O::Peptococcales,19
1,BAC_O,BAC_O::Peptostreptococcales-Tissierellales,85
1,BAC_O,BAC_O::Petrotogales,63
1,BAC_O,BAC_O::Phycisphaerales,3
1,BAC_O,BAC_O::Pirellulales,33
1,BAC_O,BAC_O::Pla3_lineage,3
1,BAC_O,BAC_O::Planctomycetales,30
1,BAC_O,BAC_O::Propionibacteriales,3
1,BAC_O,BAC_O::Proteinivoracales,5
