Model,Multilabel MCC,Micro-AUPR
RandomForest,0.4765925577220582,0.3932643584366832
KNN,0.3291602850634573,0.3813031111585756
SVM,0.3678773722162693,0.32102198508006663
NNET,0.2524058474610678,0.22723379992766501
XGBoost,0.3862966761975192,0.3474228850355421
GLMNET,0.47064462815064223,0.3122025804157103
