SampleID,Round,Season,Site,No,HRT_d,T_C,Q_total_Tpy,substrate_type,substrate1_name,substrate1_Q,substrate1_pH,substrate1_ALK,substrate1_TS,substrate1_VS,substrate1_TSS,substrate1_VSS,substrate1_COD,substrate1_sCOD,substrate1_TC,substrate1_Protein,substrate1_Lipid,substrate1_TVFAs,substrate1_TVFAs_plus_EtOH,substrate1_EtOH,substrate1_HAc,substrate1_HPro,substrate1_i_HBut,substrate1_HBut,substrate1_i_HVal,substrate1_HVal,substrate1_i_HCap,substrate1_HCap,substrate2_name,substrate2_Q,substrate2_pH,substrate2_ALK,substrate2_TS,substrate2_VS,substrate2_TSS,substrate2_VSS,substrate2_COD,substrate2_sCOD,substrate2_TC,substrate2_Protein,substrate2_Lipid,substrate2_TVFAs,substrate2_TVFAs_plus_EtOH,substrate2_EtOH,substrate2_HAc,substrate2_HPro,substrate2_i_HBut,substrate2_HBut,substrate2_i_HVal,substrate2_HVal,substrate2_i_HCap,substrate2_HCap,substrate3_name,substrate3_Q,substrate3_pH,substrate3_ALK,substrate3_TS,substrate3_VS,substrate3_TSS,substrate3_VSS,substrate3_COD,substrate3_sCOD,substrate3_TC,substrate3_Protein,substrate3_Lipid,substrate3_TVFAs,substrate3_TVFAs_plus_EtOH,substrate3_EtOH,substrate3_HAc,substrate3_HPro,substrate3_i_HBut,substrate3_HBut,substrate3_i_HVal,substrate3_HVal,substrate3_i_HCap,substrate3_HCap,eff_pH,eff_ALK,eff_TS,eff_VS,eff_TSS,eff_VSS,eff_TC,eff_TKN,eff_TAN,eff_Lipid,eff_COD,eff_sCOD,eff_TVFAs,eff_TVFAs_plus_EtOH,eff_EtOH,eff_HAc,eff_HPro,eff_i_HBut,eff_HBut,eff_i_HVal,eff_HVal,eff_i_HCap,eff_HCap,eff_CO2,eff_CH4,eff_H2S,eff_O2
3-3,3,Winter,BSI,3,25,35,326166,MSC,MSC,326166,5.7,1.4717,25.27,21.18,27.7,8.1,81.4,4.8,28.98,34.77,3.92,0.04,0.04,0,0.04,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.51,4.8633,26.68,18.65,28.4,20,8.37,4.0972165,1.4177146,3.2,30.38,0.8,0.02,0.02,0,0.02,0,0,0,0,0,0,0,34.3,67.3,5.763,0
4-3,4,Spring,BSI,3,25,35,326166,MSC,MSC,326166,5.55,0.9925,37.73,31.35,36.5,31.7,54.34,3.2,15.34,16.11,4.05,0.4,0.4,0,0.22,0.1,0,0.05,0.01,0.02,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.32,4.4775,31.78,22.35,32.5,23.7,6.31,4.7123,1.72997,3.4,34.36,0.9,0,0,0,0,0,0,0,0,0,0,0,33.6,66.4,0.204,0
1-3b,1,Summer,BSIb,3b,25,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.26,,30.05,20.62,29.7,21.3,,,,,,,,,,,,,,,,,,31.97,67.14,7.321,0.1
1-4,1,Summer,BSO,4,18,37.3,559071,MSC+Fww,MSC+Fww,559071,4.44,,44.85,34.07,38.9,31.1,49.9,8.8,10.84,14.123,4.43,0.01,0.03,0.02,0.01,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.38,2.485,18.37,11.42,17.4,11.4,3.31,1.473705,0.5134197,1.03,21.63,0,0,0,0,0.01,0,0,0,0,0,0,0,34.3,61.2,0.297,0.1
2-4,2,Fall,BSO,4,18,37.3,559071,MSC+Fww,MSC+Fww,559071,5.19,0,28.88,21.55,24.5,19.4,33.78,4.9,6.32,10.155,2.33,0.72,1.17,0.45,0.56,0.13,0,0.04,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.34,0.5995,19.87,12.6,17.7,12.1,3.02,1.642732,0.6011025,1.85,17.85,0.3,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,36.1,62.78,0.103,0.2
3-4,3,Winter,BSO,4,18,37.3,559071,MSC+Fww,MSC+Fww,559071,4.88,0.458,27.03,22.12,24.1,19.7,40.88,9.3,15.19,19.4,4.83,1.52,2.26,0.74,1.4,0.1,0,0.02,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.07,2.86,18.13,12.1,17.9,12.4,4.48,2.59897565,0.631795,2,19.21,0.5,0.19,0.27,0.08,0.17,0.01,0,0,0,0,0,0,35.9,57,0.158,1.7
4-4,4,Spring,BSO,4,18,37.3,559071,MSC+Fww,MSC+Fww,559071,5.05,1.1275,39.75,31.65,19.3,15.9,58.95,13.4,20.41,17.91,4.05,0.37,0.37,0,0.31,0.05,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2,2.135,15.5,10.13,13.4,8.4,2.44,1.9654,0.6643,1.3,15.47,0.4,0,0,0,0,0,0,0,0,0,0,0,39.8,63.8,0.168,0
1-5,1,Summer,BSE,5,26,34.1,590951,1SC/2SC,1SC,376217,5.82,0.495,41.23,28.97,39.3,26.2,49.56,1.1,9.2,14.532,2.57,0.95,0.95,0,0.57,0.23,0.04,0.04,0.06,0.01,0,0,2SC,214734,6.47,0.3891,39.98,26.55,37.4,25.9,51.22,0,16.82,17.108,0.4,0.01,0.09,0.16,0.01,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,7.19,3.19,25.17,14.58,22.8,13.5,4.04,2.229044,0.5894818,1.38,26.99,10.9,0.01,0.01,0,0.01,0,0,0,0,0,0,0,34.3,60.7,0.006,0
2-5,2,Fall,BSE,5,26,34.1,590951,1SC/2SC,1SC,376217,6.13,0.145,32.37,20.97,29.3,19.6,32.82,0.8,5.56,9.343,1.83,0,0,0,0,0,0,0,0,0,0,0,2SC,214734,6.7,0.1515,48.45,33.23,36,25.7,48.65,0.3,9.79,17.632,2.42,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,7.49,0.7025,29.7,14.85,23.3,14.2,3.8,2.049453,0.7225907,2.2,22.63,0.4,0,0,0,0,0,0,0,0,0,0,0,30.37,65.06,0.001,0.4
3-5,3,Winter,BSE,5,26,34.1,590951,1SC/2SC,1SC,376217,5.9,0.495,44.22,31.68,30.7,23.9,41.19,0.9500000000000001,21.27,34.59,2.24,0,0,0,0,0,0,0,0,0,0,0,2SC,214734,6.36,0.296,32,23.73,23.7,15.3,81.22,0.4,25.77,13.26,3.3,0.01,0.01,0,0.01,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,7.34,4.3013,25.77,13.1,23.05,13.85,5.33,3.11062635,0.9888082,2.07,25.74,0.6,0.01,0.01,0,0.01,0,0,0,0,0,0,0,36.04,61.4,0.008,0.17
4-5,4,Spring,BSE,5,26,34.1,590951,1SC/2SC,1SC,376217,5.52,0.845,30.1,23,28.4,22.1,36.39,1.5,6.66,14.48,3.35,0.06,0.06,0,0.06,0,0,0,0,0,0,0,2SC,214734,6.48,0.72,44.2,33.83,46.7,36.3,50.11,0.2,10.3,23.94,2.65,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,7.34,3.3825,26.65,16.65,24.3,16.7,4.57,3.4473,1.3888,2.6,26.73,0.6,0,0,0,0,0,0,0,0,0,0,0,32.75,63.62,0.009,0.3
1-6,1,Summer,DGG,6,40,38,14645,FW+HM+Aww,FW+HM+Aww,14645,6.6,5.7925,27.22,19.23,23,18.4,44.32,15.1,6.11,8.848,2,0.38,0.38,0.01,0.19,0.07,0.02,0.04,0.02,0.02,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.83,11.135,24.22,14.55,20.4,14.3,4.94,3.676339,2.524842,2.03,53.01,3.3,0.03,0.03,0,0.03,0,0,0,0,0,0,0,20.25,65.25,1.184,0.1
2-6,2,Fall,DGG,6,40,38,14645,FW+HM+Aww,FW+HM+Aww,14645,6.74,0.797,22.67,16.05,19.3,15.6,28.87,13.3,5.91,6.239,2.2,4.98,5.21,0.23,2.34,1.15,0.21,0.65,0.24,0.21,0,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.16,2.1805,15.03,7.33,10.4,7.1,1.59,2.936845,2.144531,1.5,12.12,3.2,0.03,0.03,0,0.02,0.01,0,0,0,0,0,0,21.9,49.3,0.014,5.4
