SampleID,F00000,F00001,F00002,F00003,F00004,F00005,F00006,F00007,F00008,F00009,F00010,F00011,F00012,F00013,F00014,F00015,F00016,F00017,F00018,F00019,F00020,F00021,F00022,F00023,F00024,F00025,F00026,F00027,F00028,F00029,F00030,F00031,F00032,F00033,F00034,F00035,F00036,F00037,F00038,F00039,F00040,F00041,F00042,F00043,F00044,F00045,F00046,F00047,F00048,F00049,F00050,F00051,F00052,F00053,F00054,F00055,F00056,F00057,F00058,F00059,F00060,F00061,F00062,F00063,F00064,F00065,F00066,F00067,F00068,F00069,F00070,F00071,F00072,F00073,F00074,F00075,F00076,F00077,F00078,F00079,F00080,F00081,F00082,F00083,F00084,F00085,F00086,F00087,F00088,F00089,F00090,F00091,F00092,F00093,F00094,F00095,F00096,F00097,F00098,F00099,F00100,F00101,F00102,F00103,acid_accumulation,acid_base_balance,ammonia_toxicity,biogas_quality,buffer_capacity
2-11,0.0,0.0,0.0,0.0,0.0,255.0,0.0,280.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,526.0,0.0,2.0,0.0,0.0,0.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,9.0,17.0,0.0,0.0,0.0,0.0,0.0,284.0,0.0,236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1533.0,0.0,0.0,0.0,0.0,579.0,0.0,0.0,0.0,0.0,0.0,0.0,273.0,0.0,0.0,0.0,0.0,31.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
2-12,0.0,0.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,119.0,0.0,830.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,5901.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0,0,1,0,0
2-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,7.0,0.0,1559.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,636.0,0.0,569.0,0.0,0.0,809.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,317.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0,0,0,0,0
2-14,0.0,0.0,0.0,0.0,213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,457.0,0.0,0.0,0.0,0.0,0.0,0.0,4992.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,875.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,245.0,0.0,0,0,1,0,0
2-15,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,34.0,0.0,92.0,0.0,2.0,0.0,0.0,0.0,790.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,66.0,344.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,92.0,70.0,0.0,0.0,0.0,135.0,0.0,106.0,0.0,41.0,0.0,0.0,0.0,37.0,0.0,0.0,59.0,44.0,0.0,0.0,146.0,0.0,15.0,0.0,0.0,39.0,165.0,0.0,0.0,1349.0,0.0,1419.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,164.0,0.0,0.0,0,0,0,0,0
2-16,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.0,0.0,1.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,14.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,1203.0,0.0,0.0,503.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,0.0,0.0,0,0,0,0,0
2-17,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,20.0,0.0,0.0,0.0,0.0,13.0,0.0,17.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,18.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,1394.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,1999.0,502.0,0.0,1614.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,32.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,28.0,0.0,0.0,0,0,0,0,0
2-18,0.0,0.0,0.0,0.0,0.0,315.0,0.0,0.0,20.0,0.0,78.0,0.0,21.0,0.0,0.0,0.0,126.0,0.0,0.0,0.0,0.0,0.0,105.0,0.0,33.0,0.0,0.0,0.0,28.0,0.0,0.0,24.0,0.0,0.0,0.0,35.0,0.0,455.0,96.0,0.0,0.0,0.0,558.0,0.0,60.0,0.0,302.0,0.0,0.0,0.0,189.0,0.0,0.0,717.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,2277.0,0.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,38.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,223.0,35.0,0.0,0,0,0,0,0
2-19,0.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1328.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,894.0,0.0,79.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,249.0,0.0,0,1,0,0,0
2-2,0.0,2607.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,67.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,464.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,50.0,0.0,971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2510.0,254.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,0.0,0.0,0.0,0.0,0,0,0,0,0
2-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,654.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,3537.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.0,0.0,0.0,96.0,134.0,412.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.0,984.0,94.0,0.0,22.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0,1,1,0,0
2-21,0.0,0.0,2.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0,167.0,0.0,20.0,0.0,0.0,2.0,421.0,0.0,8.0,0.0,36.0,0.0,117.0,0.0,16.0,0.0,0.0,0.0,6.0,0.0,0.0,19.0,0.0,0.0,23.0,0.0,0.0,146.0,131.0,0.0,0.0,0.0,0.0,2443.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,12.0,0.0,0.0,81.0,3280.0,0.0,2423.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,149.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,86.0,0.0,0.0,69.0,0.0,17.0,0,0,0,0,0
2-22,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2876.0,136.0,0.0,0.0,0.0,0.0,0.0,24.0,25.0,0.0,236.0,0.0,3321.0,0.0,0.0,758.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
2-23,0.0,288.0,1.0,0.0,0.0,780.0,0.0,2707.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,531.0,0.0,5.0,0.0,0.0,0.0,138.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432.0,0.0,0.0,0.0,0.0,0.0,0.0,1330.0,0.0,114.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,1445.0,0.0,79.0,0.0,282.0,2497.0,0.0,0.0,374.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,357.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,99.0,182.0,15.0,0.0,0,0,0,0,0
2-24,0.0,0.0,0.0,1225.0,0.0,217.0,0.0,0.0,28.0,0.0,141.0,0.0,212.0,0.0,0.0,0.0,353.0,0.0,4.0,0.0,0.0,0.0,84.0,0.0,30.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,109.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,2878.0,0.0,135.0,9.0,0.0,0.0,0.0,0.0,0.0,45.0,47.0,0.0,1981.0,0.0,0.0,0.0,42.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349.0,21.0,0.0,0,0,0,0,0
2-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,0.0,24.0,3602.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,801.0,0.0,320.0,152.0,0.0,1233.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0,1,0,0,0
2-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,340.0,412.0,19.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,85.0,38.0,0.0,897.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,2137.0,0.0,0.0,0.0,74.0,707.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,444.0,0.0,96.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,68.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,191.0,0.0,0.0,0,0,0,0,0
2-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,1211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,67.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.0,0.0,0,1,1,0,0
2-28,0.0,45.0,521.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,443.0,0.0,21.0,0.0,0.0,0.0,16.0,0.0,25.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,27.0,0.0,0.0,867.0,0.0,41.0,0.0,0.0,0.0,0.0,35.0,0.0,107.0,0.0,391.0,0.0,0.0,15.0,29.0,0.0,3179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.0,6427.0,576.0,0.0,2220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,133.0,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,56.0,0.0,0.0,0,1,0,0,0
2-29,0.0,807.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,27.0,0.0,3.0,30.0,264.0,0.0,0.0,6964.0,0.0,261.0,0.0,0.0,46.0,0.0,199.0,0.0,0.0,0.0,0.0,23.0,257.0,550.0,0.0,0.0,0.0,61.0,31.0,268.0,149.0,24.0,0.0,101.0,140.0,0.0,0.0,4993.0,0.0,130.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458.0,5868.0,0.0,5686.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,435.0,4284.0,334.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,282.0,0.0,0.0,0.0,0.0,238.0,0.0,0.0,0.0,237.0,558.0,0.0,206.0,89.0,0.0,0,1,0,0,0
2-3,0.0,2460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,76.0,0.0,0.0,877.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,0.0,0.0,468.0,0.0,2599.0,6.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,19.0,1169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,0.0,0.0,0,0,0,0,0
2-30,0.0,0.0,0.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,278.0,0.0,0.0,1704.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,522.0,0.0,0.0,0.0,134.0,21.0,0.0,0.0,0.0,0.0,821.0,0.0,0.0,502.0,0.0,2837.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.0,0.0,0.0,0,0,0,0,0
2-31,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1791.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354.0,0.0,0.0,19.0,0.0,77.0,0.0,2219.0,0.0,0.0,84.0,0.0,229.0,0.0,0.0,0.0,561.0,116.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.0,721.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,1,0,1,0,1
2-32,0.0,0.0,0.0,0.0,0.0,233.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,80.0,18.0,0.0,0.0,0.0,11.0,348.0,0.0,0.0,483.0,0.0,74.0,47.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,43.0,39.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,1499.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,10.0,300.0,0.0,0.0,1972.0,145.0,1531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1052.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,273.0,19.0,0.0,0,0,0,0,0
2-32',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,46.0,0.0,0.0,84.0,90.0,0.0,0.0,243.0,0.0,0.0,0.0,74.0,129.0,0.0,0.0,0.0,0.0,0.0,247.0,0.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2127.0,81.0,1599.0,0.0,0.0,0.0,0.0,1247.0,520.0,0.0,0.0,0.0,0.0,741.0,0.0,1434.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,65.0,0.0,77.0,0.0,173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0,1,0,1,0
2-33,685.0,1047.0,0.0,0.0,0.0,0.0,0.0,0.0,614.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,203.0,0.0,38.0,0.0,0.0,0.0,152.0,0.0,512.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,15.0,852.0,0.0,0.0,0.0,0.0,233.0,47.0,210.0,1356.0,2016.0,0.0,0.0,0.0,0.0,0.0,105.0,0.0,0.0,0.0,911.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1715.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1369.0,978.0,0.0,1298.0,0.0,0.0,0.0,159.0,3.0,405.0,0.0,0.0,16.0,0.0,0.0,0.0,1291.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
2-34,0.0,89.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,476.0,0.0,1447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1614.0,54.0,1885.0,0.0,0.0,584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,34.0,0.0,14.0,0.0,0.0,0,0,0,0,0
2-4,0.0,56.0,0.0,0.0,0.0,964.0,0.0,0.0,0.0,0.0,25.0,0.0,82.0,0.0,0.0,0.0,425.0,0.0,2.0,0.0,0.0,0.0,363.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,253.0,0.0,0.0,3.0,0.0,0.0,0.0,144.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,296.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,31.0,0.0,0.0,0.0,3675.0,366.0,1634.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,0.0,0.0,0.0,0.0,8.0,28.0,0.0,0.0,10.0,0.0,0.0,137.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,88.0,45.0,0.0,259.0,0.0,0.0,0,0,0,0,0
2-5,55.0,495.0,0.0,118.0,0.0,106.0,0.0,0.0,0.0,0.0,121.0,118.0,19.0,0.0,0.0,0.0,569.0,0.0,15.0,0.0,0.0,0.0,194.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,288.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,160.0,0.0,1750.0,0.0,0.0,168.0,0.0,0.0,73.0,139.0,0.0,0.0,148.0,36.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,15.0,0.0,0.0,0.0,2534.0,0.0,1596.0,0.0,0.0,193.0,0.0,0.0,0.0,0.0,0.0,0.0,267.0,0.0,0.0,0.0,1.0,24.0,175.0,0.0,108.0,15.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,82.0,85.0,43.0,148.0,0.0,0.0,0,0,0,0,0
2-6,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,796.0,34.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,43.0,29.0,27.0,41.0,1664.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,20.0,0.0,0.0,0.0,2192.0,660.0,0.0,1384.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,18.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,152.0,0.0,0.0,0,1,0,1,0
2-7,219.0,0.0,0.0,541.0,0.0,313.0,0.0,0.0,0.0,0.0,66.0,0.0,30.0,152.0,0.0,0.0,952.0,0.0,57.0,0.0,0.0,0.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,119.0,0.0,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,236.0,0.0,703.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,219.0,0.0,0.0,451.0,0.0,483.0,0.0,87.0,0.0,351.0,0.0,80.0,0.0,0.0,597.0,348.0,0.0,0.0,19.0,17.0,10.0,386.0,0.0,62.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,115.0,0.0,33.0,0,0,0,0,0
