SampleID,F00000,F00001,F00002,F00003,F00004,F00005,F00006,F00007,F00008,F00009,F00010,F00011,F00012,F00013,F00014,F00015,F00016,F00017,F00018,F00019,F00020,F00021,F00022,F00023,F00024,F00025,F00026,F00027,F00028,F00029,F00030,F00031,F00032,F00033,F00034,F00035,F00036,F00037,F00038,F00039,F00040,F00041,F00042,F00043,F00044,F00045,F00046,F00047,F00048,F00049,F00050,F00051,F00052,F00053,F00054,F00055,F00056,F00057,F00058,F00059,F00060,F00061,F00062,F00063,F00064,F00065,F00066,F00067,F00068,F00069,F00070,F00071,F00072,F00073,F00074,F00075,F00076,F00077,F00078,F00079,F00080,F00081,F00082,F00083,F00084,F00085,F00086,F00087,F00088,F00089,F00090,F00091,F00092,F00093,F00094,F00095,F00096,F00097,F00098,F00099,F00100,F00101,F00102,F00103,acid_accumulation,acid_base_balance,ammonia_toxicity,biogas_quality,buffer_capacity
1-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,51.0,0.0,0.0,0.0,681.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1972.0,0.0,19.0,0.0,18.0,363.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,123.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,0.0,0.0,0.0,0.0,0.0,46.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,11.0,0.0,0,0,0,0,0
1-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,37.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,1546.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,37.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0,0,1,0,0
1-28,0.0,7.0,81.0,0.0,0.0,0.0,0.0,0.0,28.0,205.0,0.0,0.0,0.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,43.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,2502.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,85.0,2734.0,30.0,65.0,0.0,0.0,0.0,0.0,43.0,19.0,0.0,0.0,135.0,3891.0,658.0,0.0,454.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,58.0,0.0,0.0,101.0,818.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,73.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,0.0,40.0,0.0,0.0,0,1,1,0,0
1-29,0.0,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,85.0,0.0,6.0,3107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,15.0,0.0,0.0,0.0,0.0,40.0,0.0,49.0,0.0,115.0,0.0,0.0,79.0,53.0,3.0,0.0,1525.0,29.0,38.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,1368.0,0.0,1978.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,41.0,88.0,212.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,62.0,3.0,0.0,0,0,0,0,0
1-3,0.0,8828.0,21.0,0.0,0.0,0.0,229.0,0.0,116.0,0.0,22.0,0.0,64.0,0.0,0.0,25.0,62.0,0.0,0.0,68.0,45.0,0.0,102.0,0.0,144.0,1650.0,111.0,99.0,29.0,0.0,0.0,34.0,0.0,0.0,1.0,186.0,19.0,409.0,52.0,0.0,0.0,0.0,0.0,0.0,390.0,0.0,232.0,0.0,0.0,0.0,208.0,0.0,0.0,3057.0,201.0,352.0,24.0,80.0,0.0,0.0,0.0,0.0,2.0,498.0,85.0,1156.0,1960.0,0.0,7486.0,0.0,0.0,0.0,11.0,0.0,0.0,253.0,210.0,0.0,1276.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,253.0,119.0,0.0,92.0,0.0,2.0,0.0,54.0,145.0,231.0,61.0,21.0,0.0,0,0,0,0,0
1-30,0.0,0.0,0.0,0.0,0.0,389.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,11.0,0.0,0.0,291.0,0.0,2.0,0.0,0.0,13.0,468.0,0.0,16.0,3797.0,0.0,0.0,8.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,159.0,0.0,0.0,0.0,14.0,92.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,36.0,0.0,0.0,195.0,0.0,23.0,0.0,0.0,0.0,1362.0,0.0,0.0,276.0,165.0,3211.0,0.0,0.0,141.0,24.0,0.0,263.0,35.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,73.0,2.0,0.0,0.0,680.0,39.0,58.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,12.0,0,0,0,0,0
1-31,0.0,9.0,0.0,0.0,49.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,13763.0,0.0,0.0,5.0,0.0,18.0,0.0,1.0,0.0,0.0,72.0,48.0,94.0,0.0,0.0,0.0,609.0,0.0,0.0,83.0,0.0,70.0,1484.0,0.0,0.0,0.0,11.0,0.0,0.0,13.0,149.0,0.0,7.0,0.0,427.0,0.0,0.0,126.0,44.0,310.0,86.0,1739.0,0.0,2.0,0.0,0.0,12013.0,0.0,0.0,87.0,0.0,204.0,116.0,0.0,49.0,0.0,0.0,0.0,0.0,27.0,0.0,97.0,98.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,208.0,43.0,0.0,42.0,0.0,0.0,107.0,59.0,0.0,0.0,48.0,1.0,0.0,0.0,146.0,0.0,29.0,153.0,0.0,0,0,1,0,0
1-32,61.0,10.0,0.0,0.0,0.0,1092.0,165.0,0.0,43.0,0.0,492.0,56.0,211.0,22.0,37.0,2.0,1147.0,2.0,13.0,34.0,13.0,15.0,2067.0,0.0,92.0,3982.0,0.0,197.0,264.0,35.0,0.0,39.0,0.0,0.0,9.0,80.0,29.0,68.0,147.0,124.0,9.0,9.0,174.0,51.0,159.0,0.0,449.0,0.0,0.0,7.0,149.0,6.0,0.0,6224.0,105.0,83.0,0.0,177.0,0.0,4.0,0.0,0.0,173.0,807.0,0.0,42.0,5240.0,559.0,5726.0,26.0,7.0,153.0,70.0,0.0,0.0,131.0,122.0,0.0,2771.0,0.0,0.0,0.0,5.0,0.0,20.0,0.0,57.0,4.0,18.0,0.0,27.0,105.0,109.0,78.0,166.0,0.0,2.0,0.0,102.0,32.0,107.0,889.0,13.0,14.0,0,0,0,0,0
1-33,2679.0,518.0,0.0,700.0,0.0,230.0,0.0,0.0,60.0,0.0,68.0,0.0,0.0,26.0,0.0,0.0,351.0,0.0,13.0,0.0,16.0,0.0,261.0,73.0,119.0,0.0,31.0,0.0,4.0,0.0,0.0,64.0,0.0,0.0,30.0,137.0,11.0,52.0,169.0,0.0,7254.0,131.0,63.0,5522.0,243.0,0.0,73.0,0.0,0.0,0.0,388.0,4.0,0.0,39.0,142.0,17.0,48.0,0.0,5.0,0.0,41.0,0.0,8.0,358.0,0.0,40.0,6471.0,132.0,47.0,37.0,0.0,0.0,34.0,0.0,0.0,182.0,152.0,140.0,2784.0,0.0,0.0,51.0,317.0,10.0,437.0,0.0,0.0,10.0,14.0,0.0,0.0,159.0,35.0,18.0,0.0,0.0,0.0,2.0,100.0,0.0,1.0,103.0,2.0,12.0,0,0,0,0,0
1-34,0.0,1867.0,67.0,0.0,116.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,52.0,0.0,47.0,89.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,54.0,95.0,0.0,171.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,16.0,0.0,74.0,0.0,0.0,0.0,4.0,3332.0,37.0,3729.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,1885.0,78.0,2565.0,6308.0,0.0,2738.0,0.0,0.0,0.0,0.0,2.0,0.0,58.0,63.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,16.0,0.0,0.0,41.0,0.0,0.0,64.0,77.0,0.0,0.0,146.0,35.0,0.0,0.0,13.0,0.0,0,0,0,0,0
1-3b,0.0,6900.0,0.0,0.0,0.0,0.0,172.0,0.0,56.0,0.0,6.0,0.0,21.0,0.0,0.0,0.0,33.0,0.0,13.0,30.0,75.0,0.0,223.0,0.0,66.0,2755.0,36.0,116.0,18.0,0.0,0.0,43.0,0.0,0.0,0.0,89.0,20.0,303.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,316.0,0.0,0.0,0.0,179.0,0.0,0.0,4101.0,101.0,0.0,4.0,129.0,32.0,0.0,0.0,0.0,4.0,366.0,0.0,57.0,1323.0,0.0,8747.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,103.0,144.0,2692.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,95.0,68.0,11.0,89.0,0.0,0.0,25.0,0.0,108.0,220.0,68.0,14.0,0.0,0,0,0,0,0
1-4,0.0,42.0,0.0,0.0,0.0,557.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,36.0,0.0,2.0,806.0,0.0,28.0,12.0,10.0,0.0,327.0,0.0,14.0,0.0,28.0,0.0,3.0,0.0,0.0,121.0,0.0,0.0,5.0,0.0,0.0,77.0,127.0,0.0,0.0,0.0,0.0,63.0,68.0,0.0,232.0,0.0,0.0,0.0,38.0,0.0,0.0,16.0,16.0,0.0,0.0,16.0,0.0,8.0,0.0,0.0,12.0,0.0,0.0,33.0,3329.0,337.0,2124.0,0.0,0.0,0.0,68.0,0.0,0.0,25.0,34.0,0.0,389.0,0.0,0.0,0.0,7.0,5.0,170.0,0.0,0.0,3.0,0.0,0.0,38.0,34.0,40.0,62.0,0.0,0.0,2.0,2.0,111.0,67.0,0.0,196.0,0.0,0.0,0,0,0,0,0
1-5,87.0,1258.0,0.0,140.0,0.0,382.0,174.0,0.0,72.0,0.0,349.0,235.0,500.0,73.0,0.0,0.0,1630.0,0.0,47.0,19.0,24.0,0.0,640.0,84.0,69.0,0.0,0.0,0.0,62.0,32.0,0.0,359.0,0.0,0.0,43.0,82.0,32.0,138.0,163.0,0.0,0.0,12.0,370.0,4323.0,209.0,0.0,265.0,0.0,0.0,388.0,246.0,0.0,0.0,591.0,94.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,184.0,0.0,36.0,7928.0,115.0,9653.0,21.0,12.0,43.0,114.0,0.0,236.0,135.0,148.0,0.0,388.0,0.0,0.0,39.0,8.0,0.0,414.0,0.0,155.0,0.0,33.0,0.0,0.0,106.0,70.0,812.0,0.0,0.0,6.0,4.0,134.0,298.0,157.0,790.0,1.0,0.0,0,0,0,0,0
1-6,18.0,15.0,61.0,0.0,0.0,0.0,142.0,0.0,75.0,77.0,0.0,0.0,0.0,20.0,0.0,59.0,141.0,2.0,4.0,19.0,0.0,0.0,97.0,0.0,70.0,0.0,33.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,2.0,70.0,9017.0,60.0,36.0,0.0,0.0,0.0,0.0,21.0,159.0,0.0,0.0,0.0,78.0,38.0,56.0,8.0,238.0,2224.0,92.0,0.0,0.0,0.0,50.0,2.0,92.0,36.0,0.0,0.0,0.0,2478.0,1481.0,0.0,5630.0,0.0,0.0,0.0,42.0,243.0,0.0,123.0,123.0,44.0,0.0,62.0,760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,4.0,116.0,80.0,0.0,0.0,0.0,2.0,0.0,32.0,69.0,126.0,56.0,0.0,13.0,0,0,1,0,0
1-7,336.0,3.0,0.0,2384.0,0.0,0.0,92.0,0.0,99.0,0.0,92.0,82.0,0.0,714.0,0.0,0.0,1031.0,0.0,69.0,0.0,36.0,0.0,1282.0,125.0,128.0,0.0,0.0,0.0,0.0,260.0,0.0,151.0,0.0,0.0,400.0,151.0,40.0,127.0,245.0,0.0,9.0,190.0,0.0,2524.0,300.0,0.0,0.0,0.0,0.0,717.0,119.0,0.0,0.0,0.0,168.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,165.0,6343.0,0.0,0.0,8398.0,0.0,4219.0,19.0,19.0,124.0,4138.0,0.0,1024.0,213.0,184.0,471.0,884.0,0.0,0.0,34.0,12.0,17.0,161.0,0.0,41.0,4.0,18.0,0.0,4.0,210.0,70.0,106.0,0.0,0.0,2.0,0.0,182.0,0.0,72.0,286.0,0.0,19.0,0,0,0,0,0
1-8,326.0,22.0,1.0,1641.0,0.0,2598.0,96.0,0.0,66.0,0.0,236.0,45.0,88.0,214.0,0.0,0.0,5629.0,0.0,60.0,0.0,12.0,0.0,1773.0,111.0,81.0,0.0,0.0,0.0,35.0,41.0,0.0,69.0,0.0,0.0,212.0,110.0,18.0,54.0,261.0,0.0,30.0,123.0,370.0,8431.0,239.0,0.0,0.0,0.0,0.0,15.0,239.0,0.0,0.0,184.0,95.0,19.0,0.0,0.0,0.0,4.0,0.0,0.0,108.0,242.0,0.0,26.0,8115.0,1134.0,4568.0,41.0,20.0,0.0,426.0,0.0,0.0,156.0,183.0,85.0,649.0,92.0,0.0,35.0,16.0,12.0,382.0,0.0,138.0,37.0,21.0,0.0,27.0,146.0,54.0,102.0,0.0,0.0,4.0,0.0,180.0,45.0,101.0,1074.0,0.0,22.0,0,0,0,0,0
1-9,0.0,0.0,0.0,0.0,171.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,7676.0,0.0,0.0,23.0,0.0,64.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,146.0,0.0,0.0,0.0,331.0,0.0,0.0,0.0,2.0,19.0,69.0,4726.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,51.0,0.0,33.0,0.0,0.0,0.0,0.0,2.0,0.0,112.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.0,32.0,0.0,0.0,0.0,0.0,99.0,181.0,0.0,0.0,147.0,0.0,0.0,0.0,0.0,0.0,28.0,497.0,0.0,0,1,1,0,0
2-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,124.0,0.0,0.0,0.0,0.0,0.0,23.0,96.0,0.0,0.0,0.0,0.0,482.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0,1,1,0,0
2-10,0.0,0.0,0.0,0.0,0.0,501.0,75.0,0.0,0.0,0.0,52.0,32.0,42.0,76.0,0.0,0.0,495.0,0.0,14.0,0.0,0.0,0.0,296.0,0.0,21.0,0.0,0.0,0.0,0.0,30.0,0.0,51.0,0.0,0.0,9.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0,27.0,0.0,0.0,36.0,0.0,0.0,0.0,1730.0,112.0,2940.0,0.0,17.0,261.0,246.0,0.0,522.0,31.0,0.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,203.0,0.0,24.0,39.0,0.0,0.0,3.0,0.0,0.0,0.0,99.0,75.0,0.0,0.0,0,0,0,0,1
