0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103
F00008,F00091,F00054,F00075,F00024,F00076,F00044,F00035,F00003,F00100,F00068,F00006,F00045,F00041,F00083,F00019,F00050,F00103,F00040,F00018,F00048,F00022,F00009,F00064,F00061,F00084,F00077,F00099,F00014,F00060,F00058,F00026,F00086,F00017,F00096,F00031,F00079,F00001,F00081,F00097,F00074,F00047,F00002,F00015,F00065,F00063,F00032,F00007,F00038,F00066,F00023,F00098,F00069,F00051,F00010,F00062,F00005,F00042,F00067,F00016,F00070,F00089,F00028,F00053,F00094,F00027,F00093,F00012,F00101,F00072,F00013,F00029,F00059,F00087,F00090,F00049,F00037,F00020,F00011,F00043,F00021,F00034,F00056,F00078,F00057,F00039,F00025,F00071,F00000,F00082,F00046,F00030,F00052,F00036,F00073,F00033,F00092,F00088,F00102,F00080,F00004,F00095,F00055,F00085
F00008,F00091,F00054,F00075,F00024,F00076,F00044,F00035,F00003,F00100,F00068,F00006,F00045,F00040,F00041,F00083,F00019,F00050,F00103,F00018,F00048,F00022,F00084,F00077,F00009,F00064,F00061,F00099,F00014,F00060,F00058,F00026,F00086,F00017,F00096,F00031,F00079,F00051,F00001,F00074,F00047,F00002,F00015,F00065,F00063,F00032,F00007,F00038,F00066,F00023,F00098,F00069,F00081,F00097,F00010,F00062,F00005,F00042,F00067,F00016,F00070,F00089,F00028,F00053,F00094,F00027,F00093,F00012,F00101,F00072,F00013,F00029,F00059,F00087,F00090,F00049,F00037,F00020,F00011,F00043,F00021,F00034,F00078,F00057,F00039,F00025,F00071,F00000,F00082,F00046,F00030,F00052,F00036,F00073,F00033,F00092,F00088,F00102,F00080,F00004,F00095,F00055,F00085,F00056
F00008,F00091,F00054,F00075,F00024,F00076,F00044,F00035,F00003,F00100,F00068,F00006,F00045,F00040,F00041,F00083,F00019,F00050,F00103,F00018,F00048,F00022,F00009,F00064,F00061,F00084,F00077,F00099,F00014,F00060,F00058,F00026,F00086,F00017,F00096,F00031,F00079,F00001,F00081,F00097,F00074,F00047,F00002,F00015,F00065,F00063,F00032,F00007,F00038,F00066,F00023,F00098,F00069,F00051,F00010,F00062,F00005,F00042,F00067,F00016,F00070,F00089,F00028,F00053,F00094,F00027,F00093,F00012,F00101,F00072,F00013,F00029,F00059,F00087,F00090,F00049,F00037,F00020,F00011,F00043,F00021,F00034,F00056,F00078,F00057,F00039,F00025,F00071,F00000,F00082,F00046,F00030,F00052,F00036,F00073,F00033,F00092,F00088,F00102,F00080,F00004,F00095,F00055,F00085
F00008,F00091,F00054,F00075,F00024,F00076,F00044,F00035,F00003,F00100,F00068,F00006,F00045,F00040,F00041,F00083,F00019,F00050,F00103,F00018,F00048,F00022,F00009,F00064,F00061,F00084,F00077,F00099,F00014,F00060,F00058,F00026,F00086,F00017,F00096,F00031,F00079,F00001,F00081,F00097,F00074,F00047,F00002,F00015,F00065,F00063,F00032,F00007,F00038,F00066,F00023,F00098,F00069,F00051,F00010,F00062,F00005,F00042,F00067,F00016,F00070,F00089,F00028,F00053,F00094,F00027,F00093,F00012,F00101,F00072,F00013,F00029,F00059,F00087,F00090,F00049,F00037,F00020,F00011,F00043,F00021,F00034,F00056,F00078,F00057,F00039,F00025,F00071,F00000,F00082,F00046,F00030,F00052,F00036,F00073,F00033,F00092,F00088,F00102,F00080,F00004,F00095,F00055,F00085
