target,positives,samples,MCC,AUPR,ROC-AUC,both_classes_present,Model,scope
warning_acid_base_balance,15,109,0.3769669767661177,0.34816634255447615,0.74822695035461,True,RandomForest,CV_OOF_optimized
warning_buffer_capacity,8,109,0.1591220414388172,0.08035582463231702,0.546410891089109,True,RandomForest,CV_OOF_optimized
warning_acid_accumulation,3,109,0.0,0.015214442966736547,0.17138364779874213,True,RandomForest,CV_OOF_optimized
warning_ammonia_toxicity,22,109,0.6796652080376745,0.5241485394831099,0.9022988505747127,True,RandomForest,CV_OOF_optimized
warning_biogas_quality,5,109,0.05396771510681461,0.04035430548045227,0.4365384615384615,True,RandomForest,CV_OOF_optimized
warning_acid_base_balance,15,109,0.32268771591075857,0.22853027628865633,0.7202127659574469,True,KNN,CV_OOF_optimized
warning_buffer_capacity,8,109,0.09181440813807855,0.07938832611281005,0.5346534653465347,True,KNN,CV_OOF_optimized
warning_acid_accumulation,3,109,-0.03283545516515592,0.013761467889908258,0.42452830188679247,True,KNN,CV_OOF_optimized
warning_ammonia_toxicity,22,109,0.6111981825813985,0.5240070134213136,0.872257053291536,True,KNN,CV_OOF_optimized
warning_biogas_quality,5,109,0.17796484599023626,0.06558383906711815,0.5817307692307692,True,KNN,CV_OOF_optimized
warning_acid_base_balance,15,109,0.3981747291702386,0.24164146656504992,0.5723404255319149,True,SVM,CV_OOF_optimized
warning_buffer_capacity,8,109,0.07920792079207921,0.06197043121137436,0.4368811881188118,True,SVM,CV_OOF_optimized
warning_acid_accumulation,3,109,0.023000157168277646,0.014995284893442562,0.1132075471698113,True,SVM,CV_OOF_optimized
warning_ammonia_toxicity,22,109,0.4137341543627928,0.47252097867024223,0.8134796238244515,True,SVM,CV_OOF_optimized
warning_biogas_quality,5,109,0.0,0.02591433573179986,0.1730769230769231,True,SVM,CV_OOF_optimized
warning_acid_base_balance,15,109,0.020354001729354997,0.12192546376586628,0.40425531914893614,True,NNET,CV_OOF_optimized
warning_buffer_capacity,8,109,-0.04252599605436731,0.05501409177739758,0.38242574257425743,True,NNET,CV_OOF_optimized
warning_acid_accumulation,3,109,-0.02830188679245283,0.02162656954516344,0.40566037735849053,True,NNET,CV_OOF_optimized
warning_ammonia_toxicity,22,109,0.5783345857646617,0.4893491010918821,0.8746081504702194,True,NNET,CV_OOF_optimized
warning_biogas_quality,5,109,0.49920716047176206,0.34639725632402996,0.5961538461538463,True,NNET,CV_OOF_optimized
warning_acid_base_balance,15,109,0.34695812313552543,0.36700496385555886,0.6666666666666667,True,XGBoost,CV_OOF_optimized
warning_buffer_capacity,8,109,0.07920792079207921,0.06744597585817154,0.48886138613861385,True,XGBoost,CV_OOF_optimized
warning_acid_accumulation,3,109,0.03283545516515592,0.016414141414141416,0.22641509433962262,True,XGBoost,CV_OOF_optimized
warning_ammonia_toxicity,22,109,0.7174980421166537,0.5565666732659051,0.912748171368861,True,XGBoost,CV_OOF_optimized
warning_biogas_quality,5,109,0.10825578583886881,0.04706099610305883,0.5173076923076924,True,XGBoost,CV_OOF_optimized
warning_acid_base_balance,15,109,0.20047860320454688,0.17144130487113055,0.5432624113475178,True,GLMNET,CV_OOF_optimized
warning_buffer_capacity,8,109,0.0,0.04808584387032243,0.30198019801980197,True,GLMNET,CV_OOF_optimized
warning_acid_accumulation,3,109,0.0576230500670717,0.022570943934683386,0.39937106918238996,True,GLMNET,CV_OOF_optimized
warning_ammonia_toxicity,22,109,0.682239601658804,0.5387901088001481,0.9075235109717869,True,GLMNET,CV_OOF_optimized
warning_biogas_quality,5,109,0.623526299949707,0.429770875229434,0.6153846153846154,True,GLMNET,CV_OOF_optimized
warning_acid_base_balance,5,29,0.6682951125722248,0.7514285714285713,0.9583333333333333,True,RandomForest,test
warning_buffer_capacity,1,29,0.15877683720748895,0.16666666666666666,0.9285714285714286,True,RandomForest,test
warning_acid_accumulation,1,29,0.0,0.25,0.9642857142857143,True,RandomForest,test
warning_ammonia_toxicity,4,29,0.8763560920082657,0.7666666666666666,0.97,True,RandomForest,test
warning_biogas_quality,2,29,0.18257418583505536,0.19545454545454546,0.8148148148148148,True,RandomForest,test
warning_acid_base_balance,5,29,0.5166666666666667,0.6584126984126983,0.9,True,KNN,test
warning_buffer_capacity,1,29,-0.03571428571428571,0.017241379310344827,0.4285714285714286,True,KNN,test
warning_acid_accumulation,1,29,0.0,0.5172413793103449,0.5,True,KNN,test
warning_ammonia_toxicity,4,29,0.47543554877497435,0.6729166666666666,0.9049999999999999,True,KNN,test
warning_biogas_quality,2,29,-0.09245003270420485,0.034482758620689655,0.2777777777777778,True,KNN,test
warning_acid_base_balance,5,29,0.0,0.2689650179905052,0.5416666666666667,True,SVM,test
warning_buffer_capacity,1,29,-0.3700064349504774,0.020833333333333332,0.1785714285714286,True,SVM,test
warning_acid_accumulation,1,29,0.0,0.017857142857142856,0.0357142857142857,True,SVM,test
warning_ammonia_toxicity,4,29,0.10886621079036346,0.5014880952380951,0.9299999999999999,True,SVM,test
