Model,Macro MCC,Macro AUPR,Macro ROC-AUC
RandomForest,0.2539443882698848,0.20164789102341837,0.560971760271127
KNN,0.2341659394910632,0.1822541845559613,0.6266764711426158
SVM,0.18282339229867767,0.1634084994143818,0.4217971415443825
NNET,0.20541357302379173,0.2068624965008679,0.53262068714115
XGBoost,0.2569510654096566,0.21089855009936714,0.5623998021642913
GLMNET,0.3127735109760259,0.24213181534114367,0.5535043609812224
