Model,target,threshold
RandomForest,warning_acid_base_balance,0.16
RandomForest,warning_buffer_capacity,0.06999999999999999
RandomForest,warning_acid_accumulation,0.5
RandomForest,warning_ammonia_toxicity,0.34
RandomForest,warning_biogas_quality,0.03
KNN,warning_acid_base_balance,0.46
KNN,warning_buffer_capacity,0.5
KNN,warning_acid_accumulation,0.74
KNN,warning_ammonia_toxicity,0.61
KNN,warning_biogas_quality,0.74
SVM,warning_acid_base_balance,0.18000000000000002
SVM,warning_buffer_capacity,0.05
SVM,warning_acid_accumulation,0.01
SVM,warning_ammonia_toxicity,0.16
SVM,warning_biogas_quality,0.5
NNET,warning_acid_base_balance,0.98
NNET,warning_buffer_capacity,0.02
NNET,warning_acid_accumulation,0.99
NNET,warning_ammonia_toxicity,0.09
NNET,warning_biogas_quality,0.8400000000000001
XGBoost,warning_acid_base_balance,0.74
XGBoost,warning_buffer_capacity,0.08
XGBoost,warning_acid_accumulation,0.03
XGBoost,warning_ammonia_toxicity,0.5
XGBoost,warning_biogas_quality,0.13
GLMNET,warning_acid_base_balance,0.44
GLMNET,warning_buffer_capacity,0.23
GLMNET,warning_acid_accumulation,0.18000000000000002
GLMNET,warning_ammonia_toxicity,0.49
GLMNET,warning_biogas_quality,0.93
