Model,Macro MCC,Macro AUPR,Macro ROC-AUC,mean_metric_rank
RandomForest,0.09839000449069144,0.20164789102341837,0.560971760271127,4.0
KNN,0.19448503292846694,0.1822541845559613,0.6266764711426158,2.6666666666666665
SVM,0.03626725879001123,0.1634084994143818,0.4217971415443825,6.0
NNET,0.14390661861822585,0.2068624965008679,0.53262068714115,4.0
XGBoost,0.17048608726094885,0.21089855009936714,0.5623998021642913,2.3333333333333335
GLMNET,0.19670654881221256,0.24213181534114367,0.5535043609812224,2.0
