domain,rank,workbook_sample,SampleID,workbook_suffix,original_suffix,Site
BAC,Genus,3-15-GSGA,3-15,GSGA,GSGA,GSG
BAC,Genus,3-16-GCGD,3-16,GCGD,GCGD,GCG
BAC,Genus,3-17-MGYS,3-17,MGYS,MGYS,MGY
BAC,Genus,3-18-ADAS,3-18,ADAS,ADAS,ADA
BAC,Genus,3-19-ADPC,3-19,ADPC,ADPC,ADP
BAC,Genus,3-2-BSNS,3-2,BSNS,BSNS,BSN
BAC,Genus,3-20-YCGH,3-20,YCGH,YCGH,YCG
BAC,Genus,3-21-YCDG,3-21,YCDG,YCDG,YCD
BAC,Genus,3-22-UJGN,3-22,UJGN,UJGN,UJG
BAC,Genus,3-23-CGSJ,3-23,CGSJ,CGSJ,CGS
BAC,Genus,3-24-GHGHa,3-24,GHGHa,GHGHa,GHGa
BAC,Genus,3-25-GHGHb,3-25,GHGHb,GHGHb,GHGb
BAC,Genus,3-26-GHHM,3-26,GHHM,GHHM,GHH
BAC,Genus,3-27-GHJY,3-27,GHJY,GHJY,GHJ
BAC,Genus,3-28-MYSN,3-28,MYSN,MYSN,MYS
BAC,Genus,3-29-SCHG,3-29,SCHG,SCHG,SCH
BAC,Genus,3-3-BSIGa,3-3,BSIGa,BSIGa,BSI
BAC,Genus,3-30-YSDM,3-30,YSDM,YSDM,YSD
BAC,Genus,3-31-YSYS,3-31,YSYS,YSYS,YSY
BAC,Genus,3-32-JJNG,3-32,JJNG,JJNG,JJN
BAC,Genus,3-32'-JJYS,3-32',JJYS,JJYS,JJY
BAC,Genus,3-33-CWMS,3-33,CWMS,CWMS,CWM
BAC,Genus,3-34-CWSS,3-34,CWSS,CWSS,CWS
BAC,Genus,3-4-BSOC,3-4,BSOC,BSOC,BSO
BAC,Genus,3-5-BSES,3-5,BSES,BSES,BSE
BAC,Genus,3-6-DGGW,3-6,DGGW,DGGW,DGG
BAC,Genus,3-7-DGDS,3-7,DGDS,DGDS,DGD
BAC,Genus,3-8-DGJY,3-8,DGJY,DGJY,DGJ
BAC,Genus,3-9-DGGB,3-9,DGGB,DGGB,DGB
BAC,Genus,4-1-BSSG,4-1,BSSG,BSSG,BSS
BAC,Genus,4-10-DGDC,4-10,DGDC,DGDC,DGC
BAC,Genus,4-11-DGYSa,4-11,DGYSa,DGYSa,DGY
BAC,Genus,4-12-USOS,4-12,USOS,USOS,USO
BAC,Genus,4-13-USYY,4-13,USYY,USYY,USY
BAC,Genus,4-14-USYJ,4-14,USYJ,USYJ,USJ
BAC,Genus,4-15-GSGA,4-15,GSGA,GSGA,GSG
BAC,Genus,4-16-GCGD,4-16,GCGD,GCGD,GCG
BAC,Genus,4-17-MGYS,4-17,MGYS,MGYS,MGY
BAC,Genus,4-18-ADAS,4-18,ADAS,ADAS,ADA
BAC,Genus,4-2-BSNS,4-2,BSNS,BSNS,BSN
BAC,Genus,4-21-YCDG,4-21,YCDG,YCDG,YCD
BAC,Genus,4-22-UJGN,4-22,UJGN,UJGN,UJG
BAC,Genus,4-23-CGSJ,4-23,CGSJ,CGSJ,CGS
BAC,Genus,4-24-GHGHa,4-24,GHGHa,GHGHa,GHGa
BAC,Genus,4-25-GHGHb,4-25,GHGHb,GHGHb,GHGb
BAC,Genus,4-26-GHHM,4-26,GHHM,GHHM,GHH
