Model,candidate,scope,params,MCC_warning_acid_base_balance,AUPR_warning_acid_base_balance,MCC_warning_buffer_capacity,AUPR_warning_buffer_capacity,MCC_warning_acid_accumulation,AUPR_warning_acid_accumulation,MCC_warning_ammonia_toxicity,AUPR_warning_ammonia_toxicity,MCC_warning_biogas_quality,AUPR_warning_biogas_quality,Macro_MCC,Macro_AUPR,AUPR_evaluable_labels,Micro_AUPR
RandomForest,2,fold_5,"{""n_estimators"": 150, ""min_samples_leaf"": 3, ""max_features"": ""sqrt"", ""max_depth"": null}",0.4646601886422926,0.6178571428571429,0.0,0.06666666666666667,0.0,,0.5504818825631803,0.4766233766233766,0.0,0.045454545454545456,0.20302841424109458,0.3016504329004329,4,0.4275539062344561
RandomForest,2,pooled_OOF,"{""n_estimators"": 150, ""min_samples_leaf"": 3, ""max_features"": ""sqrt"", ""max_depth"": null}",0.2053160429041686,0.40405036941548095,0.0,0.07734197255821731,0.0,0.024930614447613908,0.5602238198962322,0.623102547826901,0.0,0.04908183200937166,0.15310797256008016,0.23570146725151703,5,0.42085853711090354
RandomForest,3,fold_1,"{""n_estimators"": 150, ""min_samples_leaf"": 1, ""max_features"": 0.5, ""max_depth"": null}",0.0,0.225,0.0,0.08712121212121213,0.0,,0.4662524041201569,0.7678571428571428,0.0,0.041666666666666664,0.09325048082403138,0.2804112554112554,4,0.40915897827662534
RandomForest,3,fold_2,"{""n_estimators"": 150, ""min_samples_leaf"": 1, ""max_features"": 0.5, ""max_depth"": null}",-0.22360679774997896,0.2556818181818181,0.0,0.2,0.0,0.125,0.3217979514674192,0.5,0.0,0.2435897435897436,0.019638230743488045,0.26485431235431234,5,0.23317971066228904
RandomForest,3,fold_3,"{""n_estimators"": 150, ""min_samples_leaf"": 1, ""max_features"": 0.5, ""max_depth"": null}",0.0,0.11490683229813664,0.0,0.16666666666666666,0.0,,0.0,1.0,0.0,,0.0,0.4271911663216011,3,0.5404699934240607
RandomForest,3,fold_4,"{""n_estimators"": 150, ""min_samples_leaf"": 1, ""max_features"": 0.5, ""max_depth"": null}",0.0,0.6984126984126984,0.0,0.1,0.0,0.1,0.629940788348712,0.8734126984126983,0.0,,0.12598815766974242,0.4429563492063492,4,0.5892270549962857
RandomForest,3,fold_5,"{""n_estimators"": 150, ""min_samples_leaf"": 1, ""max_features"": 0.5, ""max_depth"": null}",0.0,0.5381944444444444,0.0,0.06666666666666667,0.0,,0.6573421981221795,0.4434920634920635,0.0,0.043478260869565216,0.1314684396244359,0.27295785886818497,4,0.39828318309271327
RandomForest,3,pooled_OOF,"{""n_estimators"": 150, ""min_samples_leaf"": 1, ""max_features"": 0.5, ""max_depth"": null}",-0.06720311399563683,0.2624539609747555,0.0,0.06301129001817075,0.0,0.02575603126061842,0.45351079576889725,0.576668647502417,0.0,0.056150821655408814,0.07726153635465208,0.1968081502822741,5,0.3582657777517873
RandomForest,4,fold_1,"{""n_estimators"": 150, ""min_samples_leaf"": 5, ""max_features"": ""sqrt"", ""max_depth"": 6}",-0.06286946134619315,0.5,0.0,0.175,0.0,,0.7,0.875,0.0,0.05263157894736842,0.12742610773076138,0.4006578947368421,4,0.5533863613573758
RandomForest,4,fold_2,"{""n_estimators"": 150, ""min_samples_leaf"": 5, ""max_features"": ""sqrt"", ""max_depth"": 6}",-0.015430334996209192,0.33247863247863246,0.0,0.25,0.0,0.1,0.6642111641550715,1.0,0.0,0.21666666666666667,0.12975616583177246,0.3798290598290598,5,0.34845773848723033
