domain,rank,workbook_sample,SampleID,workbook_suffix,Site
ARC,G,3-1-BSSG,3-1,BSSG,BSS
ARC,G,3-10-DGDC,3-10,DGDC,DGC
ARC,G,3-11-DGYSa,3-11,DGYSa,DGY
ARC,G,3-12-USOS,3-12,USOS,USO
ARC,G,3-13-USYY,3-13,USYY,USY
ARC,G,3-14-USYJ,3-14,USYJ,USJ
ARC,G,3-15-GSGA,3-15,GSGA,GSG
ARC,G,3-16-GCGD,3-16,GCGD,GCG
ARC,G,3-17-MGYS,3-17,MGYS,MGY
ARC,G,3-18-ADAS,3-18,ADAS,ADA
ARC,G,3-19-ADPC,3-19,ADPC,ADP
ARC,G,3-2-BSNS,3-2,BSNS,BSN
ARC,G,3-20-YCGH,3-20,YCGH,YCG
ARC,G,3-21-YCDG,3-21,YCDG,YCD
ARC,G,3-22-UJGN,3-22,UJGN,UJG
ARC,G,3-23-CGSJ,3-23,CGSJ,CGS
ARC,G,3-24-GHGHa,3-24,GHGHa,GHGa
ARC,G,3-25-GHGHb,3-25,GHGHb,GHGb
ARC,G,3-26-GHHM,3-26,GHHM,GHH
ARC,G,3-27-GHJY,3-27,GHJY,GHJ
ARC,G,3-28-MYSN,3-28,MYSN,MYS
ARC,G,3-29-SCHG,3-29,SCHG,SCH
ARC,G,3-3-BSIGa,3-3,BSIGa,BSI
ARC,G,3-30-YSDM,3-30,YSDM,YSD
ARC,G,3-31-YSYS,3-31,YSYS,YSY
ARC,G,3-32-JJNG,3-32,JJNG,JJN
ARC,G,3-32'-JJYS,3-32',JJYS,JJY
ARC,G,3-33-CWMS,3-33,CWMS,CWM
ARC,G,3-34-CWSS,3-34,CWSS,CWS
ARC,G,3-4-BSOC,3-4,BSOC,BSO
ARC,G,3-5-BSES,3-5,BSES,BSE
ARC,G,3-6-DGGW,3-6,DGGW,DGG
ARC,G,3-7-DGDS,3-7,DGDS,DGD
ARC,G,3-8-DGJY,3-8,DGJY,DGJ
ARC,G,3-9-DGGB,3-9,DGGB,DGB
ARC,G,4-1-BSSG,4-1,BSSG,BSS
ARC,G,4-10-DGDC,4-10,DGDC,DGC
ARC,G,4-11-DGYSa,4-11,DGYSa,DGY
ARC,G,4-12-USOS,4-12,USOS,USO
ARC,G,4-13-USYY,4-13,USYY,USY
ARC,G,4-14-USYJ,4-14,USYJ,USJ
ARC,G,4-15-GSGA,4-15,GSGA,GSG
ARC,G,4-16-GCGD,4-16,GCGD,GCG
ARC,G,4-17-MGYS,4-17,MGYS,MGY
ARC,G,4-18-ADAS,4-18,ADAS,ADA
ARC,G,4-2-BSNS,4-2,BSNS,BSN
ARC,G,4-21-YCDG,4-21,YCDG,YCD
ARC,G,4-22-UJGN,4-22,UJGN,UJG
ARC,G,4-23-CGSJ,4-23,CGSJ,CGS
ARC,G,4-25-GHGHb,4-25,GHGHb,GHGb
ARC,G,4-26-GHHM,4-26,GHHM,GHH
ARC,G,4-27-GHJY,4-27,GHJY,GHJ
ARC,G,4-28-MYSN,4-28,MYSN,MYS
ARC,G,4-29-SCHG,4-29,SCHG,SCH
ARC,G,4-3-BSIGa,4-3,BSIGa,BSI
ARC,G,4-30-YSDM,4-30,YSDM,YSD
ARC,G,4-31-YSYS,4-31,YSYS,YSY
ARC,G,4-32-JJNG,4-32,JJNG,JJN
ARC,G,4-32'-JJYS,4-32',JJYS,JJY
ARC,G,4-33-CWMS,4-33,CWMS,CWM
ARC,G,4-34-CWSS,4-34,CWSS,CWS
ARC,G,4-4-BSOC,4-4,BSOC,BSO
ARC,G,4-5-BSES,4-5,BSES,BSE
ARC,G,4-6-DGGW,4-6,DGGW,DGG
ARC,G,4-7-DGDS,4-7,DGDS,DGD
ARC,G,4-8-DGJY,4-8,DGJY,DGJ
ARC,G,4-9-DGGB,4-9,DGGB,DGB
