Model,metric,fold_mean,fold_std,defined_folds
GLMNET,MCC_warning_acid_accumulation,0.0,0.0,5
GLMNET,AUPR_warning_acid_accumulation,0.12762605042016806,0.09730145833554381,2
GLMNET,MCC_warning_ammonia_toxicity,0.39354468972453593,0.2696880558373827,5
GLMNET,AUPR_warning_ammonia_toxicity,0.5334047619047618,0.13572560520880741,5
GLMNET,MCC_warning_biogas_quality,0.056676392872148304,0.15220619111985742,5
GLMNET,AUPR_warning_biogas_quality,0.5972222222222222,0.16839382851364082,3
GLMNET,Macro_MCC,0.11671324564015281,0.0618018227449121,5
GLMNET,Macro_AUPR,0.3420159121064693,0.09127466414395707,5
GLMNET,AUPR_evaluable_labels,4.0,0.7071067811865476,5
GLMNET,Micro_AUPR,0.2505142893866079,0.07421636806900832,5
