Model,MCC_warning_acid_base_balance,AUPR_warning_acid_base_balance,MCC_warning_buffer_capacity,AUPR_warning_buffer_capacity,MCC_warning_acid_accumulation,AUPR_warning_acid_accumulation,MCC_warning_ammonia_toxicity,AUPR_warning_ammonia_toxicity,MCC_warning_biogas_quality,AUPR_warning_biogas_quality,Macro_MCC,Macro_AUPR,AUPR_evaluable_labels,Micro_AUPR
NNET,0.2360293976249778,0.5425258799171844,0.0,0.3333333333333333,0.0,1.0,-0.10886621079036346,0.525,-0.10886621079036346,0.14583333333333331,0.0036593952088501748,0.5093385093167703,5,0.3111996190943559
RandomForest,0.0,0.48691729323308264,0.0,0.16666666666666666,0.0,0.3333333333333333,0.8492077756084468,1.0,0.0,0.45,0.16984155512168936,0.4873834586466165,5,0.5857937330452097
KNN,0.5166666666666667,0.617816091954023,-0.07559289460184544,0.034482758620689655,0.6943650748294136,1.0,0.7091242083423347,0.7095238095238094,-0.15352206215727945,0.06896551724137931,0.338208198615858,0.48615763546798024,5,0.31252411900164645
XGBoost,0.14470719035407653,0.379298245614035,0.0,0.043478260869565216,-0.03571428571428571,0.1,1.0,1.0,0.46296296296296297,0.41666666666666663,0.3143911735205508,0.38788863463005335,5,0.48580122771947093
GLMNET,0.14470719035407653,0.5181818181818182,0.0,0.16666666666666666,0.0,0.5,0.47543554877497435,0.4694444444444444,0.19693027994279283,0.16666666666666666,0.16341460381436873,0.3641919191919192,5,0.2968271385286637
SVM,0.0,0.1287121958501269,-0.03571428571428571,0.038461538461538464,0.0,0.034482758620689655,0.0,0.4303571428571429,-0.05143444998736397,0.13333333333333333,-0.017429747140329938,0.15306939382456625,5,0.1443189358001405
