SampleID,BAC_C::ABY1,BAC_C::Acetothermiia,BAC_C::Acidimicrobiia,BAC_C::Acidobacteriae,BAC_C::Actinobacteria,BAC_C::Alphaproteobacteria,BAC_C::Aminicenantia,BAC_C::Anaerolineae,BAC_C::BRH-c20a,BAC_C::Babeliae,BAC_C::Bacilli,BAC_C::Bacteroidia,BAC_C::Bdellovibrionia,BAC_C::Berkelbacteria,BAC_C::Blastocatellia,BAC_C::Brachyspirae,BAC_C::CK-2C2-2,BAC_C::Caldatribacteriia,BAC_C::Caldisericia,BAC_C::Calditrichia,BAC_C::Campylobacteria,BAC_C::Chlamydiae,BAC_C::Chthonomonadetes,BAC_C::Cloacimonadia,BAC_C::Clostridia,BAC_C::Coprothermobacteria,BAC_C::Coriobacteriia,BAC_C::D8A-2,BAC_C::Dadabacteriia,BAC_C::Deinococci,BAC_C::Desulfitobacteriia,BAC_C::Desulfobacteria,BAC_C::Desulfobulbia,BAC_C::Desulfotomaculia,BAC_C::Desulfovibrionia,BAC_C::Desulfuromonadia,BAC_C::Dethiobacteria,BAC_C::Elusimicrobia,BAC_C::Endomicrobia,BAC_C::Fermentibacteria,BAC_C::Fibrobacteria,BAC_C::Fimbriimonadia,BAC_C::Fusobacteriia,BAC_C::Gammaproteobacteria,BAC_C::Gemmatimonadetes,BAC_C::Gracilibacteria,BAC_C::Halanaerobiia,BAC_C::Holophagae,BAC_C::Hydrogenedentia,BAC_C::Hydrothermae,BAC_C::Ignavibacteria,BAC_C::Incertae_Sedis,BAC_C::JS1,BAC_C::KD4-96,BAC_C::Kapabacteria,BAC_C::Kiritimatiellae,BAC_C::LCP-89,BAC_C::Latescibacteria,BAC_C::Latescibacterota,BAC_C::Lentisphaeria,BAC_C::Leptospirae,BAC_C::Limnochordia,BAC_C::MBNT15,BAC_C::MD2902-B12,BAC_C::MVP-15,BAC_C::Marinimicrobia_(SAR406_clade),BAC_C::Microgenomatia,BAC_C::Moorellia,BAC_C::Myxococcia,BAC_C::NB1-j,BAC_C::NKB15,BAC_C::Negativicutes,BAC_C::Nitrospiria,BAC_C::OLB14,BAC_C::OM190,BAC_C::Oligoflexia,BAC_C::Omnitrophia,BAC_C::Parcubacteria,BAC_C::Phycisphaerae,BAC_C::Pla3_lineage,BAC_C::Planctomycetes,BAC_C::Polyangia,BAC_C::RBG-16-55-12,BAC_C::Rubrobacteria,BAC_C::SJA-28,BAC_C::Saccharimonadia,BAC_C::Spirochaetia,BAC_C::Sumerlaeia,BAC_C::Sva0485,BAC_C::Symbiobacteriia,BAC_C::Synergistia,BAC_C::Syntrophia,BAC_C::Syntrophobacteria,BAC_C::Syntrophomonadia,BAC_C::Syntrophorhabdia,BAC_C::TA06,BAC_C::Thermacetogenia,BAC_C::Thermoanaerobacteria,BAC_C::Thermoanaerobaculia,BAC_C::Thermoleophilia,BAC_C::Thermotogae,BAC_C::Thermovenabulia,BAC_C::Vampirivibrionia,BAC_C::Verrucomicrobiae,BAC_C::Vicinamibacteria,BAC_C::WCHB1-81,BAC_C::WPS-2,BAC_C::WS1,BAC_C::WWE3,BAC_C::Zixibacteria,BAC_C::c5LKS83,BAC_C::unidentified,ARC_C::Actinopterygii,ARC_C::Aenigmarchaeia,ARC_C::Bathyarchaeia,ARC_C::Bivalvia,ARC_C::Ichthyosporea,ARC_C::LKM11,ARC_C::Lokiarchaeia,ARC_C::Methanomethylicia,ARC_C::Methanomicrobia,ARC_C::Methanosarcinia,ARC_C::Micrarchaeia,ARC_C::Nanoarchaeia,ARC_C::Nitrososphaeria,ARC_C::Odinarchaeia,ARC_C::Thermococci,ARC_C::Thermoplasmata,ARC_C::unidentified
1-1,-0.09622504486493762,-0.11072255892128344,-0.697129750525853,-0.3309293939447612,1.123423716985979,-0.9131770620078786,-0.37430980806751535,-0.44443801433136604,-0.15576706203027013,-0.3796221136411703,1.6727061648008028,-0.2774913071589638,-0.10415413391024642,0.0,-0.4176438258962746,-0.30400872376098853,-0.2514313342302585,0.755838043004654,-0.6866000517477883,0.0,-0.34999125035692996,-0.3482578901032028,-0.31442358061949116,-0.3551030227775327,1.191102964034449,-0.21157763222088652,-0.16488998138304817,0.5049565289575174,0.0,-0.13814310036932095,-0.16779192950349286,0.0,-0.4915597515411089,-0.6972056597085957,-0.6662814293104595,-0.2750125580051014,0.6234236572472948,0.0,-0.22000734840294592,-0.24988718708375368,2.481402567276027,-0.3439574425320488,-0.2644644077124355,-0.8565624844595713,-0.30545727604409645,1.418026906986307,-0.13651498420458819,-0.4063324202574108,-0.7354255192843109,-0.09622504486493767,-0.3631450608616812,-0.2043679920945205,-0.4361184994455423,0.0,-0.4792530348900524,0.938237548983321,0.0,0.0,0.0,5.246503364672552,-0.6197479265077847,0.40595874670027887,0.0,0.0,1.2560530733388084,-0.31805374841748824,-0.09622504486493764,-0.22765759444538225,-0.09622504486493767,0.0,-0.23517724187582092,-0.3237810263648817,-0.2476824920070451,-0.2938796959007981,0.0,-0.29597376215777643,-0.15371343041509344,-0.17959640829643997,-0.36880375309026625,-0.15901382303513992,-0.680641526636311,-0.23425286532268833,-0.16752422536831607,0.0,-0.6652632955827408,-0.5403821531067468,-0.2635753665071908,-0.35598084039789485,-0.1360145237956077,-0.17165843696845598,-0.578223179106408,-0.6811623849134912,-0.43877705565158465,-0.5320981870032344,-0.7641805610224003,-0.19197291732187582,-0.0518239657133,-0.335765895162113,-0.23089146910097072,-0.7129104193111351,-0.6477708131001276,-0.4028250676839442,-0.1342622540128084,-0.40643972296242675,-0.1358532763751324,-0.4799819718069445,-0.14810207928107974,-0.5768042414376395,-0.13166153612265222,-0.1677050983124842,-0.13401887572789387,-1.1913439567087247,-0.09622504486493762,-0.13345099217921402,-0.17410297683991285,-0.1245330990169104,-0.09622504486493767,0.0,-0.09622504486493766,-0.2292421346744024,2.411305720599049,-1.4897155831952258,-0.29599936395118165,-0.4824905740057288,-0.17939888720515706,0.0,-1.2057964646702224,-0.5611040572595717,-0.22947638798740785
2-1,-0.09622504486493762,-0.11072255892128344,-0.697129750525853,-0.3309293939447612,0.7201707187176921,-0.6421163439183777,-0.37430980806751535,-0.44443801433136604,-0.15576706203027013,-0.3796221136411703,1.2715508227234062,-0.5527565830620809,-0.10415413391024642,0.0,-0.4176438258962746,-0.30400872376098853,-0.2514313342302585,1.3329528625777902,-0.6866000517477883,0.0,-0.34999125035692996,-0.3482578901032028,-0.31442358061949116,-0.7135704205794058,1.4797889172572016,-0.21157763222088652,-0.16488998138304817,1.294980183307252,0.0,-0.13814310036932095,-0.16779192950349286,0.0,-0.4915597515411089,-0.6972056597085957,-0.6662814293104595,-0.2750125580051014,0.6451928900920447,0.0,-0.22000734840294592,-0.24988718708375368,-0.3067102564336961,-0.3439574425320488,-0.2644644077124355,-0.30630641743248854,-0.30545727604409645,1.0133724927724117,-0.13651498420458819,-0.4063324202574108,-0.7354255192843109,-0.09622504486493767,-0.3631450608616812,-0.3872911285547155,-0.4361184994455423,0.0,-0.4792530348900524,0.01932814586991739,0.0,0.0,0.0,3.214433658828584,-0.6197479265077847,0.257431131751727,0.0,0.0,-0.5423550294585298,-0.31805374841748824,-0.09622504486493764,-0.22765759444538225,-0.09622504486493767,0.0,-0.23517724187582092,-0.3237810263648817,-0.2476824920070451,-0.2938796959007981,0.0,-0.29597376215777643,-0.15371343041509344,-0.17959640829643997,-0.36880375309026625,-0.15901382303513992,-0.680641526636311,-0.23425286532268833,-0.16752422536831607,0.0,-0.6652632955827408,-0.5403821531067468,-0.3156936673658497,-0.35598084039789485,-0.1360145237956077,-0.17165843696845598,-0.6919684860620154,-0.6811623849134912,-0.43877705565158465,-0.36532730044685163,-0.7641805610224003,-0.19197291732187582,0.002260407015154657,-0.335765895162113,-0.23089146910097072,-0.7129104193111351,-0.7285589071395101,-0.4028250676839442,-0.1342622540128084,-0.40643972296242675,-0.1358532763751324,-0.4799819718069445,-0.14810207928107974,-0.5768042414376395,-0.13166153612265222,-0.1677050983124842,-0.13401887572789387,-1.1913439567087247,-0.09622504486493762,-0.13345099217921402,-0.6671434497146329,-0.1245330990169104,-0.09622504486493767,0.0,-0.09622504486493766,-0.2292421346744024,1.9728281381784085,-1.2602083875839853,-0.29599936395118165,-0.4824905740057288,-0.17939888720515706,0.0,-1.1525992552194246,-0.49982043309211055,0.06333772534776724
3-1,-0.09622504486493762,-0.11072255892128344,-0.697129750525853,-0.3309293939447612,0.9725543754920025,-0.9131770620078786,-0.37430980806751535,-0.44443801433136604,-0.15576706203027013,-0.3796221136411703,3.7332454267842397,-0.49164406649280923,-0.10415413391024642,0.0,-0.4176438258962746,-0.30400872376098853,-0.2514313342302585,-0.16897064317550778,-0.6866000517477883,0.0,-0.34999125035692996,-0.3482578901032028,-0.31442358061949116,-0.3431137787270865,0.941492781836155,-0.21157763222088652,-0.16488998138304817,-0.47344614833328147,0.0,-0.13814310036932095,-0.16779192950349286,0.0,-0.4915597515411089,-0.6972056597085957,-0.6662814293104595,-0.2750125580051014,-0.23801598532353008,0.0,-0.22000734840294592,-0.24988718708375368,-0.3067102564336961,-0.3439574425320488,-0.2644644077124355,-0.8551701361118308,-0.30545727604409645,-0.3441778000742036,-0.13651498420458819,-0.4063324202574108,-0.7354255192843109,-0.09622504486493767,-0.3631450608616812,-0.16335940851309091,-0.4361184994455423,0.0,-0.4792530348900524,-0.4139787271429072,0.0,0.0,0.0,2.103145538445163,-0.6197479265077847,1.667885099270682,0.0,0.0,-0.5423550294585298,-0.31805374841748824,-0.09622504486493764,-0.22765759444538225,-0.09622504486493767,0.0,-0.23517724187582092,-0.3237810263648817,-0.2476824920070451,-0.2938796959007981,0.0,-0.29597376215777643,-0.15371343041509344,-0.17959640829643997,-0.36880375309026625,-0.15901382303513992,-0.680641526636311,-0.23425286532268833,-0.16752422536831607,0.0,-0.6652632955827408,-0.5403821531067468,-0.23623461851576322,-0.35598084039789485,-0.1360145237956077,-0.17165843696845598,-0.8867378472873709,-0.6811623849134912,-0.43877705565158465,-0.15131414909804627,-0.7641805610224003,-0.19197291732187582,-0.15999271117020936,-0.335765895162113,-0.23089146910097072,-0.7129104193111351,-0.7445389696967506,-0.4028250676839442,-0.1342622540128084,-0.3254889260025397,-0.1358532763751324,-0.4799819718069445,-0.14810207928107974,-0.5768042414376395,-0.13166153612265222,-0.1677050983124842,-0.13401887572789387,-1.1913439567087247,-0.09622504486493762,-0.13345099217921402,-0.6671434497146329,-0.1245330990169104,-0.09622504486493767,0.0,-0.09622504486493766,-0.2292421346744024,-1.9727455183672857,-1.568603747887097,-0.29599936395118165,-0.4824905740057288,-0.17939888720515706,0.0,-1.222220457490954,-0.7710406706612241,7.19623874917876
4-1,-0.09622504486493762,-0.11072255892128344,-0.697129750525853,-0.3309293939447612,2.0241529453849623,-0.16822743332742265,-0.37430980806751535,-0.4272780683508648,-0.15576706203027013,-0.3796221136411703,0.7047977169667721,-0.6532297035234255,-0.10415413391024642,0.0,-0.4176438258962746,-0.30400872376098853,-0.2514313342302585,3.0300979245817543,-0.6866000517477883,0.0,-0.34999125035692996,-0.3482578901032028,-0.31442358061949116,-0.9964725829440629,1.4586685238841677,-0.21157763222088652,-0.16488998138304817,1.70532518676802,0.0,-0.13814310036932095,-0.16779192950349286,0.0,-0.4915597515411089,-0.4040290064418455,0.2628189006874946,-0.2750125580051014,0.7348613968097059,0.0,-0.22000734840294592,-0.24988718708375368,-0.3067102564336961,-0.3439574425320488,-0.2644644077124355,0.14899149227868558,-0.30545727604409645,-0.3441778000742036,-0.13651498420458819,-0.4063324202574108,-0.7354255192843109,-0.09622504486493767,-0.3631450608616812,-0.4847175816693846,-0.4361184994455423,0.0,-0.4792530348900524,-0.3878308985990298,0.0,0.0,0.0,-0.30993723724455036,-0.6197479265077847,-0.20992831829315228,0.0,0.0,-0.5423550294585298,-0.31805374841748824,-0.09622504486493764,-0.22765759444538225,-0.09622504486493767,0.0,-0.23517724187582092,-0.3237810263648817,-0.2476824920070451,-0.2938796959007981,0.0,-0.29597376215777643,-0.15371343041509344,-0.17959640829643997,-0.36880375309026625,-0.15901382303513992,-0.680641526636311,-0.23425286532268833,-0.16752422536831607,0.0,-0.6652632955827408,-0.5403821531067468,-0.5705891824942635,-0.35598084039789485,-0.1360145237956077,-0.17165843696845598,-0.5745874843635346,-0.6811623849134912,-0.43877705565158465,-0.6077996474537426,-0.7641805610224003,-0.19197291732187582,-0.21908489618833574,-0.335765895162113,-0.23089146910097072,-0.7129104193111351,-0.5820750003648056,-0.4028250676839442,-0.1342622540128084,-0.40643972296242675,-0.1358532763751324,-0.4799819718069445,-0.14810207928107974,-0.5768042414376395,-0.13166153612265222,-0.1677050983124842,-0.13401887572789387,-1.1913439567087247,-0.09622504486493762,-0.13345099217921402,-0.6671434497146329,-0.1245330990169104,-0.09622504486493767,0.0,-0.09622504486493766,-0.2292421346744024,0.5460680443882994,0.5922688620183243,-0.29599936395118165,-0.4824905740057288,-0.17939888720515706,0.0,-1.222220457490954,-0.7419175489723139,-0.4165050557535168
1-2,-0.09622504486493762,-0.11072255892128344,-0.697129750525853,-0.3309293939447612,-0.35722706942330834,0.018710992941198597,-0.37430980806751535,-0.17893176353069767,-0.15576706203027013,-0.3796221136411703,-0.455958759455739,1.2762167412123453,-0.10415413391024642,0.0,-0.4176438258962746,-0.30400872376098853,-0.2514313342302585,-0.4867400376565187,-0.35081370558223063,0.0,-0.34999125035692996,-0.3482578901032028,-0.31442358061949116,-0.0355731698734391,0.218164958074993,-0.21157763222088652,-0.05057043890578681,-0.44424009826489935,0.0,-0.13814310036932095,-0.16779192950349286,0.0,-0.4915597515411089,5.226753128055433,0.8908219015194451,0.1587400091763563,-0.4147614234201915,0.0,-0.22000734840294592,-0.24988718708375368,-0.3067102564336961,-0.3439574425320488,-0.2644644077124355,-0.520449593314992,-0.30545727604409645,-0.3441778000742036,-0.13651498420458819,-0.4063324202574108,-0.7354255192843109,-0.09622504486493767,-0.3631450608616812,-0.5403898405920526,0.2573756470492674,0.0,-0.4792530348900524,0.07162380295767191,0.0,0.0,0.0,-0.30993723724455036,-0.6197479265077847,-0.4684557082223985,0.0,0.0,-0.5423550294585298,-0.31805374841748824,-0.09622504486493764,-0.22765759444538225,-0.09622504486493767,0.0,-0.23517724187582092,-0.3237810263648817,-0.2476824920070451,-0.2938796959007981,0.0,-0.29597376215777643,-0.15371343041509344,-0.17959640829643997,-0.36880375309026625,-0.15901382303513992,-0.4384472863448425,-0.23425286532268833,-0.16752422536831607,0.0,-0.024572861942619338,-0.5403821531067468,-0.6044803180253041,-0.35598084039789485,-0.1360145237956077,-0.17165843696845598,0.34939836528955154,-0.036325309335833826,-0.43877705565158465,-0.41996895611037627,-0.16529091337594587,-0.19197291732187582,-0.37032082733642196,-0.335765895162113,-0.23089146910097072,0.20014144797278627,1.7585602736443362,-0.4028250676839442,-0.1342622540128084,-0.40643972296242675,-0.1358532763751324,-0.4799819718069445,-0.14810207928107974,0.5336799949812565,-0.13166153612265222,-0.1677050983124842,-0.13401887572789387,0.48034642474125006,-0.09622504486493762,-0.13345099217921402,-0.20068849253413792,-0.1245330990169104,-0.09622504486493767,0.0,-0.09622504486493766,-0.2292421346744024,-0.06729336133254717,0.5582190671179638,-0.29599936395118165,1.4188382432051139,-0.17939888720515706,0.0,-0.2419456658636297,-0.6334651878363114,-0.32282146515755183
2-2,-0.09622504486493762,-0.11072255892128344,1.1076596081467345,-0.3309293939447612,-0.23047438846554358,1.05715395086339,-0.37430980806751535,-0.2916199127254852,-0.15576706203027013,0.04585969558048592,-0.3540322878240557,0.607215950717799,-0.10415413391024642,0.0,-0.4176438258962746,-0.30400872376098853,-0.2514313342302585,-0.32856782784758504,-0.21977513146884223,0.0,-0.34999125035692996,-0.3482578901032028,-0.31442358061949116,0.3437929102182025,0.1605251525295687,-0.21157763222088652,-0.13638066338254598,-0.5639849035452659,0.0,-0.13814310036932095,-0.16779192950349286,0.0,0.8455716378445406,3.0223332542558228,2.1210195606834032,0.2163477720051436,-0.4147614234201915,0.0,-0.22000734840294592,-0.24988718708375368,-0.3067102564336961,-0.3439574425320488,-0.2644644077124355,-0.2941929868071454,4.005445272644351,-0.3441778000742036,-0.13651498420458819,-0.4063324202574108,-0.04872352835880175,-0.09622504486493767,-0.3631450608616812,-0.5692201175341486,0.5658081265676773,0.0,-0.4792530348900524,-0.39530170675442333,0.0,0.0,0.0,-0.30993723724455036,-0.6197479265077847,-0.5376941452660844,0.0,0.0,-0.5423550294585298,-0.31805374841748824,-0.09622504486493764,-0.22765759444538225,-0.09622504486493767,0.0,-0.23517724187582092,-0.3237810263648817,-0.2476824920070451,-0.2938796959007981,0.0,2.3178044181454176,-0.15371343041509344,-0.17959640829643997,3.3865737412216594,-0.15901382303513992,0.11097483283487779,1.280180735583468,-0.16752422536831607,0.0,0.5567943833974908,1.7026420906040047,-0.6170114941880416,-0.35598084039789485,-0.1360145237956077,-0.17165843696845598,-0.018326188703919607,-0.15710338196572857,0.5226686592121959,-0.37955689827589445,0.07940214807779734,-0.19197291732187582,-0.37032082733642196,-0.335765895162113,-0.02840834990704645,0.7218853721350269,1.22899875612245,-0.4028250676839442,-0.1342622540128084,-0.18350379800146804,-0.1358532763751324,-0.4799819718069445,-0.14810207928107974,0.8455283079482069,-0.13166153612265222,-0.1677050983124842,-0.13401887572789387,0.3550814898243919,-0.09622504486493762,-0.13345099217921402,-0.6671434497146329,-0.1245330990169104,-0.09622504486493767,0.0,-0.09622504486493766,-0.2292421346744024,-0.17137485546001527,0.52995826362261,-0.29599936395118165,2.4347283402225712,-0.17939888720515706,0.0,0.08736055496965911,-0.6477587444934452,-0.4066035380482522
3-2,-0.09622504486493762,-0.11072255892128344,-0.697129750525853,-0.3309293939447612,-0.33423211402831565,-0.02148076870655502,-0.2007395738810122,-0.1854174124052178,-0.15576706203027013,-0.3796221136411703,-0.09332061874044438,-0.4298841715700501,-0.10415413391024642,0.0,-0.4176438258962746,-0.30400872376098853,-0.2514313342302585,-0.4867400376565187,0.0341121058758477,0.0,-0.34999125035692996,-0.3482578901032028,-0.31442358061949116,1.1643411727533275,0.14731729846055394,-0.21157763222088652,-0.04774773415326185,-0.737760901452139,0.0,-0.13814310036932095,-0.16779192950349286,0.0,-0.4915597515411089,3.3423657841576953,-0.6662814293104595,0.10790963020977923,-0.4147614234201915,0.0,5.301800496411577,-0.24988718708375368,-0.3067102564336961,-0.3439574425320488,-0.2644644077124355,-0.48953945999515075,-0.30545727604409645,-0.3441778000742036,-0.13651498420458819,-0.4063324202574108,-0.13733023686531906,-0.09622504486493767,-0.3631450608616812,-0.556047663414053,0.05622402997204362,0.0,-0.4792530348900524,0.9643853775271983,0.0,0.0,0.0,-0.30993723724455036,-0.6197479265077847,-0.5376941452660844,0.0,0.0,-0.04500765589731902,0.27323886100217837,-0.09622504486493764,-0.22765759444538225,-0.09622504486493767,0.0,-0.23517724187582092,-0.3237810263648817,-0.2476824920070451,-0.2938796959007981,0.0,-0.29597376215777643,-0.15371343041509344,-0.17959640829643997,-0.36880375309026625,-0.15901382303513992,-0.680641526636311,-0.23425286532268833,-0.16752422536831607,0.0,-0.18771162976765024,-0.5403821531067468,-0.5663171906206029,-0.35598084039789485,-0.1360145237956077,-0.17165843696845598,0.35251467506915735,0.019055855674947084,0.29798297584729055,-0.7039917287780727,0.08480972954638835,-0.19197291732187582,-0.37032082733642196,-0.335765895162113,-0.23089146910097072,-0.7129104193111351,2.1518473688030886,-0.4028250676839442,-0.1342622540128084,-0.18607366457162317,-0.1358532763751324,-0.4799819718069445,-0.14810207928107974,0.739043518154614,-0.13166153612265222,-0.1677050983124842,-0.13401887572789387,0.4356089479852293,-0.09622504486493762,-0.13345099217921402,0.7998936435939704,-0.1245330990169104,-0.09622504486493767,0.0,-0.09622504486493766,-0.2292421346744024,-0.06625823956101576,0.4733314022427216,-0.29599936395118165,0.5986252114237642,-0.17939888720515706,0.0,0.02021844595408891,-0.5494905424756504,-0.44197819104654795
4-2,-0.09622504486493762,-0.11072255892128344,0.1432683477873365,-0.3309293939447612,-0.1373728617443535,0.4458652969649982,0.18945707661577774,-0.30891497639087223,-0.15576706203027013,-0.3796221136411703,-0.24634133707695594,0.20454661484823472,-0.10415413391024642,0.0,-0.4176438258962746,-0.30400872376098853,-0.2514313342302585,-0.28581858195327864,0.027287180140775382,0.0,-0.34999125035692996,-0.3482578901032028,-0.31442358061949116,0.35886196007977256,-0.03284513492324278,-0.21157763222088652,0.13544580428560885,-0.737760901452139,0.0,-0.13814310036932095,-0.16779192950349286,0.0,1.0877292910403669,1.3348890056823144,1.4672082173515093,0.29428768642056186,-0.4147614234201915,0.0,-0.22000734840294592,-0.24988718708375368,-0.3067102564336961,-0.3439574425320488,-0.2644644077124355,-0.21705688834231646,-0.30545727604409645,-0.3441778000742036,-0.13651498420458819,-0.4063324202574108,0.1783311621891489,-0.09622504486493767,-0.3631450608616812,-0.6681377918699606,0.337836293880157,0.0,-0.4792530348900524,0.3779269373288065,0.0,0.0,0.0,-0.30993723724455036,-0.6197479265077847,-0.5376941452660844,0.0,0.0,0.5040638445142577,0.13740136964901176,-0.09622504486493764,-0.22765759444538225,-0.09622504486493767,0.0,-0.23517724187582092,-0.3237810263648817,-0.2476824920070451,-0.2938796959007981,0.0,-0.29597376215777643,-0.15371343041509344,-0.17959640829643997,-0.36880375309026625,-0.15901382303513992,-0.04376037624022712,-0.23425286532268833,-0.16752422536831607,0.0,0.5241666298324847,-0.5403821531067468,-0.5831203586570012,-0.35598084039789485,-0.1360145237956077,-0.17165843696845598,0.2943435591831845,0.0004972737830365143,0.8884360507364601,-0.2258772417222311,0.43089494353621305,-0.19197291732187582,-0.37032082733642196,-0.335765895162113,-0.23089146910097072,0.8034078602853771,3.5141477018078398,-0.4028250676839442,-0.1342622540128084,-0.22719152969410547,-0.1358532763751324,-0.4799819718069445,-0.14810207928107974,1.4996491595374197,-0.13166153612265222,-0.1677050983124842,-0.13401887572789387,0.3968364681300113,-0.09622504486493762,-0.13345099217921402,-0.2731944444274791,-0.1245330990169104,-0.09622504486493767,0.0,-0.09622504486493766,-0.2292421346744024,-0.3057336614047723,1.0515990164083515,-0.29599936395118165,-0.4824905740057288,-0.17939888720515706,0.0,-0.3726145395631625,-0.8110626293011987,-0.44197819104654795
1-3,-0.09622504486493762,-0.11072255892128344,0.3912546718797531,-0.3309293939447612,0.26475843138271427,1.172121083018592,-0.15095586330038727,-0.1994696516333448,-0.15576706203027013,5.53767457089842,-0.36896752916854403,0.13696031474408252,-0.10415413391024642,0.0,-0.4176438258962746,-0.30400872376098853,-0.2514313342302585,-0.2929434562689963,0.3262189273369425,0.0,-0.34999125035692996,-0.3482578901032028,-0.31442358061949116,0.6442939629321386,-0.9309792116162506,-0.21157763222088652,-0.16488998138304817,-0.4194149557067747,0.0,-0.13814310036932095,-0.16779192950349286,0.0,2.2353459953162393,-0.6972056597085957,1.7855111081841415,-0.2750125580051014,-0.4147614234201915,0.0,-0.22000734840294592,-0.24988718708375368,-0.3067102564336961,1.654423341773505,-0.2644644077124355,0.38819693842051956,-0.30545727604409645,-0.3441778000742036,-0.13651498420458819,-0.4063324202574108,1.5905005790117681,-0.09622504486493767,-0.3631450608616812,0.05982670091796215,-0.05871975121494141,0.0,-0.4792530348900524,0.527343100436677,0.0,0.0,0.0,-0.30993723724455036,-0.15806556311366607,-0.5376941452660844,0.0,0.0,2.2905356103461263,-0.31805374841748824,-0.09622504486493764,-0.22765759444538225,-0.09622504486493767,0.0,-0.23517724187582092,-0.3237810263648817,-0.2476824920070451,1.8173351356453789,0.0,-0.29597376215777643,-0.15371343041509344,-0.17959640829643997,-0.36880375309026625,-0.15901382303513992,1.8399726038045283,-0.23425286532268833,-0.16752422536831607,0.0,0.16229518120241615,0.5608860676321059,-0.10010047747511311,-0.35598084039789485,-0.1360145237956077,-0.17165843696845598,2.149586647975103,0.3696068469665928,0.4442899324569964,-0.28108808129891755,0.9108177988736653,-0.19197291732187582,-0.37032082733642196,-0.335765895162113,-0.04157798367575696,2.1403766659511194,0.40691331567774464,-0.4028250676839442,-0.1342622540128084,0.4493258448992361,-0.1358532763751324,-0.4799819718069445,-0.14810207928107974,-0.5768042414376395,-0.13166153612265222,-0.1677050983124842,-0.13401887572789387,0.6563138333149318,-0.09622504486493762,-0.13345099217921402,0.9352380871282074,-0.1245330990169104,-0.09622504486493767,0.0,-0.09622504486493766,-0.2292421346744024,-1.4427114152547056,0.21945781553585933,-0.29599936395118165,0.08497291517898237,-0.17939888720515706,0.0,0.9902669779005804,-0.7136877745744747,1.5290162307962925
2-3,-0.09622504486493762,-0.11072255892128344,-0.697129750525853,-0.3309293939447612,-0.1312034834676482,0.3561348523560601,-0.23034069909111354,-0.37323099439653024,-0.15576706203027013,1.7027027672515713,-0.5508106430821383,0.12776754212455255,-0.10415413391024642,0.0,-0.4176438258962746,-0.30400872376098853,-0.2514313342302585,-0.26871888359555607,0.49274711527270687,0.0,-0.34999125035692996,-0.3482578901032028,-0.31442358061949116,1.5355677660584277,-0.9405351244680263,-0.21157763222088652,-0.16488998138304817,-0.4135737456930983,0.0,-0.13814310036932095,-0.16779192950349286,0.0,-0.4915597515411089,-0.3726971503675363,-0.6662814293104595,-0.2750125580051014,-0.4147614234201915,0.0,-0.22000734840294592,-0.24988718708375368,-0.3067102564336961,1.5675372207167417,-0.2644644077124355,0.2853023955224896,-0.30545727604409645,-0.3441778000742036,-0.13651498420458819,-0.4063324202574108,0.14510364649920487,-0.09622504486493767,-0.3631450608616812,0.35707679766577904,-0.11810737149488368,0.0,-0.4792530348900524,0.15753809674469751,0.0,0.0,0.0,-0.30993723724455036,-0.6197479265077847,-0.5376941452660844,0.0,0.0,0.7427905838236389,-0.31805374841748824,-0.09622504486493764,-0.22765759444538225,-0.09622504486493767,0.0,-0.23517724187582092,-0.3237810263648817,-0.2476824920070451,2.1628066535347528,0.0,-0.29597376215777643,-0.15371343041509344,-0.17959640829643997,-0.36880375309026625,-0.15901382303513992,0.5348147533449479,-0.23425286532268833,-0.16752422536831607,0.0,-0.30635800636767274,0.49610558405923216,-0.18924270790549697,-0.35598084039789485,-0.1360145237956077,-0.17165843696845598,1.5294410018335716,0.46328349842099886,-0.43877705565158465,-0.8070140170603434,1.1487513834916698,-0.19197291732187582,-0.37032082733642196,-0.335765895162113,-0.1312961137250974,2.3115738910668546,0.8126293483810172,-0.4028250676839442,-0.1342622540128084,0.54248350806736,-0.1358532763751324,-0.4799819718069445,-0.14810207928107974,-0.5768042414376395,-0.13166153612265222,-0.1677050983124842,-0.13401887572789387,1.1886898067115785,-0.09622504486493762,-0.13345099217921402,-0.6671434497146329,-0.1245330990169104,-0.09622504486493767,0.0,-0.09622504486493766,-0.2292421346744024,-0.5553015205209586,0.23545648269151576,-0.29599936395118165,-0.4824905740057288,-0.17939888720515706,0.0,1.6331784956127477,-0.6286411124645288,-0.42936856593471523
