fold,block,feature,training_samples_above_0_1_percent
1,ARC_C,ARC_C::Bathyarchaeia,35
1,ARC_C,ARC_C::Bivalvia,2
1,ARC_C,ARC_C::Ichthyosporea,1
1,ARC_C,ARC_C::LKM11,0
1,ARC_C,ARC_C::Lokiarchaeia,1
1,ARC_C,ARC_C::Methanomethylicia,9
1,ARC_C,ARC_C::Methanomicrobia,85
1,ARC_C,ARC_C::Methanosarcinia,83
1,ARC_C,ARC_C::Micrarchaeia,10
1,ARC_C,ARC_C::Nanoarchaeia,29
1,ARC_C,ARC_C::Nitrososphaeria,6
1,ARC_C,ARC_C::Odinarchaeia,0
1,ARC_C,ARC_C::Thermococci,76
1,ARC_C,ARC_C::Thermoplasmata,82
1,ARC_C,ARC_C::unidentified,75
2,BAC_C,BAC_C::ABY1,1
2,BAC_C,BAC_C::Acetothermiia,4
2,BAC_C,BAC_C::Acidimicrobiia,39
2,BAC_C,BAC_C::Acidobacteriae,5
2,BAC_C,BAC_C::Actinobacteria,70
2,BAC_C,BAC_C::Alphaproteobacteria,60
2,BAC_C,BAC_C::Aminicenantia,34
2,BAC_C,BAC_C::Anaerolineae,64
2,BAC_C,BAC_C::BRH-c20a,6
2,BAC_C,BAC_C::Babeliae,24
2,BAC_C,BAC_C::Bacilli,86
2,BAC_C,BAC_C::Bacteroidia,90
2,BAC_C,BAC_C::Bdellovibrionia,2
2,BAC_C,BAC_C::Berkelbacteria,0
2,BAC_C,BAC_C::Blastocatellia,21
2,BAC_C,BAC_C::Brachyspirae,20
2,BAC_C,BAC_C::CK-2C2-2,5
2,BAC_C,BAC_C::Caldatribacteriia,55
2,BAC_C,BAC_C::Caldisericia,56
2,BAC_C,BAC_C::Calditrichia,0
2,BAC_C,BAC_C::Campylobacteria,15
2,BAC_C,BAC_C::Chlamydiae,15
2,BAC_C,BAC_C::Chthonomonadetes,10
2,BAC_C,BAC_C::Cloacimonadia,89
2,BAC_C,BAC_C::Clostridia,90
2,BAC_C,BAC_C::Coprothermobacteria,4
2,BAC_C,BAC_C::Coriobacteriia,17
2,BAC_C,BAC_C::D8A-2,73
2,BAC_C,BAC_C::Dadabacteriia,0
2,BAC_C,BAC_C::Deinococci,0
2,BAC_C,BAC_C::Desulfitobacteriia,2
2,BAC_C,BAC_C::Desulfobacteria,0
2,BAC_C,BAC_C::Desulfobulbia,26
2,BAC_C,BAC_C::Desulfotomaculia,61
2,BAC_C,BAC_C::Desulfovibrionia,37
2,BAC_C,BAC_C::Desulfuromonadia,21
2,BAC_C,BAC_C::Dethiobacteria,34
2,BAC_C,BAC_C::Elusimicrobia,0
2,BAC_C,BAC_C::Endomicrobia,7
2,BAC_C,BAC_C::Fermentibacteria,11
2,BAC_C,BAC_C::Fibrobacteria,12
2,BAC_C,BAC_C::Fimbriimonadia,12
2,BAC_C,BAC_C::Fusobacteriia,12
2,BAC_C,BAC_C::Gammaproteobacteria,74
2,BAC_C,BAC_C::Gemmatimonadetes,9
2,BAC_C,BAC_C::Gracilibacteria,14
2,BAC_C,BAC_C::Halanaerobiia,2
2,BAC_C,BAC_C::Holophagae,21
2,BAC_C,BAC_C::Hydrogenedentia,45
2,BAC_C,BAC_C::Hydrothermae,1
2,BAC_C,BAC_C::Ignavibacteria,16
2,BAC_C,BAC_C::Incertae_Sedis,87
2,BAC_C,BAC_C::JS1,43
2,BAC_C,BAC_C::KD4-96,0
2,BAC_C,BAC_C::Kapabacteria,29
2,BAC_C,BAC_C::Kiritimatiellae,71
2,BAC_C,BAC_C::LCP-89,0
2,BAC_C,BAC_C::Latescibacteria,0
2,BAC_C,BAC_C::Latescibacterota,0
2,BAC_C,BAC_C::Lentisphaeria,8
2,BAC_C,BAC_C::Leptospirae,47
2,BAC_C,BAC_C::Limnochordia,46
2,BAC_C,BAC_C::MBNT15,0
2,BAC_C,BAC_C::MD2902-B12,0
2,BAC_C,BAC_C::MVP-15,38
2,BAC_C,BAC_C::Marinimicrobia_(SAR406_clade),23
2,BAC_C,BAC_C::Microgenomatia,1
2,BAC_C,BAC_C::Moorellia,7
2,BAC_C,BAC_C::Myxococcia,1
2,BAC_C,BAC_C::NB1-j,0
2,BAC_C,BAC_C::NKB15,5
