block,workbook_sample,SampleID
BAC_C,2-30-YSDM,2-30
BAC_C,2-31-YSYS,2-31
BAC_C,2-32-JJNG,2-32
BAC_C,2-32'-JJYS,2-32'
BAC_C,2-33-CWMS,2-33
BAC_C,2-34-CWSS,2-34
BAC_C,2-4-BSOC,2-4
BAC_C,2-5-BSES,2-5
BAC_C,2-6-DGGW,2-6
BAC_C,2-7-DGDS,2-7
BAC_C,2-8-DGJY,2-8
BAC_C,2-9-DGGB,2-9
BAC_C,3-1-BSSG,3-1
BAC_C,3-10-DGDC,3-10
BAC_C,3-11-DGYSa,3-11
BAC_C,3-12-USOS,3-12
BAC_C,3-13-USYY,3-13
BAC_C,3-14-USYJ,3-14
BAC_C,3-15-GSGA,3-15
BAC_C,3-16-GCGD,3-16
BAC_C,3-17-MGYS,3-17
BAC_C,3-18-ADAS,3-18
BAC_C,3-19-ADPC,3-19
BAC_C,3-2-BSNS,3-2
BAC_C,3-20-YCGH,3-20
BAC_C,3-21-YCDG,3-21
BAC_C,3-22-UJGN,3-22
BAC_C,3-23-CGSJ,3-23
BAC_C,3-24-GHGHa,3-24
BAC_C,3-25-GHGHb,3-25
BAC_C,3-26-GHHM,3-26
BAC_C,3-27-GHJY,3-27
BAC_C,3-28-MYSN,3-28
BAC_C,3-29-SCHG,3-29
BAC_C,3-3-BSIGa,3-3
BAC_C,3-30-YSDM,3-30
BAC_C,3-31-YSYS,3-31
BAC_C,3-32-JJNG,3-32
BAC_C,3-32'-JJYS,3-32'
BAC_C,3-33-CWMS,3-33
BAC_C,3-34-CWSS,3-34
BAC_C,3-4-BSOC,3-4
BAC_C,3-5-BSES,3-5
BAC_C,3-6-DGGW,3-6
BAC_C,3-7-DGDS,3-7
BAC_C,3-8-DGJY,3-8
BAC_C,3-9-DGGB,3-9
BAC_C,4-1-BSSG,4-1
BAC_C,4-10-DGDC,4-10
BAC_C,4-11-DGYSa,4-11
BAC_C,4-12-USOS,4-12
BAC_C,4-13-USYY,4-13
BAC_C,4-14-USYJ,4-14
BAC_C,4-15-GSGA,4-15
BAC_C,4-16-GCGD,4-16
BAC_C,4-17-MGYS,4-17
