Feature ID,Domain
F00000,Bacteria
F00001,Bacteria
F00002,Bacteria
F00003,Bacteria
F00004,Bacteria
F00005,Bacteria
F00006,Bacteria
F00007,Bacteria
F00008,Bacteria
F00009,Bacteria
F00010,Bacteria
F00011,Bacteria
F00012,Bacteria
F00013,Other
F00014,Bacteria
F00015,Bacteria
F00016,Bacteria
F00017,Bacteria
F00018,Bacteria
F00019,Bacteria
F00020,Bacteria
F00021,Bacteria
F00022,Bacteria
F00023,Bacteria
F00024,Bacteria
F00025,Bacteria
F00026,Other
F00027,Bacteria
F00028,Bacteria
F00029,Bacteria
F00030,Bacteria
F00031,Bacteria
F00032,Bacteria
F00033,Archaea
F00034,Other
F00035,Bacteria
F00036,Bacteria
F00037,Bacteria
F00038,Bacteria
F00039,Bacteria
F00040,Bacteria
F00041,Bacteria
F00042,Other
F00043,Bacteria
F00044,Bacteria
F00045,Archaea
F00046,Bacteria
F00047,Archaea
F00048,Bacteria
F00049,Bacteria
F00050,Bacteria
F00051,Bacteria
F00052,Bacteria
F00053,Bacteria
F00054,Bacteria
F00055,Other
F00056,Bacteria
F00057,Bacteria
F00058,Bacteria
F00059,Bacteria
F00060,Bacteria
F00061,Bacteria
F00062,Bacteria
F00063,Bacteria
F00064,Bacteria
F00065,Archaea
F00066,Bacteria
F00067,Bacteria
F00068,Bacteria
F00069,Bacteria
F00070,Bacteria
F00071,Bacteria
F00072,Bacteria
F00073,Bacteria
F00074,Bacteria
F00075,Bacteria
F00076,Bacteria
F00077,Bacteria
F00078,Bacteria
F00079,Bacteria
F00080,Bacteria
F00081,Bacteria
F00082,Bacteria
F00083,Bacteria
F00084,Bacteria
F00085,Bacteria
F00086,Bacteria
F00087,Bacteria
F00088,Bacteria
F00089,Bacteria
F00090,Bacteria
F00091,Bacteria
F00092,Bacteria
F00093,Bacteria
F00094,Bacteria
F00095,Bacteria
F00096,Bacteria
F00097,Bacteria
F00098,Archaea
F00099,Bacteria
F00100,Bacteria
F00101,Bacteria
F00102,Bacteria
F00103,Bacteria
F00104,Bacteria
F00105,Bacteria
F00106,Bacteria
F00107,Bacteria
F00108,Bacteria
F00109,Bacteria
F00110,Bacteria
F00111,Bacteria
F00112,Archaea
F00113,Archaea
F00114,Archaea
F00115,Bacteria
F00116,Bacteria
F00117,Bacteria
F00118,Bacteria
F00119,Bacteria
F00120,Bacteria
F00121,Bacteria
F00122,Bacteria
F00123,Bacteria
F00124,Bacteria
F00125,Bacteria
F00126,Bacteria
F00127,Bacteria
F00128,Bacteria
F00129,Bacteria
F00130,Bacteria
F00131,Bacteria
F00132,Bacteria
F00133,Bacteria
F00134,Bacteria
F00135,Bacteria
F00136,Bacteria
F00137,Bacteria
F00138,Bacteria
F00139,Bacteria
F00140,Bacteria
F00141,Bacteria
F00142,Bacteria
F00143,Bacteria
F00144,Bacteria
F00145,Bacteria
F00146,Bacteria
F00147,Bacteria
F00148,Bacteria
F00149,Bacteria
F00150,Bacteria
F00151,Bacteria
F00152,Bacteria
F00153,Bacteria
F00154,Bacteria
F00155,Bacteria
F00156,Bacteria
F00157,Bacteria
F00158,Bacteria
F00159,Bacteria
F00160,Bacteria
F00161,Bacteria
F00162,Bacteria
F00163,Bacteria
F00164,Bacteria
F00165,Bacteria
F00166,Bacteria
F00167,Bacteria
F00168,Bacteria
F00169,Bacteria
F00170,Bacteria
F00171,Bacteria
F00172,Bacteria
F00173,Bacteria
F00174,Bacteria
F00175,Bacteria
F00176,Bacteria
F00177,Archaea
F00178,Archaea
F00179,Archaea
F00180,Archaea
F00181,Archaea
F00182,Archaea
F00183,Archaea
F00184,Archaea
F00185,Archaea
F00186,Archaea
F00187,Archaea
F00188,Archaea
F00189,Archaea
F00190,Archaea
F00191,Archaea
F00192,Archaea
F00193,Archaea
F00194,Archaea
F00195,Archaea
F00196,Archaea
F00197,Bacteria
F00198,Bacteria
F00199,Bacteria
F00200,Bacteria
F00201,Bacteria
F00202,Bacteria
F00203,Bacteria
F00204,Bacteria
F00205,Bacteria
F00206,Bacteria
F00207,Bacteria
F00208,Bacteria
F00209,Bacteria
F00210,Bacteria
F00211,Bacteria
F00212,Bacteria
F00213,Bacteria
F00214,Bacteria
F00215,Bacteria
F00216,Bacteria
F00217,Bacteria
F00218,Bacteria
F00219,Bacteria
F00220,Bacteria
F00221,Archaea
F00222,Bacteria
F00223,Bacteria
F00224,Bacteria
F00225,Bacteria
F00226,Bacteria
F00227,Bacteria
F00228,Bacteria
F00229,Bacteria
F00230,Bacteria
F00231,Bacteria
F00232,Bacteria
F00233,Archaea
F00234,Bacteria
F00235,Bacteria
F00236,Bacteria
F00237,Bacteria
F00238,Bacteria
F00239,Bacteria
