mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__regressor__l1_ratio,param_model__regressor__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.09196767807006836,0.020532747225127934,0.0019852161407470704,4.68924192476453e-05,0.1,0.0001,"{'model__regressor__l1_ratio': 0.1, 'model__regressor__alpha': 0.0001}",-4.630508305611661,-1.8684525563723944,-0.8136675783332347,-1.158437864808591,-1.672478397498059,-2.028708940524788,1.3531917455909717,20
0.11688098907470704,0.03590260254219096,0.0019919872283935547,0.00013490986453063605,0.5,0.0001,"{'model__regressor__l1_ratio': 0.5, 'model__regressor__alpha': 0.0001}",-3.304368159939977,-1.8010244578233898,-0.8303133275125516,-1.1437056965973003,-1.7863573221449471,-1.7731537928036332,0.8521410204993707,19
0.13929524421691894,0.05106833160017523,0.002154684066772461,0.0002379023494487532,0.9,0.0001,"{'model__regressor__l1_ratio': 0.9, 'model__regressor__alpha': 0.0001}",-2.7027175550816653,-1.651759497441037,-0.8842928242541522,-1.052165304627402,-1.9680123431834773,-1.6517895049175468,0.6562083491340368,17
0.15946669578552247,0.06331227140768082,0.0019503593444824218,3.7563632147578484e-05,1.0,0.0001,"{'model__regressor__l1_ratio': 1.0, 'model__regressor__alpha': 0.0001}",-2.9495364783434774,-1.6680021315162255,-0.8922211994516274,-1.0863630497153165,-2.0734976650869985,-1.733924104822729,0.7382639708199096,18
0.01590733528137207,0.0025021374104572404,0.0019041061401367187,1.3081860363079216e-05,0.1,0.001,"{'model__regressor__l1_ratio': 0.1, 'model__regressor__alpha': 0.001}",-1.9874810510869334,-0.7545547494835465,-0.5741259274675016,-0.8010604386547694,-0.7880094041936678,-0.9810463141772836,0.5097944043748383,16
0.017046594619750978,0.0038463443207046597,0.0019188880920410155,6.756296254752546e-06,0.5,0.001,"{'model__regressor__l1_ratio': 0.5, 'model__regressor__alpha': 0.001}",-1.3455526186760844,-0.729192515902262,-0.5843831333754402,-0.7995607909531637,-0.8107433633853752,-0.8538864844584652,0.2587388024423599,15
0.03595499992370606,0.020863619655355672,0.0018956661224365234,3.2898308392830543e-06,0.9,0.001,"{'model__regressor__l1_ratio': 0.9, 'model__regressor__alpha': 0.001}",-1.0387753221654015,-0.6586404716829324,-0.5996376713770888,-0.747926211255084,-0.8441590411894502,-0.7778277435339914,0.15449588283281854,13
0.04555153846740723,0.03609213241334195,0.001979207992553711,0.00013808948885946093,1.0,0.001,"{'model__regressor__l1_ratio': 1.0, 'model__regressor__alpha': 0.001}",-0.9697222690352957,-0.6228691979447785,-0.6013835980636101,-0.7314072337722968,-0.8719141128907691,-0.75945928234135,0.1423294087893403,11
0.006352138519287109,0.00042139417602452396,0.0019241809844970704,1.3882923673571432e-05,0.1,0.01,"{'model__regressor__l1_ratio': 0.1, 'model__regressor__alpha': 0.01}",-1.42733528124523,-1.0060485861616917,-0.4142181644606164,-0.506000486672966,-0.44950757708812,-0.7606220191257248,0.3965755224551558,12
0.005938434600830078,0.0005319853710042593,0.0019144535064697266,1.272842640314664e-05,0.5,0.01,"{'model__regressor__l1_ratio': 0.5, 'model__regressor__alpha': 0.01}",-2.0306499919533945,-0.68612095163368,-0.3895082259738726,-0.42748878497344567,-0.40866111714178166,-0.7884858143352349,0.6304314682968309,14
0.007214164733886719,0.001347869519694268,0.0019124507904052734,1.251331911727405e-05,0.9,0.01,"{'model__regressor__l1_ratio': 0.9, 'model__regressor__alpha': 0.01}",-1.5478560603965998,-0.5332799046673793,-0.36679400806127216,-0.393167170626656,-0.37814087855920614,-0.6438476044622227,0.4559947245343018,10
0.005325603485107422,0.00037499449732750684,0.0019035816192626953,1.143355679389978e-05,1.0,0.01,"{'model__regressor__l1_ratio': 1.0, 'model__regressor__alpha': 0.01}",-1.4334807971657677,-0.5038342415563994,-0.36597964867050803,-0.39229551688531517,-0.3655206173063249,-0.612222164316863,0.41378217551965646,9
0.005011272430419922,7.390089904834106e-05,0.0019075870513916016,7.76381100748858e-06,0.1,0.1,"{'model__regressor__l1_ratio': 0.1, 'model__regressor__alpha': 0.1}",-0.7750140095915276,-0.2188604027221687,-0.24956040860744202,-0.2738935089757837,-0.36294538191539144,-0.37605474236246267,0.20517706827686458,8
0.0047928810119628905,3.595409089303226e-05,0.0019177436828613282,2.18392459583716e-05,0.5,0.1,"{'model__regressor__l1_ratio': 0.5, 'model__regressor__alpha': 0.1}",-0.45067671145902094,-0.1024513717163072,-0.169733490940664,-0.204737346002287,-0.41961432927881104,-0.269442649879418,0.139579438370362,7
0.004844188690185547,0.00010982658101063414,0.0019014358520507812,9.299424913298612e-06,0.9,0.1,"{'model__regressor__l1_ratio': 0.9, 'model__regressor__alpha': 0.1}",-0.450478752670884,-0.08364358534541866,-0.16550398552922135,-0.18200453466056649,-0.4129736740998369,-0.2589209064611855,0.14545903363251547,6
0.004784679412841797,3.2532946790502755e-05,0.0019044876098632812,5.080050409474973e-06,1.0,0.1,"{'model__regressor__l1_ratio': 1.0, 'model__regressor__alpha': 0.1}",-0.45046493764439755,-0.0821868108801346,-0.1648595576472238,-0.17611347589810808,-0.4049069310148533,-0.25570634261694347,0.14483709233574704,5
0.004749107360839844,4.236595509991894e-05,0.0019046306610107423,7.90543663767706e-06,0.1,1.0,"{'model__regressor__l1_ratio': 0.1, 'model__regressor__alpha': 1.0}",-0.4511116622639203,-0.06964594666856852,-0.15220587541953617,-0.15046374864356962,-0.34387499568909413,-0.23346044573693772,0.14134310873028602,4
0.004739999771118164,3.654047665678831e-05,0.0019046783447265625,7.257329962160345e-06,0.5,1.0,"{'model__regressor__l1_ratio': 0.5, 'model__regressor__alpha': 1.0}",-0.453256272467429,-0.08463750559346968,-0.15980947359834455,-0.08834001905470452,-0.29496711998839864,-0.2162020781404693,0.140880581781508,3
0.0047721385955810545,7.137814268181929e-05,0.0019481658935546875,3.886717197358598e-05,0.9,1.0,"{'model__regressor__l1_ratio': 0.9, 'model__regressor__alpha': 1.0}",-0.45423118639227383,-0.08463750559346968,-0.15980947359834455,-0.08494557954357036,-0.29496711998839864,-0.21571817302321145,0.14182965020903052,1
0.004738998413085937,4.909232493789183e-05,0.0019175052642822266,1.5135054775653724e-05,1.0,1.0,"{'model__regressor__l1_ratio': 1.0, 'model__regressor__alpha': 1.0}",-0.45423118639227383,-0.08463750559346968,-0.15980947359834455,-0.08494557954357036,-0.29496711998839864,-0.21571817302321145,0.14182965020903052,1
