mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__regressor__hidden_layer_sizes,param_model__regressor__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.015074586868286133,0.0010749337698887087,0.0020159244537353515,6.065915940742764e-05,"(32,)",0.001,"{'model__regressor__hidden_layer_sizes': (32,), 'model__regressor__alpha': 0.001}",-4.077288038573086,-0.5506840556598469,-0.2807295356761753,-0.28292342300092793,-0.34314148216320167,-1.1069533070146478,1.488449083533629,12
0.021265268325805664,0.002103107846611322,0.001955747604370117,4.731897089217782e-05,"(64,)",0.001,"{'model__regressor__hidden_layer_sizes': (64,), 'model__regressor__alpha': 0.001}",-3.1443697393120313,-0.22309171450385554,-0.23464534678217405,-0.36401724728586676,-0.3114883910849138,-0.8555224877937683,1.1455853829240372,10
0.018273687362670897,0.002581626450131279,0.001924896240234375,9.834412366101656e-06,"(32, 16)",0.001,"{'model__regressor__hidden_layer_sizes': (32, 16), 'model__regressor__alpha': 0.001}",-4.168040944326713,-0.26448583049859353,-0.152602044569748,-0.30748230323708836,-0.33461897392985385,-1.0454460193123993,1.5625321615993997,11
0.0693812370300293,0.0117947065718367,0.0019739151000976564,9.517285046803794e-05,"(32,)",0.01,"{'model__regressor__hidden_layer_sizes': (32,), 'model__regressor__alpha': 0.01}",-0.45640239428848406,-0.12132485353573298,-0.23209108917387591,-0.3110474950765287,-0.2783884049541077,-0.27985084740574584,0.10913963854562563,8
0.07881045341491699,0.026191401955526106,0.0022268772125244142,0.0003390812266901453,"(64,)",0.01,"{'model__regressor__hidden_layer_sizes': (64,), 'model__regressor__alpha': 0.01}",-1.5570552974299319,-0.18881071089113413,-0.25763387820150363,-0.3083898385548744,-0.24951315431111118,-0.5122805758777111,0.5237652267169255,9
0.10392365455627442,0.017180022876291313,0.0022175788879394533,0.00022056857220800204,"(32, 16)",0.01,"{'model__regressor__hidden_layer_sizes': (32, 16), 'model__regressor__alpha': 0.01}",-0.44034190610629365,-0.06148323441803905,-0.1716179686767867,-0.26915576810772224,-0.25037874154771766,-0.23859552377131185,0.12460267370062134,1
0.12077035903930664,0.037701754524908315,0.002143383026123047,0.00023638559473125443,"(32,)",0.1,"{'model__regressor__hidden_layer_sizes': (32,), 'model__regressor__alpha': 0.1}",-0.46968034108835377,-0.0793056105608536,-0.17659536887509336,-0.2889720631412213,-0.2622847097438463,-0.2553676186818737,0.1298537222144101,7
0.19511489868164061,0.05648621286128963,0.001964282989501953,2.8450600031587727e-05,"(64,)",0.1,"{'model__regressor__hidden_layer_sizes': (64,), 'model__regressor__alpha': 0.1}",-0.45460557012209113,-0.09801921926184977,-0.17557429639547464,-0.2743128848936631,-0.26039033076113055,-0.25258046028684183,0.11930344828588206,6
0.1526540756225586,0.03675598197194672,0.0019585132598876954,3.10104035441751e-05,"(32, 16)",0.1,"{'model__regressor__hidden_layer_sizes': (32, 16), 'model__regressor__alpha': 0.1}",-0.4648759905061849,-0.06736561813349382,-0.17074939126963332,-0.294162782343336,-0.25589923708863477,-0.25061060386825657,0.13250732498773166,5
0.1247830867767334,0.03712235797648652,0.0019969940185546875,8.448687911539615e-05,"(32,)",1.0,"{'model__regressor__hidden_layer_sizes': (32,), 'model__regressor__alpha': 1.0}",-0.4473657040229467,-0.07171232634802337,-0.17031316369049945,-0.2841468371475,-0.26405381039505665,-0.24751836832080523,0.1252377189001512,3
0.2686031341552734,0.04427292759619669,0.0021416664123535155,0.00011377872172954866,"(64,)",1.0,"{'model__regressor__hidden_layer_sizes': (64,), 'model__regressor__alpha': 1.0}",-0.4420459161089737,-0.09076676183794173,-0.17202635901754826,-0.270675960412874,-0.26615933049262214,-0.24833486557399195,0.1174661676019535,4
0.18757071495056152,0.006020313213800894,0.001983165740966797,1.2330643809991808e-05,"(32, 16)",1.0,"{'model__regressor__hidden_layer_sizes': (32, 16), 'model__regressor__alpha': 1.0}",-0.43407335539524045,-0.08659877319500496,-0.17048233646428268,-0.2661158029800365,-0.26688030789077977,-0.24483011518506886,0.11603193117172536,2
