mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__regressor__kernel,param_model__regressor__gamma,param_model__regressor__epsilon,param_model__regressor__C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.004833745956420899,0.00020653173141876394,0.0020253658294677734,4.179471571374341e-05,rbf,0.1,0.2,100.0,"{'model__regressor__kernel': 'rbf', 'model__regressor__gamma': 0.1, 'model__regressor__epsilon': 0.2, 'model__regressor__C': 100}",-0.4452342713247289,-0.12753853068678234,-0.1628900096473907,-0.13358857788301523,-0.2922191980968463,-0.2322941175277527,0.12203931424087576,16
0.0046844482421875,5.351825344862115e-05,0.0019670963287353516,2.1176402081790685e-05,rbf,0.01,0.1,1.0,"{'model__regressor__kernel': 'rbf', 'model__regressor__gamma': 0.01, 'model__regressor__epsilon': 0.1, 'model__regressor__C': 1}",-0.4518893458772872,-0.061063893301519324,-0.15648011116366103,-0.07306417977058402,-0.29104241921179674,-0.20670798986496966,0.14752755942430215,9
0.004710102081298828,3.184279841176142e-05,0.001978349685668945,6.777800335400167e-06,rbf,0.1,0.2,10.0,"{'model__regressor__kernel': 'rbf', 'model__regressor__gamma': 0.1, 'model__regressor__epsilon': 0.2, 'model__regressor__C': 10}",-0.4452342713247289,-0.12753853068678234,-0.1628900096473907,-0.13358857788301523,-0.2922191980968463,-0.2322941175277527,0.12203931424087576,16
0.004760837554931641,6.114618068153446e-05,0.001988792419433594,2.5834982665304613e-05,rbf,scale,0.1,100.0,"{'model__regressor__kernel': 'rbf', 'model__regressor__gamma': 'scale', 'model__regressor__epsilon': 0.1, 'model__regressor__C': 100}",-0.43255218747180657,-0.11278097787368838,-0.1551234059935255,-0.1804474065359292,-0.2871287069875752,-0.23360653697250494,0.11491588686016437,18
0.004646015167236328,4.991539935817813e-05,0.0019603252410888674,5.561646771172842e-06,rbf,0.01,0.2,1.0,"{'model__regressor__kernel': 'rbf', 'model__regressor__gamma': 0.01, 'model__regressor__epsilon': 0.2, 'model__regressor__C': 1}",-0.4475349837929741,-0.07862958073033051,-0.15106179619984536,-0.09312708057657602,-0.2880610874245248,-0.21168290574485016,0.13920734122705525,11
0.004887437820434571,0.00023021027374297401,0.001978158950805664,1.984582274945452e-05,rbf,0.01,0.1,100.0,"{'model__regressor__kernel': 'rbf', 'model__regressor__gamma': 0.01, 'model__regressor__epsilon': 0.1, 'model__regressor__C': 100}",-0.4310730537921116,-0.12788158928804388,-0.16901572452199404,-0.19672343893170105,-0.28779588651541665,-0.2424979386098535,0.10792990900612795,19
0.0047454357147216795,2.0917558619552837e-05,0.0019711017608642577,5.614947358342602e-06,rbf,scale,0.1,10.0,"{'model__regressor__kernel': 'rbf', 'model__regressor__gamma': 'scale', 'model__regressor__epsilon': 0.1, 'model__regressor__C': 10}",-0.43255218747180657,-0.1077433849228177,-0.14851786336123624,-0.17278026805929694,-0.28672458787773664,-0.2296636583385788,0.11756242438437658,15
0.0046661376953125,2.4147647620859186e-05,0.0019621849060058594,1.2722708813300605e-05,rbf,scale,0.1,1.0,"{'model__regressor__kernel': 'rbf', 'model__regressor__gamma': 'scale', 'model__regressor__epsilon': 0.1, 'model__regressor__C': 1}",-0.45296754070028655,-0.05894219308509018,-0.15486068067371198,-0.07483881654970422,-0.2912569351876937,-0.20657323323929733,0.14812464533309386,8
0.004629182815551758,3.725724957857739e-05,0.0019548416137695314,6.123970446336812e-06,rbf,0.1,0.2,0.1,"{'model__regressor__kernel': 'rbf', 'model__regressor__gamma': 0.1, 'model__regressor__epsilon': 0.2, 'model__regressor__C': 0.1}",-0.4588181832688211,-0.056567702843802234,-0.1603746063393917,-0.054773494882663254,-0.29737381515229394,-0.20558156049739446,0.1546263084076016,7
0.004682207107543945,4.357691625450593e-05,0.0019717693328857424,6.019113011493022e-06,rbf,0.1,0.2,1.0,"{'model__regressor__kernel': 'rbf', 'model__regressor__gamma': 0.1, 'model__regressor__epsilon': 0.2, 'model__regressor__C': 1}",-0.45376040977314147,-0.08572241914334765,-0.15839735560886412,-0.08751356056602004,-0.29392114206976977,-0.21586297743222863,0.1409969508848784,12
