mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__regressor__n_estimators,param_model__regressor__min_samples_leaf,param_model__regressor__max_features,param_model__regressor__max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.47294249534606936,0.008854575375278827,0.007157230377197265,0.00022935473742052636,400,4,1.0,8,"{'model__regressor__n_estimators': 400, 'model__regressor__min_samples_leaf': 4, 'model__regressor__max_features': 1.0, 'model__regressor__max_depth': 8}",-0.44888118590776,-0.14404197382422976,-0.1661535045414629,-0.19666400163154835,-0.25149325486745333,-0.24144678415449086,0.10981096051431295,12
0.2875044822692871,0.008637106954122044,0.006903982162475586,0.00014036822521328184,400,1,0.5,4,"{'model__regressor__n_estimators': 400, 'model__regressor__min_samples_leaf': 1, 'model__regressor__max_features': 0.5, 'model__regressor__max_depth': 4}",-0.4514281818603143,-0.08987062515945261,-0.15422202167818416,-0.28976396586138015,-0.23386240438831662,-0.2438294397895296,0.12412845457217826,16
0.1839676856994629,0.001684284535548332,0.00455021858215332,3.287583863902796e-05,200,2,0.5,8,"{'model__regressor__n_estimators': 200, 'model__regressor__min_samples_leaf': 2, 'model__regressor__max_features': 0.5, 'model__regressor__max_depth': 8}",-0.45270742917499035,-0.1045584790862697,-0.14608635119676297,-0.2009066355399509,-0.2472967241477012,-0.23031112382913504,0.12126070358200783,2
0.32263526916503904,0.0011384122862654576,0.004631996154785156,6.40857432462827e-05,200,1,1.0,8,"{'model__regressor__n_estimators': 200, 'model__regressor__min_samples_leaf': 1, 'model__regressor__max_features': 1.0, 'model__regressor__max_depth': 8}",-0.44941337835297973,-0.07022387443557332,-0.16434483489815127,-0.3319108698715783,-0.22920832789167397,-0.24902025708999131,0.13157419416364316,18
0.13334693908691406,0.0011299897248736388,0.004411220550537109,1.6094931762280767e-05,200,4,0.5,4,"{'model__regressor__n_estimators': 200, 'model__regressor__min_samples_leaf': 4, 'model__regressor__max_features': 0.5, 'model__regressor__max_depth': 4}",-0.448960334714938,-0.12053148360343666,-0.16599502905242702,-0.16140612621104963,-0.26194804662819915,-0.2317682040420101,0.11809638863538813,3
0.6410554885864258,0.0025122093097581554,0.007050514221191406,5.1618585951975816e-05,400,1,1.0,8,"{'model__regressor__n_estimators': 400, 'model__regressor__min_samples_leaf': 1, 'model__regressor__max_features': 1.0, 'model__regressor__max_depth': 8}",-0.4487410465782781,-0.07541077305023894,-0.16443325544992873,-0.32840852398934783,-0.2295112991648663,-0.24930097964653197,0.12951162873168462,19
0.4088870048522949,0.001381885541351086,0.0069255828857421875,8.254339068774227e-05,400,2,1.0,4,"{'model__regressor__n_estimators': 400, 'model__regressor__min_samples_leaf': 2, 'model__regressor__max_features': 1.0, 'model__regressor__max_depth': 4}",-0.4553254423714746,-0.09693572866494769,-0.1586816649095077,-0.23482592587274204,-0.24870201169838205,-0.23889415470341083,0.12127776801092893,9
0.14656319618225097,0.0012670950172991463,0.004532241821289062,3.5067020887902846e-05,200,1,0.5,4,"{'model__regressor__n_estimators': 200, 'model__regressor__min_samples_leaf': 1, 'model__regressor__max_features': 0.5, 'model__regressor__max_depth': 4}",-0.4523629472614312,-0.08237085594757718,-0.1513725404753464,-0.29100328829587685,-0.23742517410432,-0.24290696121691036,0.12677973657793842,14
0.32120628356933595,0.0018617188799491579,0.004635286331176758,5.70878638344219e-05,200,2,1.0,,"{'model__regressor__n_estimators': 200, 'model__regressor__min_samples_leaf': 2, 'model__regressor__max_features': 1.0, 'model__regressor__max_depth': None}",-0.455337867211422,-0.09695747802759087,-0.1542665944453133,-0.23548814855932523,-0.2473439088902183,-0.23787879942677392,0.12184709214195208,8
0.26274762153625486,0.0023622158536460445,0.006795406341552734,2.8519486527557428e-05,400,4,0.5,4,"{'model__regressor__n_estimators': 400, 'model__regressor__min_samples_leaf': 4, 'model__regressor__max_features': 0.5, 'model__regressor__max_depth': 4}",-0.44676315981465553,-0.13006077591652182,-0.1643339111498902,-0.1622096803282165,-0.2571502981243914,-0.23210356506673507,0.11540943842477361,4
0.6347038269042968,0.004979196930551863,0.007061529159545899,2.4042903111445312e-05,400,2,1.0,,"{'model__regressor__n_estimators': 400, 'model__regressor__min_samples_leaf': 2, 'model__regressor__max_features': 1.0, 'model__regressor__max_depth': None}",-0.45408614492535077,-0.10327105183497624,-0.15768998740908785,-0.24113782281010765,-0.24627540939457798,-0.24049208327482008,0.11945047974964197,10
0.2357205867767334,0.0030957917490045976,0.004474210739135742,3.9518956490479367e-05,200,4,1.0,8,"{'model__regressor__n_estimators': 200, 'model__regressor__min_samples_leaf': 4, 'model__regressor__max_features': 1.0, 'model__regressor__max_depth': 8}",-0.44933384764453466,-0.1432077633839518,-0.1659125862197911,-0.1981293909301465,-0.2528163601542055,-0.24187998966652594,0.11007095611939943,13
0.24298858642578125,0.0033554065310177745,0.0045983314514160155,3.9133604627734184e-05,200,1,0.5,,"{'model__regressor__n_estimators': 200, 'model__regressor__min_samples_leaf': 1, 'model__regressor__max_features': 0.5, 'model__regressor__max_depth': None}",-0.45060611398475303,-0.0935783709914056,-0.14783366374176746,-0.2934086610275442,-0.23090431786263238,-0.24326622552162055,0.12423424454558699,15
0.1565805435180664,0.0019212997645306675,0.004509496688842774,4.414528434389584e-05,200,4,0.5,,"{'model__regressor__n_estimators': 200, 'model__regressor__min_samples_leaf': 4, 'model__regressor__max_features': 0.5, 'model__regressor__max_depth': None}",-0.4483060568143717,-0.12217908264210452,-0.16495678984964174,-0.1621393670668564,-0.2636510347549085,-0.23224646622557654,0.11766539715485697,5
0.30622034072875975,0.0033926976251499367,0.006943511962890625,1.6615157968031653e-05,400,4,0.5,8,"{'model__regressor__n_estimators': 400, 'model__regressor__min_samples_leaf': 4, 'model__regressor__max_features': 0.5, 'model__regressor__max_depth': 8}",-0.446179722385008,-0.13216564818778964,-0.16423237612711947,-0.16221068367709765,-0.2586637261124827,-0.2326904312978995,0.11490119373983329,6
0.2765763282775879,0.003831669427866631,0.006798839569091797,7.532255350700174e-05,400,2,0.5,4,"{'model__regressor__n_estimators': 400, 'model__regressor__min_samples_leaf': 2, 'model__regressor__max_features': 0.5, 'model__regressor__max_depth': 4}",-0.4524692307694228,-0.09982053228936306,-0.15183934036934327,-0.19348051206779562,-0.24883180181130196,-0.22928828346144536,0.12184754262815246,1
