block,taxon,feature,samples_above_0_1_percent,training_samples_above_0_1_percent,all_samples_percent_above_0_1,training_percent_above_0_1,domain,included_in_final_matrix
BAC_F,Deinococcaceae,BAC_F::Deinococcaceae,2,0,1.4492753623188406,0.0,Bacteria,True
BAC_F,Dermatophilaceae,BAC_F::Dermatophilaceae,6,1,4.3478260869565215,0.9174311926605505,Bacteria,True
BAC_F,Desulfitibacteraceae,BAC_F::Desulfitibacteraceae,6,6,4.3478260869565215,5.5045871559633035,Bacteria,True
BAC_F,Desulfobacteraceae,BAC_F::Desulfobacteraceae,1,0,0.7246376811594203,0.0,Bacteria,True
BAC_F,Desulfobulbaceae,BAC_F::Desulfobulbaceae,36,26,26.08695652173913,23.853211009174313,Bacteria,True
BAC_F,Desulfocapsaceae,BAC_F::Desulfocapsaceae,2,0,1.4492753623188406,0.0,Bacteria,True
BAC_F,Desulfomicrobiaceae,BAC_F::Desulfomicrobiaceae,37,26,26.81159420289855,23.853211009174313,Bacteria,True
BAC_F,Desulforegulaceae,BAC_F::Desulforegulaceae,1,0,0.7246376811594203,0.0,Bacteria,True
BAC_F,Desulfosarcinaceae,BAC_F::Desulfosarcinaceae,1,0,0.7246376811594203,0.0,Bacteria,True
BAC_F,Desulfotomaculales,BAC_F::Desulfotomaculales,83,70,60.14492753623188,64.22018348623854,Bacteria,True
BAC_F,Desulfovibrionaceae,BAC_F::Desulfovibrionaceae,17,12,12.318840579710145,11.009174311926607,Bacteria,True
BAC_F,Desulfuromonadaceae,BAC_F::Desulfuromonadaceae,1,0,0.7246376811594203,0.0,Bacteria,True
BAC_F,Dethiobacteraceae,BAC_F::Dethiobacteraceae,47,41,34.05797101449275,37.61467889908257,Bacteria,True
BAC_F,Devosiaceae,BAC_F::Devosiaceae,14,12,10.144927536231885,11.009174311926607,Bacteria,True
BAC_F,Dietziaceae,BAC_F::Dietziaceae,1,1,0.7246376811594203,0.9174311926605505,Bacteria,True
BAC_F,Diplorickettsiaceae,BAC_F::Diplorickettsiaceae,1,1,0.7246376811594203,0.9174311926605505,Bacteria,True
BAC_F,Dongiaceae,BAC_F::Dongiaceae,1,1,0.7246376811594203,0.9174311926605505,Bacteria,True
BAC_F,Dysgonomonadaceae,BAC_F::Dysgonomonadaceae,128,103,92.7536231884058,94.4954128440367,Bacteria,True
BAC_F,Eggerthellaceae,BAC_F::Eggerthellaceae,1,1,0.7246376811594203,0.9174311926605505,Bacteria,True
BAC_F,Elsteraceae,BAC_F::Elsteraceae,1,1,0.7246376811594203,0.9174311926605505,Bacteria,True
BAC_F,Endomicrobiaceae,BAC_F::Endomicrobiaceae,7,7,5.072463768115942,6.422018348623854,Bacteria,True
BAC_F,Enterobacteriaceae,BAC_F::Enterobacteriaceae,16,14,11.594202898550725,12.844036697247708,Bacteria,True
BAC_F,Enterococcaceae,BAC_F::Enterococcaceae,4,3,2.898550724637681,2.7522935779816518,Bacteria,True
BAC_F,Erwiniaceae,BAC_F::Erwiniaceae,3,3,2.1739130434782608,2.7522935779816518,Bacteria,True
BAC_F,Erysipelatoclostridiaceae,BAC_F::Erysipelatoclostridiaceae,21,18,15.217391304347826,16.51376146788991,Bacteria,True
BAC_F,Erysipelotrichaceae,BAC_F::Erysipelotrichaceae,7,4,5.072463768115942,3.669724770642202,Bacteria,True
BAC_F,Eubacteriaceae,BAC_F::Eubacteriaceae,8,6,5.797101449275362,5.5045871559633035,Bacteria,True
BAC_F,F082,BAC_F::F082,7,4,5.072463768115942,3.669724770642202,Bacteria,True
BAC_F,FTLpost3,BAC_F::FTLpost3,9,5,6.521739130434782,4.587155963302752,Bacteria,True
BAC_F,Fermentibacteraceae,BAC_F::Fermentibacteraceae,16,11,11.594202898550725,10.091743119266056,Bacteria,True
BAC_F,Fervidobacteriaceae,BAC_F::Fervidobacteriaceae,11,10,7.971014492753623,9.174311926605505,Bacteria,True
BAC_F,Fibrobacteraceae,BAC_F::Fibrobacteraceae,9,7,6.521739130434782,6.422018348623854,Bacteria,True
BAC_F,Fibrobacterales,BAC_F::Fibrobacterales,4,3,2.898550724637681,2.7522935779816518,Bacteria,True
BAC_F,Fimbriimonadaceae,BAC_F::Fimbriimonadaceae,21,15,15.217391304347826,13.761467889908257,Bacteria,True
