Model,Multilabel MCC,Micro-AUPR,Micro-ROC-AUC
RandomForest,0.4856659204297471,0.39602315373691277,0.7909572020248504
KNN,0.38233476246548687,0.31814604791957907,0.7610829881883723
SVM,0.3681548175719688,0.3151448942386853,0.7047860101242522
NNET,0.4042735269530906,0.33746095067060694,0.7086209541340696
XGBoost,0.3731169321507911,0.30922342643367456,0.7487152937567112
GLMNET,0.45275049617388513,0.36485580717807187,0.7689829728485964
