block,taxon,feature,samples_above_0_1_percent,training_samples_above_0_1_percent,all_samples_percent_above_0_1,training_percent_above_0_1,domain,included_in_final_matrix
BAC_F,009E01-B-SD-P15,BAC_F::009E01-B-SD-P15,63,50,45.65217391304348,45.87155963302752,Bacteria,True
BAC_F,0319-6G20,BAC_F::0319-6G20,14,10,10.144927536231885,9.174311926605505,Bacteria,True
BAC_F,053A03-B-DI-P58,BAC_F::053A03-B-DI-P58,1,1,0.7246376811594203,0.9174311926605505,Bacteria,True
BAC_F,1-20,BAC_F::1-20,10,5,7.246376811594203,4.587155963302752,Bacteria,True
BAC_F,1013-28-CG33,BAC_F::1013-28-CG33,0,0,0.0,0.0,Bacteria,False
BAC_F,11-24,BAC_F::11-24,0,0,0.0,0.0,Bacteria,False
BAC_F,113B434,BAC_F::113B434,4,3,2.898550724637681,2.7522935779816518,Bacteria,True
BAC_F,32-520,BAC_F::32-520,0,0,0.0,0.0,Bacteria,False
BAC_F,37-13,BAC_F::37-13,3,2,2.1739130434782608,1.834862385321101,Bacteria,True
BAC_F,4572-13,BAC_F::4572-13,1,1,0.7246376811594203,0.9174311926605505,Bacteria,True
BAC_F,67-14,BAC_F::67-14,5,2,3.6231884057971016,1.834862385321101,Bacteria,True
BAC_F,A0839,BAC_F::A0839,15,9,10.869565217391305,8.256880733944955,Bacteria,True
BAC_F,A21b,BAC_F::A21b,1,1,0.7246376811594203,0.9174311926605505,Bacteria,True
BAC_F,A4b,BAC_F::A4b,0,0,0.0,0.0,Bacteria,False
BAC_F,AB1,BAC_F::AB1,0,0,0.0,0.0,Bacteria,False
BAC_F,ADurb.Bin180,BAC_F::ADurb.Bin180,0,0,0.0,0.0,Bacteria,False
BAC_F,ADurb.Bin408,BAC_F::ADurb.Bin408,0,0,0.0,0.0,Bacteria,False
BAC_F,AKIW659,BAC_F::AKIW659,0,0,0.0,0.0,Bacteria,False
BAC_F,AKYG1722,BAC_F::AKYG1722,0,0,0.0,0.0,Bacteria,False
BAC_F,AKYH767,BAC_F::AKYH767,47,34,34.05797101449275,31.19266055045872,Bacteria,True
BAC_F,Abditibacteriaceae,BAC_F::Abditibacteriaceae,0,0,0.0,0.0,Bacteria,False
BAC_F,Absconditabacteriales_(SR1),BAC_F::Absconditabacteriales_(SR1),13,10,9.420289855072463,9.174311926605505,Bacteria,True
BAC_F,Acetobacteraceae,BAC_F::Acetobacteraceae,16,11,11.594202898550725,10.091743119266056,Bacteria,True
BAC_F,Acetobacterales,BAC_F::Acetobacterales,0,0,0.0,0.0,Bacteria,False
BAC_F,Acetothermiia,BAC_F::Acetothermiia,12,4,8.695652173913043,3.669724770642202,Bacteria,True
BAC_F,Acholeplasmataceae,BAC_F::Acholeplasmataceae,72,61,52.17391304347826,55.96330275229357,Bacteria,True
BAC_F,Acidaminobacteraceae,BAC_F::Acidaminobacteraceae,0,0,0.0,0.0,Bacteria,False
BAC_F,Acidaminococcaceae,BAC_F::Acidaminococcaceae,27,20,19.565217391304348,18.34862385321101,Bacteria,True
BAC_F,Acidobacteriae,BAC_F::Acidobacteriae,1,1,0.7246376811594203,0.9174311926605505,Bacteria,True
BAC_F,Actinomarinales,BAC_F::Actinomarinales,0,0,0.0,0.0,Bacteria,False
BAC_F,Actinomycetaceae,BAC_F::Actinomycetaceae,18,16,13.043478260869565,14.678899082568808,Bacteria,True
BAC_F,Aerococcaceae,BAC_F::Aerococcaceae,4,4,2.898550724637681,3.669724770642202,Bacteria,True
BAC_F,Aeromonadaceae,BAC_F::Aeromonadaceae,21,13,15.217391304347826,11.926605504587156,Bacteria,True
BAC_F,Alcaligenaceae,BAC_F::Alcaligenaceae,10,6,7.246376811594203,5.5045871559633035,Bacteria,True
BAC_F,Alcanivoracaceae,BAC_F::Alcanivoracaceae,0,0,0.0,0.0,Bacteria,False
BAC_F,Alicyclobacillaceae,BAC_F::Alicyclobacillaceae,0,0,0.0,0.0,Bacteria,False
BAC_F,Alteromonadaceae,BAC_F::Alteromonadaceae,0,0,0.0,0.0,Bacteria,False
BAC_F,Amb-16S-1323,BAC_F::Amb-16S-1323,0,0,0.0,0.0,Bacteria,False
BAC_F,Aminicenantales,BAC_F::Aminicenantales,61,41,44.20289855072464,37.61467889908257,Bacteria,True
BAC_F,Anaerofustaceae,BAC_F::Anaerofustaceae,10,9,7.246376811594203,8.256880733944955,Bacteria,True
BAC_F,Anaerolineaceae,BAC_F::Anaerolineaceae,85,67,61.594202898550726,61.46788990825688,Bacteria,True
BAC_F,Anaeromyxobacteraceae,BAC_F::Anaeromyxobacteraceae,1,1,0.7246376811594203,0.9174311926605505,Bacteria,True
BAC_F,Anaerovoracaceae,BAC_F::Anaerovoracaceae,119,100,86.23188405797102,91.74311926605505,Bacteria,True
