Model,Multilabel MCC,Micro-AUPR,Micro-ROC-AUC,mean_metric_rank
RandomForest,0.47102465568931284,0.39602315373691277,0.7909572020248504,1.0
KNN,0.37936615375268534,0.31814604791957907,0.7610829881883723,3.6666666666666665
SVM,0.20975044575222426,0.3151448942386853,0.7047860101242522,5.666666666666667
NNET,0.38344891393421926,0.33746095067060694,0.7086209541340696,3.6666666666666665
XGBoost,0.34061166825130484,0.30922342643367456,0.7487152937567112,5.0
GLMNET,0.4381206708882403,0.36485580717807187,0.7689829728485964,2.0
