target,curve,x,y
warning_acid_base_balance,PR,1.0,0.13761467889908258
warning_acid_base_balance,PR,1.0,0.1388888888888889
warning_acid_base_balance,PR,1.0,0.14018691588785046
warning_acid_base_balance,PR,1.0,0.14150943396226415
warning_acid_base_balance,PR,1.0,0.14285714285714285
warning_acid_base_balance,PR,1.0,0.14423076923076922
warning_acid_base_balance,PR,1.0,0.1485148514851485
warning_acid_base_balance,PR,1.0,0.15
warning_acid_base_balance,PR,1.0,0.15151515151515152
warning_acid_base_balance,PR,1.0,0.15306122448979592
warning_acid_base_balance,PR,1.0,0.15463917525773196
warning_acid_base_balance,PR,1.0,0.15625
warning_acid_base_balance,PR,1.0,0.15789473684210525
warning_acid_base_balance,PR,1.0,0.1595744680851064
warning_acid_base_balance,PR,1.0,0.16129032258064516
warning_acid_base_balance,PR,1.0,0.16304347826086957
warning_acid_base_balance,PR,1.0,0.16483516483516483
warning_acid_base_balance,PR,1.0,0.16666666666666666
warning_acid_base_balance,PR,1.0,0.16853932584269662
warning_acid_base_balance,PR,1.0,0.17045454545454544
warning_acid_base_balance,PR,1.0,0.1724137931034483
warning_acid_base_balance,PR,1.0,0.1744186046511628
warning_acid_base_balance,PR,0.9333333333333333,0.16470588235294117
warning_acid_base_balance,PR,0.9333333333333333,0.16666666666666666
warning_acid_base_balance,PR,0.9333333333333333,0.1686746987951807
warning_acid_base_balance,PR,0.9333333333333333,0.17073170731707318
warning_acid_base_balance,PR,0.9333333333333333,0.1728395061728395
warning_acid_base_balance,PR,0.9333333333333333,0.175
warning_acid_base_balance,PR,0.9333333333333333,0.17721518987341772
warning_acid_base_balance,PR,0.9333333333333333,0.1794871794871795
warning_acid_base_balance,PR,0.9333333333333333,0.18181818181818182
warning_acid_base_balance,PR,0.9333333333333333,0.18421052631578946
warning_acid_base_balance,PR,0.9333333333333333,0.18666666666666668
warning_acid_base_balance,PR,0.9333333333333333,0.1891891891891892
warning_acid_base_balance,PR,0.9333333333333333,0.1917808219178082
warning_acid_base_balance,PR,0.9333333333333333,0.19444444444444445
warning_acid_base_balance,PR,0.9333333333333333,0.19718309859154928
warning_acid_base_balance,PR,0.9333333333333333,0.2
warning_acid_base_balance,PR,0.9333333333333333,0.2028985507246377
warning_acid_base_balance,PR,0.8666666666666667,0.19117647058823528
warning_acid_base_balance,PR,0.8666666666666667,0.19402985074626866
warning_acid_base_balance,PR,0.8666666666666667,0.19696969696969696
warning_acid_base_balance,PR,0.8666666666666667,0.2
warning_acid_base_balance,PR,0.8666666666666667,0.203125
warning_acid_base_balance,PR,0.8666666666666667,0.20634920634920634
warning_acid_base_balance,PR,0.8666666666666667,0.20967741935483872
warning_acid_base_balance,PR,0.8666666666666667,0.21311475409836064
warning_acid_base_balance,PR,0.8666666666666667,0.21666666666666667
warning_acid_base_balance,PR,0.8666666666666667,0.22033898305084745
warning_acid_base_balance,PR,0.8666666666666667,0.22413793103448276
warning_acid_base_balance,PR,0.8666666666666667,0.22807017543859648
warning_acid_base_balance,PR,0.8666666666666667,0.23214285714285715
warning_acid_base_balance,PR,0.8666666666666667,0.23636363636363636
warning_acid_base_balance,PR,0.8666666666666667,0.24074074074074073
warning_acid_base_balance,PR,0.8666666666666667,0.24528301886792453
warning_acid_base_balance,PR,0.8666666666666667,0.25
warning_acid_base_balance,PR,0.8666666666666667,0.2549019607843137
warning_acid_base_balance,PR,0.8666666666666667,0.26
warning_acid_base_balance,PR,0.8666666666666667,0.2653061224489796
warning_acid_base_balance,PR,0.8,0.25
warning_acid_base_balance,PR,0.8,0.2553191489361702
warning_acid_base_balance,PR,0.8,0.2608695652173913
warning_acid_base_balance,PR,0.8,0.26666666666666666
warning_acid_base_balance,PR,0.8,0.2727272727272727
warning_acid_base_balance,PR,0.8,0.27906976744186046
warning_acid_base_balance,PR,0.8,0.2857142857142857
warning_acid_base_balance,PR,0.7333333333333333,0.2682926829268293
warning_acid_base_balance,PR,0.7333333333333333,0.275
warning_acid_base_balance,PR,0.7333333333333333,0.28205128205128205
warning_acid_base_balance,PR,0.7333333333333333,0.2894736842105263
warning_acid_base_balance,PR,0.6666666666666666,0.2702702702702703
warning_acid_base_balance,PR,0.6666666666666666,0.2777777777777778
warning_acid_base_balance,PR,0.6666666666666666,0.2857142857142857
warning_acid_base_balance,PR,0.6666666666666666,0.29411764705882354
warning_acid_base_balance,PR,0.6666666666666666,0.30303030303030304
warning_acid_base_balance,PR,0.6666666666666666,0.3125
warning_acid_base_balance,PR,0.6,0.2903225806451613
warning_acid_base_balance,PR,0.6,0.3
warning_acid_base_balance,PR,0.6,0.3103448275862069
warning_acid_base_balance,PR,0.6,0.32142857142857145
warning_acid_base_balance,PR,0.6,0.3333333333333333
warning_acid_base_balance,PR,0.5333333333333333,0.3076923076923077
warning_acid_base_balance,PR,0.4666666666666667,0.28
warning_acid_base_balance,PR,0.4666666666666667,0.2916666666666667
warning_acid_base_balance,PR,0.4666666666666667,0.30434782608695654
warning_acid_base_balance,PR,0.4666666666666667,0.3181818181818182
warning_acid_base_balance,PR,0.4666666666666667,0.3333333333333333
